"accendere"," to switch, turn on; light; avere acceso","accendere"
"addormentarsi","to go to sleep, fall asleep; si essere addormentato","addormentarsi"
"aggiustare","to repair, mend; avere aggiustato","aggiustare"
"ammalarsi","to get sick, fall ill; si essere ammalato","ammalarsi"
"annoiarsi","to get bored; si essere annoiato","annoiarsi"
"arrabbiarsi","to get angry; si essere arrabbiato","arrabbiarsi"
"aumentare","to increase; essere aumentato","aumentare"
"comportarsi","to behave; si essere comportat","comportarsi"
"continuare","to continue (with), carry on (with); avere continuato","continuare"
"convincere","to convince; avere convinto","convincere"
"descrivere","to describe; avere descritto","descrivere"
"dimagrire","to lose weight; essere dimagrito","dimagrireß"
"esprimere","to express, voice; avere espresso","esprimere"
"fermarsi","to stop, stay; si essere fermato","fermarsi"
"funzionare","to work, function; avere funzionato","funzionare"
"guadagnare","to earn, gain; avere guadagnato","guadagnare"
"ingrassare","to gain weight; essere ingrassato","ingrassare"
"lamentarsi","to complain, whine; si essere lamentato","lamentarsi"
"licenziare","to dismiss, fire; avere licenziato","licenziare"
"licenziarsi","to take one's leave, resign; si essere licenziato","licenziarsi"
"meritare","to deserve, be worth; avere maritato","meritare"
"mordere","to bite; avere morso","mordere"
"prenotare","to book, reserve; avere prenotato","prenotare"
"prepararsi","to prepare oneself; si essere preparato","prepararsi"
"provare","to try (out), test; avere provato","provare"
"pungere","to sting (sting); avere punto","pungere"
"raccontare","to tell (a story); avere raccontato","raccontare"
"raggiungere","to reach, achieve; avere raggiunto","raggiungere"
"rendere","to return; render, make; avere reso","rendere"
"rendersi","to make o.s.; si essere reso","rendere"
"rifiutare","to refuse; turn down, decline; avere rifiutato","rifiutare"
"riposare","to rest; avere riposato","riposare"
"riposarsi","to rest; si essere riposato","riposarsi"
"rischiare","to risk; avere rischiato","rischiare"
"rompere","to break (off, up); avere rotto","rompere"
"scoprire","to discover, find out; avere scoperto","scoprire"
"scusarsi","to apologize; si essere scusato","scusarsi"
"smettere","to stop, give up; ho smesso","smettere"ß
"sopravvivere","to survive; essere sopravvissuto","sopravvivere"
"sperare","to hope; avere sperato","sperare"
"spiegare","to explain; avere spiegato","spiegare"
"spogliarsi","to undress; si essere spogliato","spogliarsi"
"sposarsi","to get married; si essere sposato","sposarsi"
"succedere","to happen; essere succeduto (successo)","succedere"
"svegliarsi","to wake up; si essere svegliato","svegliarsi"
"togliere","to remove, take away; avere tolto","togliere"
"tradurre","to translate; avere tradotto","tradurre"
"trasmettere","to transmit, broadcast; avere trasmesso","trasmettere"
"usare","to use; avere usato","usare"
"vergognarsi","to be ashamed; si essere vergognato","vergognarsi"
