
"allegro, -a","cheerful"
"alto, -a","high, tall"
"altro, -a","other"
"annoiato, -a","bored"
"antico, -a","ancient, old"
"antipatico, -a","unpleasant, disagreeable (person)"
"aperto, -a","open"
"arrabbiato, -a","angry"
"assurdo, -a","absurd"
"basso, -a","low, short"
"bello, -a","beautiful, nice"
"bollente, -i","boiling (hot)"
"bravo, -a","good"
"brutto, -a","ugly, bad"
"buono, -a","good"
"caldo, -a","hot"
"carico, -a","charged (battery)"
"caro, -a","expensive (dear)"
"cattivo, -a","bad, wicked"
"certo, -a","certain"
"chiaro, -a","clear"
"chiuso, -a","closed"
"comico, -a","comic(al)"
"comune, -i","common"
"contento, -a","content, glad"
"corretto, -a","correct"
"corto, -a","short"
"costoso, -a","expensive (costly)"
"debole, -i","weak"
"difficile, -i","difficult"
"diligente, -i","diligent"
"disordinato, -a","messy"
"distrutto, -a","destroyed"
"diverso, -a","different"
"divertente, -i","amusing"
"duro, -a","hard"
"economico, -a","inexpensive"
"emozionato, -a","excited"
"facile, -i","easy"
"falso, -a","false, -i"
"famoso, -a","famous"
"fantastico, -a","fantastic"
"felice, -i","happy"
"forte, -i","strong"
"freddo, -a","cold"
"gelato, -a","frozen"
"gentile, -i","kind"
"giusto, -a","just, fair; right"
"grande, -i","big, large"
"grasso, -a","fat"
"importante, -i","important"
"incerto, -a","uncertain"
"ingiusto, -a","unjust, unfair"
"insignificante, -i","insignificant"
"intatto, -a","intact"
"intelligente, -i","intelligent"
"interessante, -i","interesting"
"inutile, -i","useless"
"largo, -a","wide"
"leggero, -a","light"
"lento, -a","slow"
"liscio, -a","smooth"
"lontano, -a","far, distant"
"lungo, -a","long"
"magro, -a","thin"
"moderno, -a","modern"
"molto, -a","a lot of, lots of, much, many"
"morbido, -a","soft"
"morto, -a","dead (being)"
"negligente, -i","negligent"
"noioso, -a","boring"
"normale, -i","normal"
"nuovo, -a","new"
"ordinato, -a","neat"
"oscuro, -a","dark, obscure"
"ottimo, -a","very good, excellent"
"pericoloso, -a","dangerous"
"pesante, -i","heavy"
"piccolo, -a","small, little"
"pieno, -a","full"
"poco, -a","little, -i"
"primo, -a","first"
"pronto, -a","ready"
"pulito, -a","clean"
"ragionevole, -i","reasonable, -i"
"raro, -a","rare"
"riposato, -a","rested"
"rotto, -a","broken"
"ruvido, -a","rough"
"sbagliato, -a","wrong"
"scarico, -a","dead (battery)"
"sconosciuto, -a","unknown"
"scontento, -a","dissatisfied, displeased"
"scortese, -i","rude"
"serio, -a","serious"
"simpatico, -a","pleasant, nice (person)"
"socievole, -i","sociable"
"sporco, -a","dirty"
"stanco, -a","tired"
"stesso, -a","same"
"strano, -a","strange"
"stretto, -a","narrow"
"stupido, -a","stupid"
"terrible, -i","terrible"
"tiepido, -a","lukewarm, tepid"
"timido, -a","shy"
"tranquillo, -a","calm, peaceful"
"triste, -i","sad"
"tutto, -a","all"
"ultimo, -a","last"
"utile, -i","useful"
"vecchio, -a","old"
"veloce, -i","fast, quick"
"vero, -a","true, -i"
"vicino, -a","close, -i"
"vivace, -i","lively"
"vivo, -a","alive (being)"
"vuoto, -a","empty"
