"essere io cond.","(io) sarei","essere io cond."
"essere tu cond.","(tu) saresti","essere tu cond."
"essere lui/lei cond.","(lui/lei) sarebbe","essere lui/lei cond."
"essere noi cond.","(noi) saremmo","essere noi cond."
"essere voi cond.","(voi) sareste","essere voi cond."
"essere loro cond.","(loro) sarebbero","essere loro cond."
"dovere io cond.","(io) dovrei","dovere io cond."
"dovere tu cond.","(tu) dovresti","dovere tu cond."
"dovere lui/lei cond.","(lui/lei) dovrebbe","dovere lui/lei cond."
"dovere noi cond.","(noi) dovremmo","dovere noi cond."
"dovere voi cond.","(voi) dovreste","dovere voi cond."
"dovere loro cond.","(loro) dovrebbero","dovere loro cond."
"sapere io cond.","(io) saprei","sapere io cond."
"sapere tu cond.","(tu) sapresti","sapere tu cond."
"sapere lui/lei cond.","(lui/lei) saprebbe","sapere lui/lei cond."
"sapere noi cond.","(noi) sapremmo","sapere noi cond."
"sapere voi cond.","(voi) sapreste","sapere voi cond."
"sapere loro cond.","(loro) saprebbero","sapere loro cond."
"vivere io cond.","(io) vivrei","vivere io cond."
"vivere tu cond.","(tu) vivresti","vivere tu cond."
"vivere lui/lei cond.","(lui/lei) vivrebbe","vivere lui/lei cond."
"vivere noi cond.","(noi) vivremmo","vivere noi cond."
"vivere voi cond.","(voi) vivreste","vivere voi cond."
"vivere loro cond.","(loro) vivrebbero","vivere loro cond."
"potere io cond.","(io) potrei","potere io cond."
"potere tu cond.","(tu) potresti","potere tu cond."
"potere lui/lei cond.","(lui/lei) potrebbe","potere lui/lei cond."
"potere noi cond.","(noi) potremmo","potere noi cond."
"potere voi cond.","(voi) potreste","potere voi cond."
"potere loro cond.","(loro) potrebbero","potere loro cond."
"vedere io cond.","(io) vedrei","vedere io cond."
"vedere tu cond.","(tu) vedresti","vedere tu cond."
"vedere lui/lei cond.","(lui/lei) vedrebbe","vedere lui/lei cond."
"vedere noi cond.","(noi) vedremmo","vedere noi cond."
"vedere voi cond.","(voi) vedreste","vedere voi cond."
"vedere loro cond.","(loro) vedrebbero","vedere loro cond."
"cadere io cond.","(io) cadrei","cadere io cond."
"cadere tu cond.","(tu) cadresti","cadere tu cond."
"cadere lui/lei cond.","(lui/lei) cadrebbe","cadere lui/lei cond."
"cadere noi cond.","(noi) cadremmo","cadere noi cond."
"cadere voi cond.","(voi) cadreste","cadere voi cond."
"cadere loro cond.","(loro) cadrebbero","cadere loro cond."
"andare io cond.","(io) andrei","andare io cond."
"andare tu cond.","(tu) andresti","andare tu cond."
"andare lui/lei cond.","(lui/lei) andrebbe","andare lui/lei cond."
"andare noi cond.","(noi) andremmo","andare noi cond."
"andare voi cond.","(voi) andreste","andare voi cond."
"andare loro cond.","(loro) andrebbero","andare loro cond."
"venire io cond.","(io) verrei","venire io cond."
"venire tu cond.","(tu) verresti","venire tu cond."
"venire lui/lei cond.","(lui/lei) verrebbe","venire lui/lei cond."
"venire noi cond.","(noi) verremmo","venire noi cond."
"venire voi cond.","(voi) verreste","venire voi cond."
"venire loro cond.","(loro) verrebbero","venire loro cond."
"rimanere io cond.","(io) rimarrei","rimanere io cond."
"rimanere tu cond.","(tu) rimarresti","rimanere tu cond."
"rimanere lui/lei cond.","(lui/lei) rimarrebbe","rimanere lui/lei cond."
"rimanere noi cond.","(noi) rimarremmo","rimanere noi cond."
"rimanere voi cond.","(voi) rimarreste","rimanere voi cond."
"rimanere loro cond.","(loro) rimarrebbero","rimanere loro cond."
"mantenere io cond.","(io) manterrei","mantenere io cond."
"mantenere tu cond.","(tu) manterresti","mantenere tu cond."
"mantenere lui/lei cond.","(lui/lei) manterrebbe","mantenere lui/lei cond."
"mantenere noi cond.","(noi) manterremmo","mantenere noi cond."
"mantenere voi cond.","(voi) manterreste","mantenere voi cond."
"mantenere loro cond.","(loro) manterrebbero","mantenere loro cond."
"tenere io cond.","(io) terrei","tenere io cond."
"tenere tu cond.","(tu) terresti","tenere tu cond."
"tenere lui/lei cond.","(lui/lei) terrebbe","tenere lui/lei cond."
"tenere noi cond.","(noi) terremmo","tenere noi cond."
"tenere voi cond.","(voi) terreste","tenere voi cond."
"tenere loro cond.","(loro) terrebbero","tenere loro cond."
"volere io cond.","(io) vorrei","volere io cond."
"volere tu cond.","(tu) vorresti","volere tu cond."
"volere lui/lei cond.","(lui/lei) vorrebbe","volere lui/lei cond."
"volere noi cond.","(noi) vorremmo","volere noi cond."
"volere voi cond.","(voi) vorreste","volere voi cond."
"volere loro cond.","(loro) vorrebbero","volere loro cond."
"bere io cond.","(io) berrei","bere io cond."
"bere tu cond.","(tu) berresti","bere tu cond."
"bere lui/lei cond.","(lui/lei) berrebbe","bere lui/lei cond."
"bere noi cond.","(noi) berremmo","bere noi cond."
"bere voi cond.","(voi) berreste","bere voi cond."
"bere loro cond.","(loro) berrebbero","bere loro cond."
"dare io cond.","(io) darei","dare io cond."
"dare tu cond.","(tu) daresti","dare tu cond."
"dare lui/lei cond.","(lui/lei) darebbe","dare lui/lei cond."
"dare noi cond.","(noi) daremmo","dare noi cond."
"dare voi cond.","(voi) dareste","dare voi cond."
"dare loro cond.","(loro) darebbero","dare loro cond."
"dire io cond.","(io) direi","dire io cond."
"dire tu cond.","(tu) diresti","dire tu cond."
"dire lui/lei cond.","(lui/lei) direbbe","dire lui/lei cond."
"dire noi cond.","(noi) diremmo","dire noi cond."
"dire voi cond.","(voi) direste","dire voi cond."
"dire loro cond.","(loro) direbbero","dire loro cond."
"fare io cond.","(io) farei","fare io cond."
"fare tu cond.","(tu) faresti","fare tu cond."
"fare lui/lei cond.","(lui/lei) farebbe","fare lui/lei cond."
"fare noi cond.","(noi) faremmo","fare noi cond."
"fare voi cond.","(voi) fareste","fare voi cond."
