"essere io fut.","(io) sarò","essere io fut."
"essere tu fut.","(tu) sarai","essere tu fut."
"essere lui/lei fut.","(lui/lei) sarà","essere lui/lei fut."
"essere noi fut.","(noi) saremo","essere noi fut."
"essere voi fut.","(voi) sarete","essere voi fut."
"essere loro fut.","(loro) saranno","essere loro fut."
"dovere io fut.","(io) dovrò","dovere io fut."
"dovere tu fut.","(tu) dovrai","dovere tu fut."
"dovere lui/lei fut.","(lui/lei) dovrà","dovere lui/lei fut."
"dovere noi fut.","(noi) dovremo","dovere noi fut."
"dovere voi fut.","(voi) dovrete","dovere voi fut."
"dovere loro fut.","(loro) dovranno","dovere loro fut."
"sapere io fut.","(io) saprò","sapere io fut."
"sapere tu fut.","(tu) saprai","sapere tu fut."
"sapere lui/lei fut.","(lui/lei) saprà","sapere lui/lei fut."
"sapere noi fut.","(noi) sapremo","sapere noi fut."
"sapere voi fut.","(voi) saprete","sapere voi fut."
"sapere loro fut.","(loro) sapranno","sapere loro fut."
"vivere io fut.","(io) vivrò","vivere io fut."
"vivere tu fut.","(tu) vivrai","vivere tu fut."
"vivere lui/lei fut.","(lui/lei) vivrà","vivere lui/lei fut."
"vivere noi fut.","(noi) vivremo","vivere noi fut."
"vivere voi fut.","(voi) vivrete","vivere voi fut."
"vivere loro fut.","(loro) vivranno","vivere loro fut."
"potere io fut.","(io) potrò","potere io fut."
"potere tu fut.","(tu) potrai","potere tu fut."
"potere lui/lei fut.","(lui/lei) potrà","potere lui/lei fut."
"potere noi fut.","(noi) potremo","potere noi fut."
"potere voi fut.","(voi) potrete","potere voi fut."
"potere loro fut.","(loro) potranno","potere loro fut."
"vedere io fut.","(io) vedrò","vedere io fut."
"vedere tu fut.","(tu) vedrai","vedere tu fut."
"vedere lui/lei fut.","(lui/lei) vedrà","vedere lui/lei fut."
"vedere noi fut.","(noi) vedremo","vedere noi fut."
"vedere voi fut.","(voi) vedrete","vedere voi fut."
"vedere loro fut.","(loro) vedranno","vedere loro fut."
"cadere io fut.","(io) cadrò","cadere io fut."
"cadere tu fut.","(tu) cadrai","cadere tu fut."
"cadere lui/lei fut.","(lui/lei) cadrà","cadere lui/lei fut."
"cadere noi fut.","(noi) cadremo","cadere noi fut."
"cadere voi fut.","(voi) cadrete","cadere voi fut."
"cadere loro fut.","(loro) cadranno","cadere loro fut."
"andare io fut.","(io) andrò","andare io fut."
"andare tu fut.","(tu) andrai","andare tu fut."
"andare lui/lei fut.","(lui/lei) andrà","andare lui/lei fut."
"andare noi fut.","(noi) andremo","andare noi fut."
"andare voi fut.","(voi) andrete","andare voi fut."
"andare loro fut.","(loro) andranno","andare loro fut."
"venire io fut.","(io) verrò","venire io fut."
"venire tu fut.","(tu) verrai","venire tu fut."
"venire lui/lei fut.","(lui/lei) verrà","venire lui/lei fut."
"venire noi fut.","(noi) verremo","venire noi fut."
"venire voi fut.","(voi) verrete","venire voi fut."
"venire loro fut.","(loro) verranno","venire loro fut."
"rimanere io fut.","(io) rimarrò","rimanere io fut."
"rimanere tu fut.","(tu) rimarrai","rimanere tu fut."
"rimanere lui/lei fut.","(lui/lei) rimarrà","rimanere lui/lei fut."
"rimanere noi fut.","(noi) rimarremo","rimanere noi fut."
"rimanere voi fut.","(voi) rimarrete","rimanere voi fut."
"rimanere loro fut.","(loro) rimarranno","rimanere loro fut."
"mantenere io fut.","(io) manterrò","mantenere io fut."
"mantenere tu fut.","(tu) manterrai","mantenere tu fut."
"mantenere lui/lei fut.","(lui/lei) manterrà","mantenere lui/lei fut."
"mantenere noi fut.","(noi) manterremo","mantenere noi fut."
"mantenere voi fut.","(voi) manterrete","mantenere voi fut."
"mantenere loro fut.","(loro) manterranno","mantenere loro fut."
"tenere io fut.","(io) terrò","tenere io fut."
"tenere tu fut.","(tu) terrai","tenere tu fut."
"tenere lui/lei fut.","(lui/lei) terrà","tenere lui/lei fut."
"tenere noi fut.","(noi) terremo","tenere noi fut."
"tenere voi fut.","(voi) terrete","tenere voi fut."
"tenere loro fut.","(loro) terranno","tenere loro fut."
"volere io fut.","(io) vorrò","volere io fut."
"volere tu fut.","(tu) vorrai","volere tu fut."
"volere lui/lei fut.","(lui/lei) vorrà","volere lui/lei fut."
"volere noi fut.","(noi) vorremo","volere noi fut."
"volere voi fut.","(voi) vorrete","volere voi fut."
"volere loro fut.","(loro) vorranno","volere loro fut."
"bere io fut.","(io) berrò","bere io fut."
"bere tu fut.","(tu) berrai","bere tu fut."
"bere lui/lei fut.","(lui/lei) berrà","bere lui/lei fut."
"bere noi fut.","(noi) berremo","bere noi fut."
"bere voi fut.","(voi) berrete","bere voi fut."
"bere loro fut.","(loro) berranno","bere loro fut."
"dare io fut.","(io) darò","dare io fut."
"dare tu fut.","(tu) darai","dare tu fut."
"dare lui/lei fut.","(lui/lei) darà","dare lui/lei fut."
"dare noi fut.","(noi) daremo","dare noi fut."
"dare voi fut.","(voi) darete","dare voi fut."
"dare loro fut.","(loro) daranno","dare loro fut."
"dire io fut.","(io) dirò","dire io fut."
"dire tu fut.","(tu) dirai","dire tu fut."
"dire lui/lei fut.","(lui/lei) dirà","dire lui/lei fut."
"dire noi fut.","(noi) diremo","dire noi fut."
"dire voi fut.","(voi) direte","dire voi fut."
"dire loro fut.","(loro) diranno","dire loro fut."
"fare io fut.","(io) farò","fare io fut."
"fare tu fut.","(tu) farai","fare tu fut."
"fare lui/lei fut.","(lui/lei) farà","fare lui/lei fut."
"fare noi fut.","(noi) faremo","fare noi fut."
"fare voi fut.","(voi) farete","fare voi fut."
"fare loro fut.","(loro) faranno","fare loro fut."
"stare io fut.","(io) starò","stare io fut."
"stare tu fut.","(tu) starai","stare tu fut."
"stare lui/lei fut.","(lui/lei) starà","stare lui/lei fut."
"stare noi fut.","(noi) staremo","stare noi fut."
"stare voi fut.","(voi) starete","stare voi fut."
"stare loro fut.","(loro) staranno","stare loro fut."
