"andare io pres.","(io) vado","andare io pres."
"andare tu pres.","(tu) vai","andare tu pres."
"andare lui/lei pres.","(lui/lei) va","andare lui/lei pres."
"andare noi pres.","(noi) andiamo","andare noi pres."
"andare voi pres.","(voi) andate","andare voi pres."
"andare loro pres.","(loro) vanno","andare loro pres."
"avere io pres.","(io) ho","avere io pres."
"avere tu pres.","(tu) hai","avere tu pres."
"avere lui/lei pres.","(lui/lei) ha","avere lui/lei pres."
"avere noi pres.","(noi) abbiamo","avere noi pres."
"avere voi pres.","(voi) avete","avere voi pres."
"avere loro pres.","(loro) hanno","avere loro pres."
"bere io pres.","(io) bevo","bere io pres."
"bere tu pres.","(tu) bevi","bere tu pres."
"bere lui/lei pres.","(lui/lei) beve","bere lui/lei pres."
"bere noi pres.","(noi) beviamo","bere noi pres."
"bere voi pres.","(voi) bevete","bere voi pres."
"bere loro pres.","(loro) bevono","bere loro pres."
"dare io pres.","(io) do","dare io pres."
"dare tu pres.","(tu) dai","dare tu pres."
"dare lui/lei pres.","(lui/lei) dà","dare lui/lei pres."
"dare noi pres.","(noi) diamo","dare noi pres."
"dare voi pres.","(voi) date","dare voi pres."
"dare loro pres.","(loro) danno","dare loro pres."
"dire io pres.","(io) dico","dire io pres."
"dire tu pres.","(tu) dici","dire tu pres."
"dire lui/lei pres.","(lui/lei) dice","dire lui/lei pres."
"dire noi pres.","(noi) diciamo","dire noi pres."
"dire voi pres.","(voi) dite","dire voi pres."
"dire loro pres.","(loro) dicono","dire loro pres."
"dovere io pres.","(io) devo","dovere io pres."
"dovere tu pres.","(tu) devi","dovere tu pres."
"dovere lui/lei pres.","(lui/lei) deve","dovere lui/lei pres."
"dovere noi pres.","(noi) dobbiamo","dovere noi pres."
"dovere voi pres.","(voi) dovete","dovere voi pres."
"dovere loro pres.","(loro) devono","dovere loro pres."
"essere io pres.","(io) sono","essere io pres."
"essere tu pres.","(tu) sei","essere tu pres."
"essere lui/lei pres.","(lui/lei) è","essere lui/lei pres."
"essere noi pres.","(noi) siamo","essere noi pres."
"essere voi pres.","(voi) siete","essere voi pres."
"essere loro pres.","(loro) sono","essere loro pres."
"fare io pres.","(io) faccio","fare io pres."
"fare tu pres.","(tu) fai","fare tu pres."
"fare lui/lei pres.","(lui/lei) fa","fare lui/lei pres."
"fare noi pres.","(noi) facciamo","fare noi pres."
"fare voi pres.","(voi) fate","fare voi pres."
"fare loro pres.","(loro) fanno","fare loro pres."
"potere io pres.","(io) posso","potere io pres."
"potere tu pres.","(tu) puoi","potere tu pres."
"potere lui/lei pres.","(lui/lei) può","potere lui/lei pres."
"potere noi pres.","(noi) possiamo","potere noi pres."
"potere voi pres.","(voi) potete","potere voi pres."
"potere loro pres.","(loro) possono","potere loro pres."
"rimanere io pres.","(io) rimango","rimanere io pres."
"rimanere tu pres.","(tu) rimani","rimanere tu pres."
"rimanere lui/lei pres.","(lui/lei) rimane","rimanere lui/lei pres."
"rimanere noi pres.","(noi) rimaniamo","rimanere noi pres."
"rimanere voi pres.","(voi) rimanete","rimanere voi pres."
"rimanere loro pres.","(loro) rimangono","rimanere loro pres."
"sapere io pres.","(io) so","sapere io pres."
"sapere tu pres.","(tu) sai","sapere tu pres."
"sapere lui/lei pres.","(lui/lei) sa","sapere lui/lei pres."
"sapere noi pres.","(noi) sappiamo","sapere noi pres."
"sapere voi pres.","(voi) sapete","sapere voi pres."
"sapere loro pres.","(loro) sanno","sapere loro pres."
"scegliere io pres.","(io) scelgo","scegliere io pres."
"scegliere tu pres.","(tu) scegli","scegliere tu pres."
"scegliere lui/lei pres.","(lui/lei) sceglie","scegliere lui/lei pres."
"scegliere noi pres.","(noi) scegliamo","scegliere noi pres."
"scegliere voi pres.","(voi) scegliete","scegliere voi pres."
"scegliere loro pres.","(loro) scelgono","scegliere loro pres."
"uscire io pres.","(io) esco","uscire io pres."
"uscire tu pres.","(tu) esci","uscire tu pres."
"uscire lui/lei pres.","(lui/lei) esce","uscire lui/lei pres."
"uscire noi pres.","(noi) usciamo","uscire noi pres."
"uscire voi pres.","(voi) uscite","uscire voi pres."
"uscire loro pres.","(loro) escono","uscire loro pres."
"venire io pres.","(io) vengo","venire io pres."
"venire tu pres.","(tu) vieni","venire tu pres."
"venire lui/lei pres.","(lui/lei) viene","venire lui/lei pres."
"venire noi pres.","(noi) veniamo","venire noi pres."
"venire voi pres.","(voi) venite","venire voi pres."
"venire loro pres.","(loro) vengono","venire loro pres."
"volere io pres.","(io) voglio","volere io pres."
"volere tu pres.","(tu) vuoi","volere tu pres."
"volere lui/lei pres.","(lui/lei) vuole","volere lui/lei pres."
"volere noi pres.","(noi) vogliamo","volere noi pres."
"volere voi pres.","(voi) volete","volere voi pres."
"volere loro pres.","(loro) vogliono","volere loro pres."
"morire io pres.","(io) muoio","morire io pres."
"morire tu pres.","(tu) muori","morire tu pres."
"morire lui/lei pres.","(lui/lei) muore","morire lui/lei pres."
"morire noi pres.","(noi) moriamo","morire noi pres."
"morire voi pres.","(voi) morite","morire voi pres."
"morire loro pres.","(loro) muoiono","morire loro pres."
