"ibrido","n. m. hybrid"
"idioma","n. m. <-i> idiom"
"illudere","vt. <illudo> ; avere illuso"
"illudersi","vr. <illudo> to deceive oneself; essersi illuso"
"imballare","vt. (merce, mobile) to pack; avere imballato"
"imbattersi","vr. ; essersi imbattuto"
"imbranato","n. m. hopeless case"
"imbrunire","vi. <imbrunisco> (farsi sera) to get dark; essere imbrunito"
"imbrunire","n. m. dusk"
"immergere","vt. <immergo> ; avere immerso"
"immergersi","vr. <immergo> (in liquido, vasca) to plunge; (in profondità) to dive; (in pensieri, attività) to immerse oneself; essersi immerso"
"impadronirsi","vr. <m'impadronisco> ; essersi impadronito"
"impalcatura","n. f. (nel cantiere) scaffolding; (portante) framework"
"imparare","vt. (con studio) to learn; (con esperienza) to learn; avere imparato"
"impazzire","vi. <impazzisco> (ammattire) to go crazy; essere impazzito"
"impersonare","vt. (concetto, caratteristica) to personify; (personaggio) to play; avere impersonato"
"impiegare","vt. (strumento, oggetto) to use, (capacità, energie) to employ; (tempo) to take; (denaro) to spend; (esperto, specialista) to employ; avere impiegato"
"impiegare","vt. (strumento, oggetto) to use, (capacità, energie) to employ; (tempo) to take; (denaro) to spend; (esperto, specialista) to employ; avere impiegato"
"impiegato","n. m. employee"
"implicare","vt. (come conseguenza) to mean; avere implicato"
"imporre","vt. <impongo> (obbligo, ordine, legge) to impose, (condizione) to set, (tassa, tributo) to levy; (sacrifici, impegno) to demand; avere imposto"
"imporrsi","vr. <impongo> (persona) to assert oneself; (moda, prodotto) to become popular; (essere necessario) to be required; essersi imposto"
"impresa","n. f. (azione) enterprise; (ditta) company; pl. (di eroe) feats"
"incapace","n. mf. incompetent"
"incarico","n. m. <-chi> (compito) task; (funzione) position, (di insegnante) temporary teaching position"
"incertezza","n. f. (di notizia, fonte) doubtful nature; (di condizione, sviluppi) uncertainty; (titubanza) uncertainty"
"inchinarsi","vr. (per riverenza) to bow; essersi inchinato"
"inchiostro","n. m. (per scrivere) ink; (di seppia) cuttlefish ink"
"inciampare","vi. (col piede) to trip; essere inciampato"
"incitare","vt. to urge; avere incitato"
"includere","vt. <includo> (comprendere) to include; (in busta, lettera) to enclose; avere incluso"
"incominciare","vt. (dare inizio) to start <span class=target"">[<span class=""or""><acronym title=""or"">or</acronym></span> to begin]</span>; avere incominciato"""
"incominciare","vi. (avere inizio) to start <span class=target"">[<span class=""or""><acronym title=""or"">or</acronym></span> begin]</span>; essere incominciato"""
"incontrare","vt. (per appuntamento) to meet, (per caso) to bump into; (difficoltà, problema) to come up against, (favore) to win over; SPORTS (avversario, squadra) to meet; avere incontrato"
"incontrarsi","vr. (per appuntamento) to meet each other, (per caso) to bump into each other; SPORTS to meet each other; (strade, fiumi) to meet up; essersi incontrato"
"incontro","n. m. (casuale) encounter; SPORTS match"
"incubo","n. m. nightmare"
"indagare","vi. to investigate; avere indagato"
"indebolire","vt. <indebolisco> (persona) to weaken, (vista, udito) to worsen; (autorità, capacità) to weaken; essere indebolito"
"indebolirsi","vr. <indebolisco> (persona, autorità, capacità) to grow weak, (vista, udito) to worsen; essersi indebolito"
"indicare","vt. (con parole) to show, (con gesto) to point out; (strumento, segnale) to indicate, (orologio) to say, (etichetta, istruzioni) to explain; (consigliare) to recommend; (rivelare) to indicate, (vocabolo) to indicate; avere indicato"
"indietro","adv. (luogo) back; (paese, agricoltura) backward"
"individuare","vt. (colpevole) to identify, (obiettivo) to locate; (causa, guasto) to identify; avere individuato"
"indovinare","vt. (intuire) to guess, (risultato, gusti) to predict, (soluzione, risposta) to get right; (scegliere bene) to choose well; avere indovinato"
"indumento","n. m. garment"
"inezia","n. f. <-ie> trifle"
"infarto","n. m. heart attack"
"infastidire","vt. <infastidisco> to bother; avere infastidito"
"infastidirsi","vr. <infastidisco> ; essersi infastidito"
"infilare","vt. (ago, perle) to thread; (indumento) to put on; avere infilato"
