"smettere","to stop, give up","smettere"
"descrivere","to describe; avere descritto","descrivere"
"esprimere","to express, voice","esprimere"
"guadagnare","to earn, gain","guadagnare"
"riposare","to rest","riposare"
"raggiungere","to reach, achieve","raggiungere"
"aggiustare","to repair, mend","aggiustare"
"funzionare","to work, function","funzionare"
"prenotare","to book, reserve","prenotare"
"succedere","to happen","succedere"
"annoiarsi","to get bored","annoiarsi"
"arrabbiarsi","to get angry","arrabbiarsi"
"usare","to use","usare"
"continuare","to continue (with), carry on (with)","continuare"
"licenziare","to dismiss, fire","licenziare"
"licenziarsi","to take one's leave, resign","licenziarsi"
"trasmettere","to transmit, broadcast","trasmettere"
"rifiutare","to refuse; turn down, decline","rifiutare"
