"lago, laghi",m. lake,"lago, laghi"
"studente, studenti","m. student, learner, pupil","studente, studenti"
"lingua, lingue","f. tounge, language","lingua, lingue"
"gufo, gufi",m. owl,"gufo, gufi"
sì,yes,sì
"zia, zie",f. aunt,"zia, zie"
"poco, -a","adj. little, not much; few, not many","poco, -a"
"partito, -a","adj. left, departed","partito, -a"
"molto, -a","adj. much, many, a lot; great, very","molto, -a"
"bagno, bagni",m. bathroom,"bagno, bagni"
"freddo, freddi",m. cold,"freddo, freddi"
avere,to have,avere
"legno, legni",m. wood,"legno, legni"
"piazza, piazze",f. square,"piazza, piazze"
