"1st pres. indic. 1st sg.","-o","1st pres. indic. 1st sg."
"1st pres. indic. 2nd sg.","-i","1st pres. indic. 2nd sg."
"1st pres. indic. 3rd sg.","-a","1st pres. indic. 3rd sg."
"1st pres. indic. 1st pl.","-iamo","1st pres. indic. 1st pl."
"1st pres. indic. 2nd pl.","-ate","1st pres. indic. 2nd pl."
"1st pres. indic. 3rd pl.","-ano","1st pres. indic. 3rd pl."
"2nd pres. indic. 1st sg.","-o","2nd pres. indic. 1st sg."
"2nd pres. indic. 2nd sg.","-i","2nd pres. indic. 2nd sg."
"2nd pres. indic. 3rd sg.","-e","2nd pres. indic. 3rd sg."
"2nd pres. indic. 1st pl.","-iamo","2nd pres. indic. 1st pl."
"2nd pres. indic. 2nd pl.","-ete","2nd pres. indic. 2nd pl."
"2nd pres. indic. 3rd pl.","-ono","2nd pres. indic. 3rd pl."
"3rd pres. indic. 1st sg.","-o","3rd pres. indic. 1st sg."
"3rd pres. indic. 2nd sg.","-i","3rd pres. indic. 2nd sg."
"3rd pres. indic. 3rd sg.","-e","3rd pres. indic. 3rd sg."
"3rd pres. indic. 1st pl.","-iamo","3rd pres. indic. 1st pl."
"3rd pres. indic. 2nd pl.","-ite","3rd pres. indic. 2nd pl."
"3rd pres. indic. 3rd pl.","-ono","3rd pres. indic. 3rd pl."
