"uscire pres. 1st sg.","(io) esco","uscire pres. 1st sg."
"uscire pres. 2nd sg. fam.","(tu) esci","uscire pres. 2nd sg. fam."
"uscire pres. 2nd sg. pol.","(Lei) esce","uscire pres. 2nd sg. pol."
"uscire pres. 3rd sg.","(lui/lei) esce","uscire pres. 3rd sg."
"uscire pres. 1st pl.","(noi) usciamo","uscire pres. 1st pl."
"uscire pres. 2nd pl. fam.","(voi) uscite","uscire pres. 2nd pl. fam."
"uscire pres. 2nd pl. pol.","(Loro) escono","uscire pres. 2nd pl. pol."
"uscire pres. 3rd pl.","(loro) escono","uscire pres. 3rd pl."
"dire pres. 1st sg.","(io) dico","dire pres. 1st sg."
"dire pres. 2nd sg. fam.","(tu) dici","dire pres. 2nd sg. fam."
"dire pres. 2nd sg. pol.","(Lei) dice","dire pres. 2nd sg. pol."
"dire pres. 3rd sg.","(lui/lei) dice","dire pres. 3rd sg."
"dire pres. 1st pl.","(noi) diciamo","dire pres. 1st pl."
"dire pres. 2nd pl. fam.","(voi) dite","dire pres. 2nd pl. fam."
"dire pres. 2nd pl. pol.","(Loro) dicono","dire pres. 2nd pl. pol."
"dire pres. 3rd pl.","(loro) dicono","dire pres. 3rd pl."
