"bambino/a, bambini/e","m./f. child","bambina, bambine"
"corso, corsi","m. course","corso, corsi"
"leggere","to read","leggere"
"arancia, arance","f. orange","arancia, arance"
"bagno, bagni","m. bathroom","bagno, bagni"
"studiare","to study","studiare"
"tutte le mattine","every morning, each morning","tutte le mattine"
"anno, anni","m. year","anno, anni"
"mattina, mattine","f. morning","mattina, mattine"
"correre","to run, rush, hurry","correre"
"scarpa, scarpe","f. shoe","scarpa, scarpe"
"nome, nomi","m. name, first name","nome, nomi"
"articolo, articoli","m. article","articolo, articoli"
"zaino, zaini","m. backpack","zaino, zaini"
"lentamente","adv. slowly","piano"
"caldo, -a","adj. warm; hot","caldo, -a"
"pizza, pizze","f. pizza","pizza, pizze"
"decidere","to decide","decidere"
"cornetto, cornetti","m. croissant","cornetto, cornetti"
"vestito, vestiti","m. dress","vestito, vestiti"
"insegnante, insegnanti","m./f. teacher","insegnante"
"e","conj. and","e"
"offrire","to offer, offer (up), bid","offrire"
"fiume, fiumi","m. river","fiume, fiumi"
"gatto/a, gatti/e","m./f. cat","gatto/a, gatti/e"
