"abbagliante, -i","adj. (luce) dazzling"
"abbastanza","adj. inv. (a sufficienza) enough"
"abituale, -i","adj. usual"
"accanito, -a","adj. (discussione) heated; (lavoratore) tireless; (sostenitore, lettore) keen; (giocatore) hardened"
"accolto, -a","adj. welcomed"
"affettuoso, -a","adj. (persona) affectionate; (parole) fond"
"affidabile, -i","adj. reliable"
"affranto, -a","adj. (prostrato dal dolore) overcome, (spossato, logorato) exhausted"
"agevole, -i","adj. (comodo: strada) smooth; (facile: lavoro, viaggio) easy"
"agghiacciante, -i","adj. (scena, film, racconto) chilling; (urlo, lamento) bloodcurdling"
"allegro, -a","adj. (carattere, persona, colore) cheerful"
"alto, -a","adj. (sviluppato in altezza: edificio, albero) tall, (montagna, muro) high; (statura) tall; (elevato: prezzo, stipendio) high; (allegro: morale) high; GEO (in luogo elevato) upper; (profondo: acqua, mare) deep; (tessuto) wide; (acuto: suono, voce) high; fig. (eminente: carica, ufficiale) high"
"altro, -a","adj. (distinto) different; (ulteriore) another; (passato) last; (prossimo) next"
"amareggiato, -a","adj. bitter, embittered"
"ambientato, -a","adj. (film, racconto) set"
"ambizioso, -a","adj. ambitious"
"amichevole, -i","adj. (trattamento, parita) friendly; (accordo) amicable"
"ammalato, -a","adj. sick"
"ammaliato, -a","adj. bewitched"
"amorevole, -i","adj. (padre, madre, sguardo, cure) loving"
"ampio, -a","adj. (spazioso: strada) wide; (abbondante: abito) loose; (esauriente: spiegazione) full; (esteso: garanzia) ample"
"analogo, -a","adj. (simile: compito, circostanza, caso) similar"
"angusto, -a","adj. (stretto: sentiero, passaggio, locale) narrow; fig. (meschino: logica, pensiero) narrow-minded"
"annoiato, -a","adj. bored"
"anonimo, -a","adj. (gener) anonymous; (insignificante: stile, cerimonia, colorazione) colorless"
"anteriore, -i","adj. (davanti: routa, sedile) front; (precedente: data) previous"
"antico, -a","adj. HIST (epoca, popolo, arte) ancient; (non recente: mobile, oggetto, quadro) antique"
"antipatico, -a","adj. <-ci, -che> (persona) not likeable, disagreeable; (problema, malessere) unpleasant"
"aperto, -a","adj. (gener) open"
"appartato, -a","adj. (luogo) secluded"
"appassionato, -a","adj. (giocatore, musicista) enthusiastic; (parole, appello, sguardo) passionate"
"appeso, -a","adj. hung (up)"
"approssimativo, -a","adj. (non preciso: calcolo, cifra, dati, misura) approximate; (vago: lettura, risposta) vague"
"arcaico, -a","adj. (civiltà, rito, valori) archaic"
"ardente, -i","adj. (sole) blazing; (clima) blazing hot; (passione, desiderio) burning"
"arrabbiato, -a","adj. (irato) angry"
"assente, -i","adj. (non presente: da scuola) absent, (per lavoro) away; (inesistente) non-existent; (distratto: aria, sguardo) distracted"
"assurdo, -a","adj. (comportamento, idea, storia) ridiculous"
