"monday","lunedì","monday"
"tuesday","martdedì","tuesday"
"wednesday","mercoledì","wednesday"
"thursday","giovedì","thursdays"
"friday","venerdì","friday"
"saturday","sabato","saturday"
"sunday","domenica","sunday"
"giorno, giorni","m. day","giorno, giorni"
"settimana, settimane","f. week","settimana, settimane"
"fine settimana","m. inv. weekend","fine settimana"
"mese, mesi","m. month","mese, mesi"
"anno, anni","m. year","anno, anni"
"oggi","adv. today","oggi"
"domani","adv. tomorrow","domani"
"leri","adv. yesterday","leri"
"gennaio","January","gennaio"
"febbraio","February","febbraio"
"marzo","March","marzo"
"aprile","April","aprile"
"maggio","May","maggio"
"giugno","June","giugno"
"luglio","July","luglio"
"agosto","August","agosto"
"settembre","September","settembre"
"ottobre","October","ottobre"
"novembre","November","novembre"
"dicembre","December","dicembre"
