voi fare (cong. pres.),facciate
lui/lei supporre (cong. pres.),supponga
voi finire (fut. semp.),finirete
noi avere (imp. ind.),avevamo
loro fare (cong. pres.),facciano
loro dare (cong. imp.),dessero
io essere (cong. pres.),sia
noi dare (cong. pres.),diamo
io finire (cond. pres.),finirei
voi potere (imp. ind.),potevate
tu bere (imp. ind.),bevevi
loro finire (imp. ind.),finivano
voi morire (pres. ind.),morite
voi andare (cong. pres.),andiate
lui/lei potere (imp. ind.),poteva
voi parlare (fut. semp.),parlerete
voi supporre (imp. ind.),supponevate
noi sapere (imp. ind.),sapevamo
lui/lei dovere (pres. ind.),deve
noi volere (cong. pres.),vogliamo
loro fare (imp. ind.),facevano
tu finire (imp. ind.),finivi
tu parlare (fut. semp.),parlerai
voi morire (imp. ind.),morivate
noi scrivere (cond. pres.),scriveremmo
noi sapere (cond. pres.),sapremmo
loro morire (cong. pres.),muoiano
loro dare (cong. pres.),diano
voi venire (imp. ind.),venivate
noi bere (cong. pres.),beviamo
lui/lei tradurre (imp. ind.),traduceva
voi rimanere (cond. pres.),rimarreste
loro uscire (pres. ind.),escono
lui/lei essere (fut. semp.),sarà
tu volere (pres. ind.),vuoi
noi andare (imp. ind.),andavamo
voi parlare (imp. ind.),parlavate
lui/lei morire (imp. ind.),moriva
io morire (cong. pres.),muoia
loro dire (pres. ind.),dicono
tu dovere (imp. ind.),dovevi
io potere (pres. ind.),posso
voi essere (cond. pres.),sareste
io andare (pres. ind.),vado
voi rimanere (imp. ind.),rimanevate
lui/lei tradurre (fut. semp.),tradurrà
loro avere (fut. semp.),avranno
io avere (pres. ind.),ho
io uscire (cong. pres.),esca
voi dovere (cond. pres.),dovreste
lui/lei venire (imp. ind.),veniva
tu finire (cond. pres.),finiresti
loro dovere (fut. semp.),dovranno
loro supporre (cond. pres.),supporrebbero
io dormire (cong. pres.),dorma
loro avere (cong. pres.),abbiano
voi finire (imp. ind.),finivate
noi volere (fut. semp.),vorremo
loro rimanere (imp. ind.),rimanevano
