tu tradurre (cong. imp.),traducessi
loro volere (pres. ind.),vogliono
noi finire (cong. imp.),finissimo
voi essere (imp. ind.),eravate
loro potere (imp. ind.),potevano
io dire (cong. pres.),dica
noi bere (imp. ind.),bevevamo
voi andare (cond. pres.),andreste
noi supporre (imp. ind.),supponevamo
voi scegliere (imp. ind.),sceglievate
tu avere (cong. pres.),abbia
io dovere (fut. semp.),dovrò
lui/lei essere (cond. pres.),sarebbe
io avere (cond. pres.),avrei
lui/lei avere (cond. pres.),avrebbe
noi rimanere (fut. semp.),rimarremo
tu morire (imp. ind.),morivi
voi bere (cond. pres.),berreste
lui/lei dire (cong. pres.),dica
lui/lei uscire (cong. pres.),esca
tu scrivere (cong. imp.),scrivessi
voi dovere (pres. ind.),dovete
voi uscire (imp. ind.),uscivate
noi finire (cong. pres.),finiamo
io potere (cong. pres.),possa
loro bere (cong. imp.),bevessero
loro tradurre (cong. imp.),traducessero
lui/lei tradurre (cond. pres.),tradurrebbe
tu sapere (pres. ind.),sai
loro sapere (cong. pres.),sappiano
io dire (imp. ind.),dicevo
loro scegliere (pres. ind.),scelgono
tu supporre (fut. semp.),supporrai
lui/lei morire (cong. pres.),muoia
voi scegliere (cong. pres.),scegliate
tu mettere (cong. pres.),metta
voi dare (cong. imp.),deste
io rimanere (cong. pres.),rimanga
lui/lei andare (cond. pres.),andrebbe
io fare (cong. pres.),faccia
tu volere (imp. ind.),volevi
loro supporre (cong. imp.),supponessero
tu morire (pres. ind.),muori
lui/lei volere (cong. pres.),voglia
tu dovere (cong. pres.),debba
noi scrivere (imp. ind.),scrivevamo
lui/lei fare (cong. imp.),facesse
lui/lei supporre (cond. pres.),supporrebbe
noi dovere (cond. pres.),dovremmo
lui/lei bere (imp. ind.),beveva
loro avere (imp. ind.),avevano
lui/lei rimanere (fut. semp.),rimarrà
io stare (cong. imp.),stessi
loro volere (cong. pres.),vogliano
loro potere (cond. pres.),potrebbero
noi fare (cong. imp.),facessimo
tu potere (cong. pres.),possa
tu volere (fut. semp.),vorrai
voi mettere (cong. pres.),mettiate
voi essere (imp. ind.),eravate
io fare (imp. ind.),facevo
io finire (cong. pres.),finisca
voi finire (cong. pres.),finiate
lui/lei potere (cond. pres.),potrebbe
voi dovere (cong. pres.),dobbiate
loro bere (pres. ind.),bevono
noi dovere (fut. semp.),dovremo
loro tradurre (fut. semp.),tradurranno
io supporre (cond. pres.),supporrei
io avere (cong. imp.),avessi
tu finire (fut. semp.),finirai
noi rimanere (cond. pres.),rimarremmo
loro dire (cong. pres.),dicano
io scrivere (fut. semp.),scriverò
voi volere (pres. ind.),volete
io dare (pres. ind.),do
voi fare (imp. ind.),facevate
voi finire (cond. pres.),finireste
noi fare (pres. ind.),facciamo
