"andare (futuro semplice)","io andrò, tu andrai, lui/lei andrà, noi andremo, voi andrete, loro andranno"
"fare (presente indicativo)","io faccio, tu fai, lui/lei fa, noi facciamo, voi fate, loro fanno"
"fare (congiuntivo presente)","io faccia, tu faccia, lui/lei faccia, noi facciamo, voi facciate, loro facciano"
"supporre (imperfetto indicativo)","io supponevo, tu supponevi, lui/lei supponeva, noi supponevamo, voi supponevate, loro supponevano"
"volere (presente indicativo)","io voglio, tu vuoi, lui/lei vuole, noi vogliamo, voi volete, loro vogliono"
"supporre (condizionale presente)","io supporrei, tu supporresti, lui/lei supporrebbe, noi supporremmo, voi supporreste, loro supporrebbero"
"bere (congiuntivo imperfetto)","io bevessi, tu bevessi, lui/lei bevesse, noi bevessimo, voi beveste, loro bevessero"
"morire (congiuntivo presente)","io muoia, tu muoia, lui/lei muoia, noi moriamo, voi moriate, loro muoiano"
"venire (futuro semplice)","io verrò, tu verrai, lui/lei verrà, noi verremo, voi verrete, loro verranno"
"potere (imperfetto indicativo)","io potevo, tu potevi, lui/lei poteva, noi potevamo, voi potevate, loro potevano"
"avere (condizionale presente)","io avrei, tu avresti, lui/lei avrebbe, noi avremmo, voi avreste, loro avrebbero"
"parlare (condizionale presente)","io parlerei, tu parleresti, lui/lei parlerebbe, noi parleremmo, voi parlereste, loro parlerebbero"
"dare (congiuntivo presente)","io dia, tu dia, lui/lei dia, noi diamo, voi diate, loro diano"
"avere (congiuntivo presente)","io abbia, tu abbia, lui/lei abbia, noi abbiamo, voi abbiate, loro abbiano"
"essere (futuro semplice)","io sarò, tu sarai, lui/lei sarà, noi saremo, voi sarete, loro saranno"
"avere (presente indicativo)","io ho, tu hai, lui/lei ha, noi abbiamo, voi avete, loro hanno"
"essere (presente indicativo)","io sono, tu sei, lui/lei è, noi siamo, voi siete, loro sono"
"tradurre (congiuntivo imperfetto)","io traducessi, tu traducessi, lui/lei traducesse, noi traducessimo, voi traduceste, loro traducessero"
"dire (presente indicativo)","io dico, tu dici, lui/lei dice, noi diciamo, voi dite, loro dicono"
"scrivere (congiuntivo imperfetto)","io scrivessi, tu scrivessi, lui/lei scrivesse, noi scrivessimo, voi scriveste, loro scrivessero"
"scegliere (presente indicativo)","io scelgo, tu scegli, lui/lei sceglie, noi scegliamo, voi scegliete, loro scelgono"
"potere (condizionale presente)","io potrei, tu potresti, lui/lei potrebbe, noi potremmo, voi potreste, loro potrebbero"
"stare (congiuntivo imperfetto)","io stessi, tu stessi, lui/lei stesse, noi stessimo, voi steste, loro stessero"
"dare (presente indicativo)","io do, tu dai, lui/lei dà, noi diamo, voi date, loro danno"
"uscire (imperfetto indicativo)","io uscivo, tu uscivi, lui/lei usciva, noi uscivamo, voi uscivate, loro uscivano"
"andare (presente indicativo)","io vado, tu vai, lui/lei va, noi andiamo, voi andate, loro vanno"
"venire (imperfetto indicativo)","io venivo, tu venivi, lui/lei veniva, noi venivamo, voi venivate, loro venivano"
"essere (congiuntivo presente)","io sia, tu sia, lui/lei sia, noi siamo, voi siate, loro siano"
"rimanere (presente indicativo)","io rimango, tu rimani, lui/lei rimane, noi rimaniamo, voi rimanete, loro rimangono"
"essere (imperfetto indicativo)","io ero, tu eri, lui/lei era, noi eravamo, voi eravate, loro erano"
"supporre (futuro semplice)","io supporrò, tu supporrai, lui/lei supporrà, noi supporremo, voi supporrete, loro supporranno"
"sapere (congiuntivo presente)","io sappia, tu sappia, lui/lei sappia, noi sappiamo, voi sappiate, loro sappiano"
"fare (imperfetto indicativo)","io facevo, tu facevi, lui/lei faceva, noi facevamo, voi facevate, loro facevano"
"volere (congiuntivo presente)","io voglia, tu voglia, lui/lei voglia, noi vogliamo, voi vogliate, loro vogliano"
"andare (congiuntivo presente)","io vada, tu vada, lui/lei vada, noi andiamo, voi andiate, loro vadano"
"scegliere (congiuntivo presente)","io scelga, tu scelga, lui/lei scelga, noi scegliamo, voi scegliate, loro scelgano"
"venire (congiuntivo presente)","io venga, tu venga, lui/lei venga, noi veniamo, voi veniate, loro vengano"
"dare (imperfetto indicativo)","io davo, tu davi, lui/lei dava, noi davamo, voi davate, loro davano"
"bere (condizionale presente)","io berrei, tu berresti, lui/lei berrebbe, noi berremmo, voi berreste, loro berrebbero"
"potere (futuro semplice)","io potrò, tu potrai, lui/lei potrà, noi potremo, voi potrete, loro potranno"
"bere (imperfetto indicativo)","io bevevo, tu bevevi, lui/lei beveva, noi bevevamo, voi bevevate, loro bevevano"
"dovere (condizionale presente)","io dovrei, tu dovresti, lui/lei dovrebbe, noi dovremmo, voi dovreste, loro dovrebbero"
"essere (congiuntivo imperfetto)","io fossi, tu fossi, lui/lei fosse, noi fossimo, voi foste, loro fossero"
"dovere (presente indicativo)","io devo, tu devi, lui/lei deve, noi dobbiamo, voi dovete, loro devono"
"venire (presente indicativo)","io vengo, tu vieni, lui/lei viene, noi veniamo, voi venite, loro vengono"
"dare (congiuntivo imperfetto)","io dessi, tu dessi, lui/lei desse, noi dessimo, voi deste, loro dessero"
"dire (congiuntivo imperfetto)","io dicessi, tu dicessi, lui/lei dicesse, noi dicessimo, voi diceste, loro dicessero"
"morire (imperfetto indicativo)","io morivo, tu morivi, lui/lei moriva, noi morivamo, voi morivate, loro morivano"
"bere (imperfetto indicativo)","io bevevo, tu bevevi, lui/lei beveva, noi bevevamo, voi bevevate, loro bevevano"
"potere (congiuntivo presente)","io possa, tu possa, lui/lei possa, noi possiamo, voi possiate, loro possano"
"tradurre (futuro semplice)","io tradurrò, tu tradurrai, lui/lei tradurrà, noi tradurremo, voi tradurrete, loro tradurranno"
"finire (condizionale presente)","io finirei, tu finiresti, lui/lei finirebbe, noi finiremmo, voi finireste, loro finirebbero"
"dovere (futuro semplice)","io dovrò, tu dovrai, lui/lei dovrà, noi dovremo, voi dovrete, loro dovranno"
"rimanere (futuro semplice)","io rimarrò, tu rimarrai, lui/lei rimarrà, noi rimarremo, voi rimarrete, loro rimarranno"
"parlare (futuro semplice)","io parlerò, tu parlerai, lui/lei parlerà, noi parleremo, voi parlerete, loro parleranno"
"dovere (congiuntivo presente)","io debba, tu debba, lui/lei debba, noi dobbiamo, voi dobbiate, loro debbano"
"scrivere (imperfetto indicativo)","io scrivevo, tu scrivevi, lui/lei scriveva, noi scrivevamo, voi scrivevate, loro scrivevano"
"rimanere (condizionale presente)","io rimarrei, tu rimarresti, lui/lei rimarrebbe, noi rimarremmo, voi rimarreste, loro rimarrebbero"
"parlare (presente indicativo)","io parlo, tu parli, lui/lei parla, noi parliamo, voi parlate, loro parlano"
"finire (congiuntivo presente)","io finisca, tu finisca, lui/lei finisca, noi finiamo, voi finiate, loro finiscano"
"sapere (condizionale presente)","io saprei, tu sapresti, lui/lei saprebbe, noi sapremmo, voi sapreste, loro saprebbero"
"essere (condizionale presente)","io sarei, tu saresti, lui/lei sarebbe, noi saremmo, voi sareste, loro sarebbero"
"parlare (imperfetto indicativo)","io parlavo, tu parlavi, lui/lei parlava, noi parlavamo, voi parlavate, loro parlavano"
"finire (congiuntivo imperfetto)","io finissi, tu finissi, lui/lei finisse, noi finissimo, voi finiste, loro finissero"
"volere (futuro semplice)","io vorrò, tu vorrai, lui/lei vorrà, noi vorremo, voi vorrete, loro vorranno"
"essere (imperfetto indicativo)","io ero, tu eri, lui/lei era, noi eravamo, voi eravate, loro erano"
"sapere (presente indicativo)","io so, tu sai, lui/lei sa, noi sappiamo, voi sapete, loro sanno"
"dire (imperfetto indicativo)","io dicevo, tu dicevi, lui/lei diceva, noi dicevamo, voi dicevate, loro dicevano"
"bere (futuro semplice)","io berrò, tu berrai, lui/lei berrà, noi berremo, voi berrete, loro berranno"
"dormire (congiuntivo presente)","io dorma, tu dorma, lui/lei dorma, noi dormiamo, voi dormiate, loro dormano"
"dire (imperfetto indicativo)","io dicevo, tu dicevi, lui/lei diceva, noi dicevamo, voi dicevate, loro dicevano"
"rimanere (imperfetto indicativo)","io rimanevo, tu rimanevi, lui/lei rimaneva, noi rimanevamo, voi rimanevate, loro rimanevano"
"tradurre (condizionale presente)","io tradurrei, tu tradurresti, lui/lei tradurrebbe, noi tradurremmo, voi tradurreste, loro tradurrebbero"
"morire (presente indicativo)","io muoio, tu muori, lui/lei muore, noi moriamo, voi morite, loro muoiono"
"dovere (imperfetto indicativo)","io dovevo, tu dovevi, lui/lei doveva, noi dovevamo, voi dovevate, loro dovevano"
"supporre (congiuntivo presente)","io supponga, tu supponga, lui/lei supponga, noi supponiamo, voi supponiate, loro suppongano"
"sapere (futuro semplice)","io saprò, tu saprai, lui/lei saprà, noi sapremo, voi saprete, loro sapranno"
"parlare (congiuntivo presente)","io parli, tu parli, lui/lei parli, noi parliamo, voi parliate, loro parlino"
"scegliere (imperfetto indicativo)","io sceglievo, tu sceglievi, lui/lei sceglieva, noi sceglievamo, voi sceglievate, loro sceglievano"
"rimanere (congiuntivo presente)","io rimanga, tu rimanga, lui/lei rimanga, noi rimaniamo, voi rimaniate, loro rimangano"
"andare (condizionale presente)","io andrei, tu andresti, lui/lei andrebbe, noi andremmo, voi andreste, loro andrebbero"
"sapere (imperfetto indicativo)","io sapevo, tu sapevi, lui/lei sapeva, noi sapevamo, voi sapevate, loro sapevano"
"bere (congiuntivo presente)","io beva, tu beva, lui/lei beva, noi beviamo, voi beviate, loro bevano"
"mettere (congiuntivo presente)","io metta, tu metta, lui/lei metta, noi mettiamo, voi mettiate, loro mettano"
"fare (congiuntivo imperfetto)","io facessi, tu facessi, lui/lei facesse, noi facessimo, voi faceste, loro facessero"
"tradurre (imperfetto indicativo)","io traducevo, tu traducevi, lui/lei traduceva, noi traducevamo, voi traducevate, loro traducevano"
"uscire (congiuntivo presente)","io esca, tu esca, lui/lei esca, noi usciamo, voi usciate, loro escano"
"andare (imperfetto indicativo)","io andavo, tu andavi, lui/lei andava, noi andavamo, voi andavate, loro andavano"
"scrivere (condizionale presente)","io scriverei, tu scriveresti, lui/lei scriverebbe, noi scriveremmo, voi scrivereste, loro scriverebbero"
"avere (congiuntivo imperfetto)","io avessi, tu avessi, lui/lei avesse, noi avessimo, voi aveste, loro avessero"
"avere (imperfetto indicativo)","io avevo, tu avevi, lui/lei aveva, noi avevamo, voi avevate, loro avevano"
"supporre (congiuntivo imperfetto)","io supponessi, tu supponessi, lui/lei supponesse, noi supponessimo, voi supponeste, loro supponessero"
"volere (imperfetto indicativo)","io volevo, tu volevi, lui/lei voleva, noi volevamo, voi volevate, loro volevano"
"potere (presente indicativo)","io posso, tu puoi, lui/lei può, noi possiamo, voi potete, loro possono"
"uscire (presente indicativo)","io esco, tu esci, lui/lei esce, noi usciamo, voi uscite, loro escono"
"parlare (congiuntivo imperfetto)","io parlassi, tu parlassi, lui/lei parlasse, noi parlassimo, voi parlaste, loro parlassero"
"scrivere (futuro semplice)","io scriverò, tu scriverai, lui/lei scriverà, noi scriveremo, voi scriverete, loro scriveranno"
"finire (futuro semplice)","io finirò, tu finirai, lui/lei finirà, noi finiremo, voi finirete, loro finiranno"
"tradurre (congiuntivo presente)","io traduca, tu traduca, lui/lei traduca, noi traduciamo, voi traduciate, loro traducano"
"avere (futuro semplice)","io avrò, tu avrai, lui/lei avrà, noi avremo, voi avrete, loro avranno"
"dire (congiuntivo presente)","io dica, tu dica, lui/lei dica, noi diciamo, voi diciate, loro dicano"
"fare (imperfetto indicativo)","io facevo, tu facevi, lui/lei faceva, noi facevamo, voi facevate, loro facevano"
"bere (presente indicativo)","io bevo, tu bevi, lui/lei beve, noi beviamo, voi bevete, loro bevono"
"finire (imperfetto indicativo)","io finivo, tu finivi, lui/lei finiva, noi finivamo, voi finivate, loro finivano"
