"di + il","del","di + il"
"di + i","dei","di + i"
"di + lo","dello","di + lo"
"di + l'","dell'","di + l'"
"di + gli","degli","di + gli"
"di + la","della","di + la"
"di + le","delle","di + le"
"a + il","al","a + il"
"a + i","ai","a + i"
"a + lo","allo","a + lo"
"a + l'","all'","a + l'"
"a + gli","agli","a + gli"
"a + la","alla","a + la"
"a + le","alle","a + le"
"da + il","dal","da + il"
"da + i","dai","da + i"
"da + lo","dallo","da + lo"
"da + l'","dall'","da + l'"
"da + gli","dagli","da + gli"
"da + la","dalla","da + la"
"da + le","dalle","da + le"
"in + il","nel","in + il"
"in + i","nei","in + i"
"in + lo","nello","in + lo"
"in + l'","nell'","in + l'"
"in + gli","negli","in + gli"
"in + la","nella","in + la"
"in + le","nelle","in + le"
"su + il","sul","su + il"
"su + i","sui","su + i"
"su + lo","sullo","su + lo"
"su + l'","sull'","su + l'"
"su + gli","sugli","su + gli"
"su + la","sulla","su + la"
"su + le","sulle","su + le"
