"monday","lunedì","monday"
"tuesday","martdedì","tuesday"
"wednesday","mercoledì","wednesday"
"thursday","giovedì","thursdays"
"friday","venerdì","friday"
"saturday","sabato","saturday"
"sunday","domenica","sunday"
"giorno, giorni","m. day","giorno, giorni"
"settimana, settimane","f. week","settimana, settimane"
"fine settimana","m. inv. weekend","fine settimana"
"mese, mesi","m. month","mese, mesi"
"anno, anni","m. year","anno, anni"
"oggi","adv. today","oggi"
"domani","adv. tomorrow","domani"
"leri","adv. yesterday","leri"
