"dire io fut.","(io) dirò","dire io fut."
"dire tu fut.","(tu) dirai","dire tu fut."
"dire Lei fut.","(Lei) dirà","dire Lei fut."
"dire lui/lei fut.","(lui/lei) dirà","dire lui/lei fut."
"dire noi fut.","(noi) diremo","dire noi fut."
"dire voi fut.","(voi) direte","dire voi fut."
"dire Loro fut.","(Loro) diranno","dire Loro fut."
"dire loro fut.","(loro) diranno","dire loro fut."
"fare io fut.","(io) farò","fare io fut."
"fare tu fut.","(tu) farai","fare tu fut."
"fare Lei fut.","(Lei) farà","fare Lei fut."
"fare lui/lei fut.","(lui/lei) farà","fare lui/lei fut."
"fare noi fut.","(noi) faremo","fare noi fut."
"fare voi fut.","(voi) farete","fare voi fut."
"fare Loro fut.","(Loro) faranno","fare Loro fut."
"fare loro fut.","(loro) faranno","fare loro fut."
"stare io fut.","(io) starò","stare io fut."
"stare tu fut.","(tu) starai","stare tu fut."
"stare Lei fut.","(Lei) starà","stare Lei fut."
"stare lui/lei fut.","(lui/lei) starà","stare lui/lei fut."
"stare noi fut.","(noi) staremo","stare noi fut."
"stare voi fut.","(voi) starete","stare voi fut."
"stare Loro fut.","(Loro) staranno","stare Loro fut."
"stare loro fut.","(loro) staranno","stare loro fut."
