"dire io imp.","(io) dicevo","dire io imp."
"dire tu imp.","(tu) dicevi","dire tu imp."
"dire lui/lei imp.","(lui/lei) diceva","dire lui/lei imp."
"dire noi imp.","(noi) dicevamo","dire noi imp."
"dire voi imp.","(voi) dicevate","dire voi imp."
"dire loro imp.","(loro) dicevano","dire loro imp."
"essere io imp.","(io) ero","essere io imp."
"essere tu imp.","(tu) eri","essere tu imp."
"essere lui/lei imp.","(lui/lei) era","essere lui/lei imp."
"essere noi imp.","(noi) eravamo","essere noi imp."
"essere voi imp.","(voi) eravate","essere voi imp."
"essere loro imp.","(loro) erano","essere loro imp."
"fare io imp.","(io) facevo","fare io imp."
"fare tu imp.","(tu) facevi","fare tu imp."
"fare lui/lei imp.","(lui/lei) faceva","fare lui/lei imp."
"fare noi imp.","(noi) facevamo","fare noi imp."
"fare voi imp.","(voi) facevate","fare voi imp."
"fare loro imp.","(loro) facevano","fare loro imp."
"bere io imp.","(io) bevevo","bere io imp."
"bere tu imp.","(tu) bevevi","bere tu imp."
"bere lui/lei imp.","(lui/lei) beveva","bere lui/lei imp."
"bere noi imp.","(noi) bevevamo","bere noi imp."
"bere voi imp.","(voi) bevevate","bere voi imp."
"bere loro imp.","(loro) bevevano","bere loro imp."
"dare io imp.","(io) davo","dare io imp."
"dare tu imp.","(tu) davi","dare tu imp."
"dare lui/lei imp.","(lui/lei) dava","dare lui/lei imp."
"dare noi imp.","(noi) davamo","dare noi imp."
"dare voi imp.","(voi) davate","dare voi imp."
"dare loro imp.","(loro) davano","dare loro imp."
"stare io imp.","(io) stavo","stare io imp."
"stare tu imp.","(tu) stavi","stare tu imp."
"stare lui/lei imp.","(lui/lei) stava","stare lui/lei imp."
"stare noi imp.","(noi) stavamo","stare noi imp."
"stare voi imp.","(voi) stavate","stare voi imp."
"stare loro imp.","(loro) stavano","stare loro imp."
