"essere io pres.","(io) sono","essere io pres."
"essere tu pres.","(tu) sei","essere tu pres."
"essere Lei pres.","(Lei) è","essere Lei pres."
"essere lui/lei pres.","(lui/lei) è","essere lui/lei pres."
"essere noi pres.","(noi) siamo","essere noi pres."
"essere voi pres.","(voi) siete","essere voi pres."
"essere Loro pres.","(Loro) sono","essere Loro pres."
"essere loro pres.","(loro) sono","essere loro pres."
"fare io pres.","(io) faccio","fare io pres."
"fare tu pres.","(tu) fai","fare tu pres."
"fare Lei pres.","(Lei) fa","fare Lei pres."
"fare lui/lei pres.","(lui/lei) fa","fare lui/lei pres."
"fare noi pres.","(noi) facciamo","fare noi pres."
"fare voi pres.","(voi) fate","fare voi pres."
"fare Loro pres.","(Loro) fanno","fare Loro pres."
"fare loro pres.","(loro) fanno","fare loro pres."
"potere io pres.","(io) posso","potere io pres."
"potere tu pres.","(tu) puoi","potere tu pres."
"potere Lei pres.","(Lei) può","potere Lei pres."
"potere lui/lei pres.","(lui/lei) può","potere lui/lei pres."
"potere noi pres.","(noi) possiamo","potere noi pres."
"potere voi pres.","(voi) potete","potere voi pres."
"potere Loro pres.","(Loro) possono","potere Loro pres."
"potere loro pres.","(loro) possono","potere loro pres."
