"ambientazione","(film/story) setting","ambientazione"
"autore","m. author","autore"
"autrice","f. author","autrice"
"scrittore","m. writer, author","scrittore"
"scrittrice","f. writer, author","scrittrice"
"attore","m. actor","attore"
"attrice","m. actress","attrice"
"regista","inv. s. director","regista"
"segnalibro","bookmark","segnalibro"
"serie","inv. f. series","serie"
"serie di libri","book series","serie di libri"
"capitolo","chapter","capitolo"
"titolo","title","titolo"
"categoria","category","categoria"
"genere","m. genre","genere"
"avventura","adventure","avventura"
"azione","f. action","azione"
"satira","satire","satira"
"giallo","mystery, thriller","giallo"
"raconto","short story","raconto"
"biografia","biography","biografia"
"poesia","poetry","poesia"
"fantascienza","science fiction","fantascienza"
"filosofia","philosophy","filosofia"
"storia","history, story","storia"
"narrativa","fiction","narrativa"
"saggistica","nonfiction","saggistica"
"fumetto","comic","fumetto"
"mitologia","mythology","mitologia"
"umorismo","humor","umorismo"
"spionaggio","espionage, spying","spionaggio"
"guerra","war","guerra"
"polizieschi","detective stories","polizieschi"
"commedia","comedy","commedia"

"classico","classical, classic","classico"
"culturale","cultural","culturale"
"sociale","social","sociele"

"console di videogiochi","game console","console di videogiochi"
"copertina flessibile","soft cover","copertina flessibile"
"copertina rigida","hard cover","copertina rigida"
"copertina","cover","copertina"


"filosofo","philosopher","filosofo"
"libreria","bookshop, bookcase","libreria"
"lingua latina","Latin","lingua latina"
"magia","magic","magia"

"novella","short story","novella"

"poltrona reclinabile di pelle","leather recliner","poltrona reclinabile di pelle"
"poltrona reclinabile","recliner","poltrona reclinabile"

"scaffale","shelf, set of shelves","scaffale"


"spada","sword","spada"
"spazio","space","spazio"
"stanza","room","stanza"
"stoico","stoic","stoico"


"storico","historical, historic","storico"
"stregoneria","sorcery","stregoneria"


"oggigiorno","nowadays, these days","oggigiorno"
"cercare","to look for, search for; avere cercato","cercare"
"cercare di fare qc","to try to do sth","cercare di fare qc"
"tra i miei preferiti","among my favorites","tra i miei preferiti"

"opinione","f. opinion","opinione"
