"non avrei mai saltato il lavoro","I would never have skipped worked","non avrei mai saltato il lavoro"
"fare la vita (di)","to live the life (of)","fare la vita (di)"
"giacere","to lie (idle); essere giaciuto","giacere"
"d'altronde","on the other hand","d'altronde"
"cambiamento","change","cambiamento"
"straordinario","overtime","straordinario"
"notturno, notturna","night","notturno, notturna"
"entrata","entry, entrance; admission","entrata"
"sintomo","symptom","sintomo"
"abbandonare","to abandon, desert; give up; avere abbandonato","abbandonare"
"accorgersi di","to notice, realize; essersi accorto","accorgersi di"
"dettaglio","detail","dettaglio"
"ritorno","return","ritorno"
"se gli va","if he feels like it","se gli va"
"agio","ease, comfort","agio"
"motivo","reason. grounds, cause","motivo"
"smarrito, smarrita","lost; bewildered","smarrito, smarrita"
"improvvisare","to improvise, throw together; avere improvvisato","improvvisare"
"spazzare","to sweep (up); avere spazzato","spazzare"
"pavimento","floor","pavimento"
"sonno","sleep","sonno"
"depresso, depressa","depressed","depresso, depressa"
"non ce la faccio più","I can't do it anymore","non ce la faccio più"
"faticoso, faticosa","tiring, exhausting","faticoso, faticosa"
"dall'altra parte","on the other side","dall'altra parte"
"sufficiente, sufficienti","sufficient, enough","sufficiente, sufficienti"
"da questo lato","on this side","da questo lato"
"consono a","consistent with","consono a"
"(come) al solito","as usual","(come) al solito"
"cascare","to fall; essere cascato","cascare"
"far cascare qc","to drop sth","far cascare qc"
