"abito","n. m. (da donna) dress; (da uomo) suit; pl. (vestiti) clothes"
"abbraccio","n m. hug, embrace"
"abilità","n. f. (capacità) ability, (destrezza) skill; (accortezza) cleverness"
"accento","n. m. (pronuncia) accent; fig. stress, emphasis"
"abitudine","n. f. (consuetudine) habit"
"acciao","n. m. steel"
"essere d'accordo (con)","to agree (with)"
"andare d'accordo (con)","to get along well (with)"
"accordo","n. m. agreement"
"aceto","n. m. vinegar"
"acquisto","n. m. purchase"
"adulto","n. m. adult, grown-up"
"affetto","n. m. (sentimento) fondness, affection"
"agio","n. m. ease; (comodo) comfort"
"alba","n. f. dawn"
"allegato","n. m. (in email) attachment"
"allenamento","n. m. training"
"ambizione","n. f. (aspirazione) ambition"
"anello","n. m. (gioiello, forma) ring; (di catena) link"
"angolo","n. m. (in geometria) angle; (di strada, stanza, fazzoletto, mobile) corner"
"ansia","n. f. anxiety"
"apertura","n. f. (gener) opening; fig. openness; (ampiezza) width"
"appendiabiti","n. m. inv. clothes hanger"
"asciugatrice","n. f. (per biancheria) dryer"
"assenza","n. f. (da luogo) absence; (mancanza) lack"
"attaccamento","n. m. (a persona, famiglia) attachment"
"atteggiamento","n. m. (disposizione mentale) attitude"
"attenzione","n. f. (concentrazione) attention"
"attimo","n. m. moment"
"atto","n. m. (gesto) act, (azione) action"
"attrezzatura","n. f. equipment"
"attrezzo","n. m. tool"
"autista","n. m./f. (conducente) driver"
"autore (-trice)","n. m. (f.) (esecutore) author; (compositore) composer"
"avversario (-a)","n. m. (f.) opponent; (nemico) adversary"
"azienda","n. f. firm, company"
"bellezza","n. f. (qualità, persona) beauty"
"borraccia","n. f. <-cce> water bottle; (di metallo) canteen, flask"
"bosco","n. m. <-schi> wood"
"bozza","n. f. (di contratto, progetto) draft"
"cambiamento","n. m. change"
"campanello","n. m. (di porta, bicicletta) bell"
"cancelleria","n. f. <-ie> (materiale per scrivere) stationery"
"cancello","n. m. gate"
"capacità","n. f. <inv> (di contenere) capacity; (abilità) ability"
"carattere","n. m. (personalità) character"
"carrello","n. m. (per bagagli) (baggage) cart, (al supermercato) (shopping) cart; (per cibi e bevande) cart"
"cartella","n. f. (scheda) card; (custodia: di plastica, di cartone) folder; (borsa: per la scuola) schoolbag"
"cascata","n. f. (di acqua) waterfall"
"caso","n. m. (avvenimento fortuito) chance; (ipotesi, fatto) case"
"causa","n. f. (origine) cause; (motivo) reason"
"cenere","n. f. ash"
"certezza","n. f. certainty"
"cespuglio","n. m. <-gli> bush"
"cestino","n. m. basket"
"chiarezza","n. f. (comprensibilità) clarity; (precisione) clearness"
"circostanza","n. f. (condizione) circumstance; (occasione) occasion"
"collaboratore","n. m. (aiutante) coworker; (a giornale) contributor"
"colpo","n. m. (botta) blow; (rumore) knock; (suono: di tosse) fit; (malore) stroke; (spavento) shock; (impressione) impression"
"compagnia","n. f. <-ie> (lo stare insieme) company; (gruppo) group; THEAT company; REL society; COMM company"
"comportamento","n. m. (umano, animale) behavior"
"confine","n. m. border"
"confronto","n. m. (paragone) comparison; LAW (contraddittorio) confrontation"
"conoscenza","n. f. (apprendimento) knowledge; MED consciousness; (persona) acquaintance"
"consapevolezza","n. f. awareness, consciousness"
"coperto","n. m. (in tavola) cover charge"
"corridoio","n. m. <-oi> (di edificio, treno) corridor; (di aereo) aisle"
"corteccia","n. f. <-cce> (di albero) bark; MED cortex"
"cumulo","n. m. (mucchio: di macerie, terra, pietre) heap; METEO cumulus"
"debolezza","n. f. weakness"
"abilità",""
"diritto","n. m. (complesso di norme, scienza) law; (interesse) right; pl. (tassa) fees; (di maglia, stoffa) right side; SPORTS forehand"
"disagio","n. m. (imbarazzo) unease; (mancanza di comodità) discomfort"
"disordine","n. m. (scompiglio) mess; (situazione confusa) disorder; (sregolatezza: nel mangiare, bere) irregularity; pl. (tumulti) trouble"
"distacco","n. m. <-chi> (rimozione: di parti, componenti) removal; (allontanamento) separation; (freddezza) detachment"
"distanza","n. f. (spazio) distance; (tempo) time; (differenza) gulf"
"dolcificante","n. m. sweetener"
"ebbrezza","n. f. (ubriachezza) drunkenness; (euforia) thrill"
