"n. m. (da donna) dress; (da uomo) suit; pl. (vestiti) clothes","abito"
"n. f. (consuetudine) habit","abitudine"
"n .f. (pettinatura) hairstyle; (ornamento) headdress","acconciatura"
"n. m. (di colori, abiti) combination; (tra persone) sex; (tra animali) mating","accoppiamento"
"n. m. agreement","accordo"
"n. m. fondness, affection","affetto"
"n. m. (comodo) comfort","agio"
"n. f. dawn","alba"
"n. m. afterlife","aldilà"
"n. m. training","allenamento"
"n m. (distacco) separation; (espulsione: dalla scuola) expulsion; (dal posto di lavoro) dismissal","allontanamento"
"n. f. (aspirazione) ambition","ambizione"
"n. m. inv. (viavai) coming and going","andirivieni"
"n. m. (gioiello, forma) ring; (di catena) link","anello"
"n. m. (in geometria) angle; (di strada, stanza, fazzoletto, mobile) corner","angolo"
"n. m. (di nemico) destruction","annientamento"
"n. m. (di tempo) advance notice","anticipo"
"n. f. (gener) opening; fig. openness; (ampiezza) width","apertura"
"n. m. (f.) enthusiast","appassionato (-a)"
"n. m. inv. clothes hanger","appendiabiti"
"n. .f fury","arrabbiatura"
"n. f. (da luogo) absence; (mancanza) lack","assenza"
"n. m. attachment","attaccamento"
"n. m. attitude","atteggiamento"
"n. m. moment","attimo"
"n. m. (gesto) act, (azione) action","atto"
"n. f. equipment","attrezzatura"
"n. m. tool","attrezzo"
"n .m./f. (conducente) driver","autista"
"n. m. (f.) (esecutore) author; (compositore) composer","autore (-trice)"
"n. m. outpost","avamposto"
"n. m. (resto) remainder; (eccedenza) surplus; (di cibo) leftover; (di stoffa) remnant","avanzo"
"n. m. (f.) opponent; (nemico) adversary","avversario (-a)"
"n. f. firm, company","azienda"
"n. m. (comp) reset","azzeramento"
"n. m. (di lampo) flash, (di faro) glare, (di fuoco, tramonto, lampada) glow; (manifestazione) sign","bagliore"
"n. m. (parte inferiore) bottom","basso"
"n. f. (qualità, persona) beauty","bellezza"
"n. m. <-gli> target","bersaglio"
"n. m. <-i> (biforcazione) fork; (svolta) crossroads","bivio"
"n. f. <-cce> water bottle; (di metallo) canteen, flask","borraccia"
"n. m. <-schi> wood","bosco"
"n. f. (di contratto, progetto) draft","bozza"
"n. f. (femmina del bufalo) cow buffalo","bufala"
"n. f. compass","bussola"
"n. f. <-cce> (arte venatoria) hunting; (inseguimento) hunt; (ricerca) search","caccia"
"n. m. <-chi> (copia: di scultura) cast","calco"
"n. m. change","cambiamento"
"n. m. bell","campanello"
"n. m. championship","campionato"
