"a breve","shortly"
"a caso","at random"
"a causa di qc","because of sth"
"a colpo d'occhio","fig. at a glance"
"a fatica","with difficulty"
"a fondo","adv. in depth, thoroughly"
"a metà (di)","adv. (processo, azione, spazio) halfway (through), in the middle (of)"
"a metà strada","adv. (distanza, viaggio) halfway (there), midway"
"a notte fonda","at dead of night"
"a quell'epoca","at that time"
"ad alta voce","adv. out loud, aloud"
"ai confini del mondo","fig. to the ends of the earth"
"al primo colpo","fig. at the first attempt"
"all'alba","at dawn"
"andare a colpo sicuro","fig. not to be able to go wrong"
"andare d'accordo","to get on well"
"avere conoscenza di qc","to have knowledge of sth"
"avere diritto a qc","to have a right to sth"
"avere motivo di qc","to have reason to sth"
"avere ragione","to be right"
"brevi parole","a few words"
"cambiamento d'aria","change of air"
"cambiamento di stagione","change of season"
"che bellezza!","wonderful!"
"colpi di sole","highlights"
"colpo (apoplettico)","stroke"
"colpo basso","fig. low blow"
"colpo d'aria","chill"
"colpo di fortuna","fig. stroke of luck"
"colpo di scena","fig. unexpected turn of events"
"colpo di testa","fig. impulse"
"colpo di vento","fig. gust of wind"
"da cima a fondo","from top to bottom"
"di colpo","fig. suddenly"
"di fianco a","next to"
"di fianco","from the side"
"diritto di voto","right to vote"
"essere (giunto) a un bivio","fig. to be at a crossroads"
"essere a conoscenza di qc","to know sth"
"essere breve","fig. to be brief"
"essere causa di qc","to be the cause of sth"
"essere consapevole di qc","to be aware of sth"
"essere coperto di qc","to be covered with sth"
"essere costituito da","to consist of"
"essere d'accordo","to agree"
"essere di compagnia","to be good company"
"essere in atto","to be underway"
"fare [o tenere] compagnia a qu","to keep sb company"
"fare la conoscenza di qu","to make sb's acquaintance"
"fare un confronto (fra)","to make a comparison (between)"
"fianco a fianco","a. fig. side by side"
"gioco d'azzardo","game of chance"
"gioco di destrezza","game of skill"
"i casi sono due","there are two possibilities"
"in basso","at the bottom"
"in breve","in short"
"in caso di morte/malattia","in case of death/illness"
"in confronto a","in comparison with"
"in nessun caso","in no case"
"in ogni caso","in any case"
"in origine","adv. originally"
"l'assenza di qc","the lack of sth"
"leggere ad alta voce","to read out loud, aloud"
"mancare di carattere","to lack character"
"mettere a confronto","to compare"
"mettere a disagio qu","to make sb feel awkward"
"mettere in atto qc","to put sth into action"
"nei confronti di","toward"
"nel caso che [o in cui] …","in case"
"nel peggiore dei casi","if (the) worst comes to (the) worst"
"non avere alcun riguardo per qc","to not care about sth"
"non c'è confronto!","there's no comparison!"
"non è il caso","there's no need"
"parlare a voce bassa","to speak quietly"
"pensare ad alta voce","to think out loud, aloud"
"per caso","by chance"
"per puro caso","by sheer chance"
"per quale motivo?","why?"
"per questo motivo","this is why"
"perdere la conoscenza","to lose consciousness"
"piacere di fare la sua conoscenza","pleased to meet you, make your acquaintance"
"più in basso","further down"
"prendere le distanze da qu/qc","to distance oneself from sb/sth"
"prendere un colpo di sole","to get sunstroke"
"privo di conoscenza","unconscious"
"provare affetto per qu","to be fond of sb"
"punto e basta!","period!"
"ridurre in cenere","to reduce to ashes"
"riguardo a","regarding, about"
"sentirsi a disagio","to feel awkward"
"senza confronti","incomparable"
"stare al fianco di qu","fig. to stand by sb"
"sul colpo","instantly"
"trovarsi a proprio agio","to feel comfortable"
"un caso disperato","a desperate case"
"un colpo di fulmine","fig. love at first sight"
"venire a conoscenza di qc","to (come to) find out about sth"
"alta società","high society"
"alta moda","high fashion"
"alta stagione","high season"
"in un altro modo","differently"
"un'altra volta","again"
"l'altra settimana","last week"
"l'altra volta","last time"
"l'altro giorno","the other day"
"l'altro ieri","the day before yesterday"
"domani l'altro","the day after tomorrow"
"un giorno o l'altro","one day or another"
"da un momenta all'altro","from one moment to the next"
"non avere altro da fare","to have nothing else to do"
"essere aperto a qc","to be open to sth"
"a braccia aperte","with open arms"
"rimanere a bocca aperta","fig. to be astounded"
"essere breve","fig. to be brief"
"a beve","soon, shortly"
"in breve","in short"
"tra breve","in a short time, in a short while"
"essere una testa caldo","fig. to be a hothead"
"avere il sangue caldo","fig. to be hot-blooded"
"tenersi caro qu/qc","to cherish sb/sth"
"pagare qc a caro prezzo","fig. to pay a high price for sth"
"essere di cattivo umore","to be in a bad mood"
"essere in cattivo stato","to be in a bad state"
"a ciascuno il suo","to each his own"
"alla cieca","blindly"
"essere colmo di qc","(dolore, bile, amarezze) to be full of sth"
"avere qc in commune","to have sth in common"
"essere contento di qc","to be pleased with sth, be happy with sth"
"avere un debole per qu/qc","to have a weakness for sb/sth"
"per l'ennesima volta","for the umpteenth time"
