"me","mi","me"
"you (familiar)","ti","you"
"him/it (masc.)","lo","him/it"
"her/it (fem.)","la","her/it"
"us","ci","us"
"you all (familiar plural)","vi","you all"
"them (masc.)","li","them"
"them (fem.)","le","them"
"to/for me","mi","to/for me"
"to/for you (familiar)","ti","to/for you"
"to/for him/it","gli","to/for him/it"
"to/for her/it","le","to/for her/it"
"to/for us","ci","to/for us"
"to/for you all (familiar plural)","vi","to/for you all"
"to/for them","gli","to/for them"
"myself","mi","myself"
"yourself (familiar)","ti","yourself"
"himself/herself/itself","si","himself/herself/itself"
"ourselves","ci","ourselves"
"yourselves (familiar plural)","vi","yourselves"
"themselves","si","themselves"
