"svenire","to faint, swoon; essere svenuto","svenire"
"capire","to understand; avere capito","capire"
"proporre","to propose; avere proposto","proporre"
"concludere","to conclude; avere concluso","concludere"
"causare","to cause; avere causato","causare"
"decidere","to decide; avere deciso","decidere"
"infliggere","to inflict; avere inflitto","infliggere"
"partire","to leave, depart; essere partito","partire"
"pendere","to hang, avere penduto","pendere"
"separare","to separate, divide; avere separato","separare"
"rassegnarsi","to resign o.s.; essersi rassegnato","rassegnarsi"
"firmare","to sign; avere firmato","firmare"
"costruire","to build, construct; avere costruito","costruire"
"cogliere","to gather, pick, catch; avere colto","cogliere"
"organizzare","to organize; avere organizzato","organizzare"
"stabilire","to establish; avere stabilito","stabilire"
"ripetere","to repeat; avere ripetuto","ripetere"
"definire","to define; avere definito","definire"
"fallire","to fail, go bankrupt; essere fallito","fallire"
"cominciare","to start; avere cominciato","cominciare"
"finire","to finish; avere finito","finire"
"smettere","to stop, give up; ho smesso","smettere"
"tacere","to be silent, pass over in silence; avere taciuto","tacere"
"liberare","to free, liberate, set free; avere liberato","liberare"
"correggere","to correct; avere corretto","correggere"
"fuggire","to flee, escape; essere fuggito","fuggire"
"vergognarsi","to be ashamed; essersi vergognato","vergognarsi"
"turbarsi","to get upset, become agitated; essersi turbato","turbarsi"
"supporre","to suppose, assume; avere supposto","supporre"
"tendere","to stretch out, hold out, tend; avere teso","tendere"
"comportarsi","to behave, comport o.s.; essersi comportato","comportarsi"
"opprimere","to oppress, weigh down, overwhelm; avere oppresso","opprimere"
"festeggiare","to celebrate (festive); avere festeggiato","festeggiare"
"proteggere","to protect; avere protetto","proteggere"
"distruggere","to destroy; avere distrutto","distruggere"
"ardere","to burn; avere arso","ardere"
"seguire","to follow; avere seguito","seguire"
"rifiutare","to refuse, reject; avere rifiutato","rifiutare"
"incontrare","to meet, encounter; avere incontrato","incontrare"
"arrivare","to arrive (at), reach; essere arrivato","arrivare"
"abbracciare","to embrace, hug; avere abbracciato","abbracciare"
"sottrarre","to subtract, withdraw; avere sottratto","sottrarre"
"omettere","to omit; avere omesso","omettere"
"prepararsi","to prepare o.s.; essersi preparato","prepararsi"
"ungere","to grease, smear; avere unto","ungere"
"giocare","to play (a game); avere giocato","giocare"
"domandare","to ask (for), demand, beg; avere domandato","domandare"
"descrivere","to describe; avere descritto","descrivere"
"lasciare","to leave, let; avere lasciato","lasciare"
"nominare","to name, call, mention; avere nominato","nominare"
"togliere","to remove, take away; avere tolto","togliere"
"salvare","to save, save a computer file; avere salvato","salvare"
"potere","to be able to, can, may; avere/essere potuto","potere"
"riuscire","to succeed, go out again, be able to; essere riuscito","riuscire"
"affermare","to affirm, declare, state; avere affermato","affermare"
"nutrire","to feed, nourish; avere nutrito","nutrire"
"negare","to deny, negate; avere negato","negare"
"annoiare","to annoy, bore; avere annoiato","annoiare"
"piovere","to rain; essere piovuto","piovere"
"fondere","to fuse, melt; avere fuso","fondere"
"comprare","to buy; avere comprato","comprare"
"illudere","to deceive, delude, avere illuso","illudere"
"chiamare","to call; avere chiamato","chiamare"
"riassumere","to resume, summarize, rehire; avere riassunto","riassumere"
"compiacere","to comply, please, satisy; avere compiaciuto","compiacere"
"umiliare","to hunble, humiliate; avere umiliato","umiliare"
"cantare","to sing; avere cantato","cantare"
"saltare","to jump, leap; avere saltato","saltare"
"sorprendere","to surprise; avere sorpreso","sorprendere"
"informare","to inform, notify, acquaint; avere informato","informare"
"stringere","to press, squeeze; avere stretto","stringere"
"determinare","to determine, resolve; avere determinato","determinare"
"involgere","to wrap (up), envelop, imply; avere involto","involgere"
"rincrescere","to be sorry, regret; essere rincresciuto","rincrescere"
"emergere","to emerge, surface, appear; essere emerso","emergere"
"accompagnare","to accompany; avere accompagnato","accompagnare"
"costringere","to force, compel; avere costretto","costringere"
"consistere","to consist; essere consistito","consistere"
"parlare","to talk; avere parlato","parlare"
"alludere","to allude, refer, hint; avere alluso","alludere"
"piangere","to weep, cry; avere pianto","piangere"
"rimproverare","to reproach, scold; avere rimproverato","rimproverare"
"negoziare","to negotiate, barter; avere negoziato","negoziare"
"morire","to die; essere morto","morire"
"provvedere","to provide; avere provvisto","provvedere"
"ostinarsi","to persist, insist; essersi ostinato","ostinarsi"
"recitare","to recite, act; avere recitato","recitare"
"esaurire","to exhaust, wear out, use up; avere esaurito","esaurire"
"tentare","to try, attempt, tempt; avere tentato","tentare"
"dare","to give; avere dato","dare"
"rispondere","to answer, reply; avere risposto","rispondere"
"bussare","to knock; avere bussato","bussare"
"imparare","to learn; avere imparato","imparare"
"gestire","to manage, administrate; avere gestito","gestire"
"cancellare","to cross out, cancel, rub out; avere cancellato","cancellare"
"notare","to note, notice, write down; avere notato","notare"
"conoscere","to know (about); avere conosciuto","conoscere"
"trasferire","to transfer, remove, move (somewhere); avere trasferito","trasferire"
"amare","to love; avere amato","amare"
"garantire","to guarantee; avere garantito","garantire"
"concedere","to concede, grant, award; avere concesso (conceduto)","concedere"
"impaurire","to frighten; avere impaurito","impaurire"
"temere","to fear, be afraid of something; avere temuto","temere"
"noleggiare","to hire, charter, rent (cars); avere noleggiato","noleggiare"
"rifare","to do again, make again; avere rifatto","rifare"
"servire","to serve; avere servito","servire"
"lavarsi","to wash o.s.; essersi lavato","lavarsi"
"porre","to place, put, set; avere posto","porre"
"alzare","to raise, lift up; avere alzato","alzare"
"pretendere","to claim, pretend, demand; avere preteso","pretendere"
