"ridere","to laugh; avere riso","ridere"
"maledire","to curse, damn; avere maledetto","maledire"
"provare","to try (out), test; avere provato","provare"
"stendere","to spread, extend, draw up; avere steso","stendere"
"accogliere","to welcome, receive; avere accolto","accogliere"
"giustificare","to justify; avere giustificato","giustificare"
"licenziarsi","to take one's leave, resign; essersi licenziato","licenziarsi"
"calcolare","to calculate, compute; avere calcolato","calcolare"
"mostrare","to show, demonstrate; avere mostrato","mostrare"
"estendere","to extend; avere esteso","estendere"
"aumentare","to increase; essere aumentato","aumentare"
"osservare","to observe, watch; avere osservato","osservare"
"serrare","to shut, close, lock; avere serrato","serrare"
"vincere","to win, conquer; avere vinto","vincere"
"coprire","to cover; avere coperto","coprire"
"ottenere","to obtain, get; avere ottenuto","ottenere"
"discendere","to go down, descend, come down; essere disceso","discendere"
"sentire","to hear; avere sentito","sentire"
"girare","to turn; avere girato","girare"
"offrire","to offer; avere offerto","offrire"
"guardare","to watch; avere guardato","guardare"
"calmarsi","to calm o.s. (down); essersi calmato","calmarsi"
"svanire","to disappear, vanish; essere svanito","svanire"
"commuovere","to move, touch, affect; avere commosso","commuovere"
"versare","to pour, deposit; avere versato","versare"
"chiamarsi","to call o.s., be named; essersi chiamato","chiamarsi"
"passeggiare","to walk, stroll; avere passeggiato","passeggiare"
"lanciare","to throw, fling; avere lanciato","lanciare"
"vietare","to forbid, prohibit; avere vietato","vietare"
"incominciare","to begin, start; avere incominciato","incominciare"
"dovere","to have to; avere dovuto","dovere"
"convertire","to convert; avere convertito","convertire"
"soddisfare","to satisfy, fulfill; avere soddisfatto","soddisfare"
"godere","to enjoy; avere goduto","godere"
"proibire","to forbid, prohibit; avere proibito","proibire"
"riscaldare","to heat, warm up; avere riscaldato","riscaldare"
"scrivere","to write; avere scritto","scrivere"
"comunicare","to communicate; avere comunicato","comunicare"
"operare","to operate, perform; avere operato","operare"
"dettare","to dictate; avere dettato","dettare"
"pesare","to weigh, avere pesato","pesare"
"dipingere","to paint, depict; avere dipinto","dipingere"
"occupare","to occupy; avere occupato","occupare"
"guarire","to heal, recover; essere guarito","guarire"
"arrabbiarsi","to become angry; essersi arrabbiato","arrabbiarsi"
"sposarsi","to get married; essersi sposato","sposarsi"
"opporre","to oppose; avere opposto","opporre"
"modificare","to modify, alter; avere modificato","modificare"
"giurare","to swear; avere giurato","giurare"
"occorrere","to be necessary, require, need; essere occorso","occorrere"
"diffondere","to diffuse, spread; avere diffuso","diffondere"
"spingere","to push, avere spinto","spingere"
"vendere","to sell; avere venduto","vendere"
"pulire","to clean; avere pulito","pulire"
"insistere","to insist; avere insistito","insistere"
"impaurirsi","to become frightened; essersi impaurito","impaurirsi"
"scusare","to excuse; avere scusato","scusare"
"disattivare","to deactivate; avere disattivato","disattivare"
"sperare","to hope; avere sperato","sperare"
"baciare","to kiss; avere baciato","baciare"
"abbandonare","to abandon; avere abbandonato","abbandonare"
"tenere","to keep, hold; avere tenuto","tenere"
"prevedere","to foresee, entail; avere previsto","prevedere"
"comprendere","to understand; avere compreso","comprendere"
"piegare","to fold; avere piegato","piegare"
"scomparire","to disappear; essere scomparso","scomparire"
"verificare","to verify, inspect, examine; avere verificato","verificare"
"nuocere","to harm, hurt, injure; avere nociuto (nuociuto)","nuocere"
"consumare","to consume; avere consumato","consumare"
"apparire","to appear, look, seem; essere apparso","apparire"
"attendere","to wait for, attend; avere atteso","attendere"
"ballare","to dance; avere ballato","ballare"
"dirigere","to direct; avere diretto","dirigere"
"contraddire","to contradict; avere contradetto","contraddire"
"misurare","to measure, guage; avere misurato","misurare"
"nascondere","to hide, conceal; avere nascosto","nascondere"
"guidare","to guide, lead; drive; avere guidato","guidare"
"dormire","to sleep; avere dormito","dormire"
"tagliare","to cut, slice, cut up; avere tagliato","tagliare"
"accendere","to switch on, turn on; light; avere acceso","accendere"
"rischiare","to risk; avere rischiato","rischiare"
"oscurare","to darken, obscure, overshadow; avere oscurato","oscurare"
"finalizzare","to finalize; avere finalizzato","finalizzare"
"ricevere","to receive; avere ricevuto","ricevere"
"sentirsi","to feel; essersi sentito","sentirsi"
"mandare","to send; avere mandato","mandare"
"scambiare","to exchange; avere scambiato","scambiare"
"ubbidire","to obey; avere ubbidito","ubbidire"
"eliminare","to eliminate; avere eliminato","eliminare"
"aspettarsi","to expect; essersi aspettato","aspettarsi"
"sognare","to dream; avere sognato","sognare"
"udire","to hear; avere udito","udire"
"spedire","to send, mail; avere spedito","spedire"
"prevenire","to precede, anticipate, prevent; avere prevenuto","prevenire"
"riconoscere","to recognize; avere riconosciuto","riconoscere"
"imprimere","to impress, print, stamp; avere impresso","imprimere"
"patire","to suffer endure; avere patito","patire"
"mettere","to put, place, set; avere messo","mettere"
"ammalarsi","to get sick, fall ill; essersi ammalato","ammalarsi"
"guadagnare","to earn, gain; avere guadagnato","guadagnare"
"affliggere","to afflict, distress; avere afflitto","affliggere"
"impiegare","to employ, engage, use; avere impiegato","impiegare"
"lusingare","to allure, entice, flatter; avere lusingato","lusingare"
"unire","to unite, join together; avere unito","unire"
"presentare","to present, introduce; avere presentato","presentare"
"gustare","to enjoy, relish, taste; avere gustato","gustare"
"impersonare","to impersonate, personify; avere impersonato","impersonare"
"lodare","to praise, commend; avere lodato","lodare"
"volare","to fly; avere volato","volare"
"rappresentare","to represent; avere rappresentato","rappresentare"
