"sostenere","to sustain, uphold, support; avere sostenuto","sostenere"
"accorgersi","to notice, become aware (of); essersi accorto","accorgersi"
"divenire","to become; essere divenuto","divenire"
"confondere","to confuse; avere confuso","confondere"
"rinnovare","to renew;avere rinnovato","rinnovare"
"prevalere","to prevail; avere prevalso","prevalere"
"rendersi","to make o.s.; essersi reso","rendere"
"spargere","to spread; avere sparso","spargere"
"legare","to tie up, bind; avere legato","legare"
"dimenticarsi","to forget; essersi dimenticato","dimenticarsi"
"vivere","to live; avere/essere vissuto","vivere"
"sottomettere","to submit, subject, subdue; avere sottomesso","sottomettere"
"interrompere","to interrupt; avere interrotto","interrompere"
"andarsene","to go away; essere andato","andarsene"
"zoppicare","to limp; avere zoppicato","zoppicare"
"assumere","to assume, hire; avere assunto","assumere"
"promettere","to promise; avere promesso","promettere"
"ordinare","to order, arrange, put in order; avere ordinato","ordinare"
"depositare"," to deposit; avere depositato","depositare"
"spendere","to spend, expend; avere speso","spendere"
"invadere","to invade; avere invaso","invadere"
"dividere","to divide; avere diviso","dividere"
"suonare","to play, ring, sound; avere suonato","suonare"
"moderare","to moderate, curb; avere moderato","moderare"
"visitare","to visit, examine (medical); avere visitato","visitare"
"nascere","to be born; essere nato","nascere"
"comporre","to compose; avere composto","comporre"
"trasmettere","to transmit, broadcast; avere trasmesso","trasmettere"
"ritenere","to hold, retain, stop, detain; avere ritenuto","ritenere"
"scoprire","to discover, find out; avere scoperto","scoprire"
"soffrire","to suffer, bear, endure; avere sofferto","soffrire"
"esagerare","to exaggerate; avere esagerato","esagerare"
"limitare","to limit, restrict; avere limitato","limitare"
"tirare","to pull, draw; avere tirato","tirare"
"aspettare","to wait (for); avere aspettato","aspettare"
"divertirsi","to have fun; essersi divertito","divertisi"
"contenere","to contain; avere contenuto","contenere"
"cadere","to fall; essere caduto","cadere"
"sorgere","to rise; essere sorto","sorgere"
"usare","to use; avere usato","usare"
"adorare","to adore; avere adorato","adorare"
"migliorare","to better, improve; avere migliorato","migliorare"
"scusarsi","to apologize; essersi scusato","scusarsi"
"aprire","to open; avere aperto","aprire"
"mancare","to miss, lack; avere mancato","mancare"
"inferire","to infer, deduce, conclude; avere inferito","inferire"
"accadere","to happen, to occur; essere accaduto","accadere"
"riposare","to rest; avere riposato","riposare"
"quietare","to qiuet, calm; avere quietato","quietare"
"svegliare","to wake someone up, rouse; avere svegliato","svegliare"
"onorare","to honor; avere onorato","onorare"
"distinguere","to distinguish; avere distinto","distinguere"
"permettere","to permit, allow; avere permesso","permettere"
"risolvere","to resolve, solve; avere risolto","risolvere"
"spegnere","to turn off, extinguish, put out; avere spento","spegnere"
"aiutare","to help; avere aiutato","aiutare"
"persuadere","to persuade; avere persuaso","persuadere"
"appartenere","to belong; essere appartenuto","appartenere"
"torcere","to twist, wring; avere torto","torcere"
"parere","to appear, seem; essere parso","parere"
"odiare","to detest, loathe, hate; avere odiato","odiare"
"includere","to include; avere incluso","includere"
"tornare","to return, go back; essere tornato","tornare"
"innamorarsi","to fall in love with; essersi innamorato","innamorarsi"
"aggiungere","to add; avere aggiunto","aggiungere"
"nevicare","to snow; essere nevicato","nevicare"
"alzarsi","to get up, rise, stand up; essersi alzato","alzarsi"
"abusare","to abuse, take advantage of; avere abusato","abusare"
"trovarsi","to find o.s., to be; essersi trovato","trovarsi"
"tingere","to dye; avere tinto","tingere"
"sposare","to marry; avere sposato","sposare"
"assistere","to assist, attend; avere assistito","assistere"
"dire","to say; avere detto","dire"
"burlarsi","to make fun of, laugh at; essersi burlato","burlarsi"
"ingrassare","to gain weight; essere ingrassato","ingrassare"
"apprendere","to learn, learn about; avere appreso","apprendere"
"sedere","to sit; avere seduto","sedere"
"gridare","to shout, cry, scream; avere gridato","gridare"
"colpire","to hit, strike; avere colpito","colpire"
"rodere","to gnaw; avere roso","rodere"
"trattenere","to keep back, restrain, detain; avere trattenuto","trattenere"
"svegliarsi","to wake o.s. up; si sono svegliato","svegliarsi"
"governare","to govern, rule; avere governato","governare"
"ammirare","to admire; avere ammirato","ammirare"
"addormentarsi","to go to sleep, fall asleep; essersi addormentato","addormentarsi"
"introdurre","to introduce, insert; avere introdotto","introdurre"
"funzionare","to act, function; avere funzionato","funzionare"
"indicare","to indicate, point out, show; avere indicato","indicare"
"porgere","to hand, offer, hold out; avere porto","porgere"
"rivolgersi","to turn to, turn around, apply; essersi rivolto","rivolgersi"
"vantarsi","to boast, brag, be proud; essersi vantato","vantarsi"
"abbassare","to lower, pull down, let down; avere abbassato","abbassare"
"falsificare","to falsify, forge, fake; avere falsificato","falsificare"
"apparecchiare","to prepare, set; avere apparecchiato","apparecchiare"
"raccomandare","to recommend; avere raccomandato","raccomandare"
"corrispondere","to correspond; avere corrisposto","corrispondere"
"piacere","to please, like, be pleasing to; essere piaciuto","piacere"
"imporre","to impose; avere imposto","imporre"
"percuotere","to strike, hit, beat; avere percosso","percuotere"
"pagare","to pay; avere pagato","pagare"
"immergere","to plunge, immerse; avere immerso","immergere"
"penetrare","to penetrate, pierce; avere penetrato","penetrare"
"annoiarsi","to be bored; essersi annoiato","annoiarsi"
"intervenire","to intervene; essere intervenuto","intervenire"
"diventare","to become; essere diventato","diventare"
"asciugare","to dry; avere asciugato","asciugare"
"avvenire","to happen, occur; essere avvenuto","avvenire"
"riunire","to reunite, put together; avere riunito","riunire"
"divertire","to amuse, entertain; avere divertito","divertire"
"resistere","to resist; avere resistito","resistere"
