"rompere","to break (off, up); avere rotto","rompere"
"cercare","to search; avere cercato","cercare"
"suggerire","to suggest, advise, prompt; avere suggerito","suggerire"
"raggiungere","to reach, catch up to, get to; avere raggiunto","raggiungere"
"chiedersi","to wonder; essersi chiesto","chiedersi"
"avere","to have; avere avuto","avere"
"cascare","to fall down; essere cascato","cascare"
"esasperare","to exasperate, irritate; avere esasperato","esasperare"
"generare","to generate, breed; avere generato","generare"
"assalire","to assail, assault; avere assalito","assalire"
"affittare","to rent (a house) out","affittare"
"corrompere","to corrupt; avere corrotto","corrompere"
"convincere","to convince; avere convinto","convincere"
"medicare","to medicate, treat, doctor; avere medicato","medicare"
"scuotere","to shake; avere scosso","scuotere"
"mascherare","to mask, disguise; avere mascherato","mascherare"
"dimostrare","to show, demonstrate; avere dimostrato","dimostrare"
"discorrere","to talk, chat; avere discorso","discorrere"
"votare","to vote; avere votato","votare"
"instruire","to teach, instruct; avere instruito","instruire"
"lavare","to wash, clean; avere lavato","lavare"
"portare","to bring, carry; avere portato","portare"
"reggere","to support bear, hold; avere retto","reggere"
"bastare","to be enough, suffice; essere bastato","bastare"
"denotare","to denote, mean; avere denotato","denotare"
"impazzire","to go mad, go insane; essere impazzito","impazzire"
"sbarcare","to disembark, get off; avere sbarcato","sbarcare"
"cucire","to sew; avere cucito","cucire"
"attribuire","to attribute, ascribe; avere attribuito","attribuire"
"ragionare","to reason, argue, discuss. talk over; avere ragionato","ragionare"
"osare","to dare, venture; avere osato","osare"
"bisognare","to be necessary, have to, must; essere bisognato","bisognare"
"cambiare","to change; avere cambiato","cambiare"
"mangiare","to eat; avere mangiato","mangiare"
"notificare","to notify; avere notificato","notificare"
"rendere","to render, give back, make; avere reso","rendere"
"urlare","to shout, yell, scream; avere urlato","urlare"
"spandere","to spread; avere spanto","spandere"
"valere","to be worth, be of value; essere valso","valere"
"fidarsi","to trust, confide; essersi fidato","fidarsi"
"scegliere","to choose, select; avere scelto","scegliere"
"offendere","to offend; avere offeso","offendere"
"tradire","to betray, deceive; avere tradito","tradire"
"ridire","to say again, repeat; avere ridetto","ridire"
"chiudere","to close; avere chiuso","chiudere"
"macchiare","to stain, spot; avere macchiato","macchiare"
"sopravvivere","to survive; essere sopravvissuto","sopravvivere"
"variare","to vary, diversify, change; avere variato","variare"
"raccontare","to tell (a story), relate, recount; avere raccontato","raccontare"
"dimenticare","to forget; avere dimenticato","dimenticare"
"fare","to make, do; avere fatto","fare"
"obbligare","to oblige, obligate; avere obbligato","obbligare"
"giacere","to lie (in a position); essere giaciuto","giacere"
"afferrare","to seize, grasp, hold on to; avere afferrato","afferrare"
"assaggiare","to taste; avere assaggiato","assaggiare"
"riflettere","to reflect; avere riflettuto (riflesso)","riflettere"
"scaldare","to heat, warm; avere scaldato","scaldare"
"mentire","to lie, fib; avere mentito","mentire"
"chiedere","to ask, demand; avere chiesto","chiedere"
"sbagliarsi","to make a mistake, be mistaken; essersi sbagliato","sbagliarsi"
"friggere","to fry; avere fritto","friggere"
"mettersi","to put (on) o.s., wear; essersi messo","mettersi"
"esistere","to exist, be; essere esistito","esistere"
"venire","to come, arrive; essere venuto","venire"
"andare","to go; essere andato","andare"
"salire","to go up, climb, mount; essere salito","salire"
"pungere","to prick, pinch, sting; avere punto","pungere"
"dolere","to suffer pain, ache; essere doluto","dolere"
"meritare","to deserve, merit; avere meritato","meritare"
"cedere","to give way, give in, yield; avere ceduto","cedere"
"stare","to be, stay, stand; essere stato","stare"
"intendere","to understand, mean, intend; avere inteso","intendere"
"escludere","to exclude, leave out, shut out; avere escluso","escludere"
"giungere","to arrive, reach; essere giunto","giungere"
"sospendere","to suspend, hang up; avere sospeso","sospendere"
"restare","to stay, remain; essere restato","restare"
"abbronzare","to tan; avere abbronzato","abbronzare"
"volgere","to turn, direct; avere volto","volgere"
"bollire","to boil; avere bollito","bollire"
"regolare","to regulare, adjust; avere regolato","regolare"
"punire","to punish; avere punito","punire"
"ricordarsi","to remember; essersi ricordato","ricordarsi"
"cuocere","to cook (food); avere cotto","cuocere"
"invitare","to invite; avere invitato","invitare"
"studiare","to study; avere studiato","studiare"
"commettere","to commit; avere commesso","commettere"
"bloccare","to block, close off; avere bloccato","bloccare"
"riposarsi","to rest; essersi riposato","riposarsi"
"restituire","to return, restore, give up; avere restituito","restituire"
"ascoltare","to listen; avere ascoltato","ascoltare"
"redigere","to draw up, edit; avere redatto","redigere"
"formare","to form, create; avere formato","formare"
"lavorare","to work; avere lavorato","lavorare"
"vedere","to see; avere visto","vedere"
"dissolvere","to dissolve, separate; avere dissolto (dissoluto)","dissolvere"
"avvisare","to advise, inform, let know; avere avvisato","avvisare"
"mantenere","to maintain, keep, preserve; avere mantenuto","mantenere"
"muovere","to move, stir; avere mosso","muovere"
"aderire","to adhere, belong to something; avere aderito","aderire"
"licenziare","to dismiss, fire; avere licenziato","licenziare"
"tradurre","to translate; avere tradotto","tradurre"
"perdere","to lose, waste; avere perso","perdere"
"contendere","to contend, dispute; avere conteso","contendere"
"pronunziare","to pronouce; avere pronunziato","pronunziare"
"viaggiare","to travel; avere viaggiato","viaggiare"
"esibire","to exhibit, show, display; avere esibito","esibire"
"detestare","to detest, loathe, hate; avere detestato","detestare"
"abitare","to live; avere abitato","abitare"
"liquidare","to liquidate, settle; avere liquidato","liquidare"
"cucinare","to cook (a meal); avere cucinato","cucinare"
