"scendere","to go down, come down, descend; essere sceso","scendere"
"svolgere","to unfold, develop; avere svolto","svolgere"
"disporre","to arrange, dispose; avere disposto","disporre"
"trascinare","to drag; avere trascinato","trascinare"
"mutare","to change, mutate; avere mutato","mutare"
"prenotare","to book, reserve; avere prenotato","prenotare"
"salutare","to greet, salute; avere salutato","salutare"
"respirare","to breathe; avere respirato","respirare"
"navigare","to sail, navigate; avere navigato","navigare"
"possedere","to possess; avere posseduto","possedere"
"giudicare","to judge; avere giudicato","giudicare"
"trascorrere","to spend, pass; avere trascorso","trascorrere"
"discutere","to discuss, argue; avere discusso","discutere"
"bruciarsi","to burn o.s.; essersi bruciato","bruciarsi"
"entrare","to enter; essere entrato","entrare"
"uscire","to go out, come out, exit; essere uscito","uscire"
"buttarsi","to throw o.s. into; essersi buttato","buttarsi"
"trarre","to draw, pull; avere tratto","trarre"
"gettare","to throw, cast; avere gettato","gettare"
"affrettarsi","to hasten, hurry; essersi affrettato","affrettarsi"
"contrarre","to incur, contract, catch; avere contratto","contrarre"
"implicare","to implicate, involve, imply; avere implicato","implicare"
"sapere","to know (how); avere saputo","sapere"
"ritrarre","to withdraw, portray; avere ritratto","ritrarre"
"continuare","to continue (with), carry on (with); avere continuato","continuare"
"condurre","to lead, conduct, drive; avere condotto","condurre"
"arrestare","to arrest, stop; avere arrestato","arrestare"
"ammettere","to admit; avere amesso","ammettere"
"esaminare","to examine, consider; avere esaminato","esaminare"
"crescere","to grow; essere cresciuto","crescere"
"bocciare","to fail, reject; avere bocciato","bocciare"
"prestare","to lend; avere prestato","prestare"
"abituarsi","to get used to; essersi abituato","abituarsi"
"spogliarsi","to undress; essersi spogliato","spogliarsi"
"esprimere","to express, voice; avere espresso","esprimere"
"inquinare","to pollute; avere inquinato","inquinare"
"succedere","to happen, occur; essere successo","succedere"
"volere","to want; avere voluto","volere"
"fungere","to function, server, operate; avere funto","fungere"
"trovare","to find; avere trovato","trovare"
"passare","to pass, procede, go along, go by; avere passato","passare"
"rimanere","to remain, stay; essere rimasto","rimanere"
"disfare","to undo; avere disfatto","disfare"
"lagnarsi","to complain, lament, moan; essersi lagnato","lagnarsi"
"trattare","to treat, use, deal with; avere trattato","trattare"
"camminare","to walk; avere camminato","camminare"
"disgustare","to disgust; avere disgustato","disgustare"
"ferire","to wound; avere ferito","ferire"
"uccidere","to kill; avere ucciso","uccidere"
"comparire","to appear, cut a fine figure; essere comparso","comparire"
"vestirsi","to dress o.s.; essersi vestito","vestirsi"
"lamentarsi","to complain, whine; essersi lamentato","lamentarsi"
"dispiacere","to displease, be sorry; essere dispiaciuto","dispiacere"
"ridurre","to reduce; avere ridotto","ridurre"
"mordere","to bite; avere morso","mordere"
"dipendere","to depend; essere dipeso","dipendere"
"prendere","to take; avere preso","prendere"
"preparare","to prepare; avere preparato","preparare"
"predire","to predict; avere predetto","predire"
"emettere","to emit, give out; avere emesso","emettere"
"rispettare","to respect; avere rispettato","rispettare"
"eleggere","to elect, choose; avere eletto","eleggere"
"radere","to shave, graze, raze; avere raso","radere"
"celebrare","to celebrate (solemn); avere celebrato","celebrare"
"avvedersi","to perceive, notice, become aware; essersi avveduto","avvedersi"
"anticipare","to anticipate, advance; avere anticipato","anticipare"
"glorificare","to glorify, praise; avere glorificato","glorificare"
"dimagrire","to lose weight; essere dimagrito","dimagrire"
"promuovere","to promote, further; avere promosso","promuovere"
"premere","to press, squeeze, be urgent; avere premuto","premere"
"sorridere","to smile; avere sorriso","sorridere"
"nuotare","to swim; avere nuotato","nuotare"
"leggere","to read; avere letto","leggere"
"sconfiggere","to defeat; avere sconfitto","sconfiggere"
"bere","to drink; avere bevuto","bere"
"fermarsi","to stop, stay; essersi fermato","fermarsi"
"pettinare","to comb; avere pettinato","pettinare"
"ritornare","to return, go back, come back; essere ritornato","ritornare"
"correre","to run; avere/essere corso","correre"
"produrre","to produce; avere prodotto","produrre"
"essere","to be; essere stato","essere"
"desiderare","to wish, want, desire; avere desiderato","desiderare"
"partecipare","to participate, share; avere partecipato","partecipare"
"spiegare","to explain; avere spiegato","spiegare"
"disperare","to despair; avere disperato","disperare"
"sedersi","to sit (down); essersi seduto","sedersi"
"distrarre","to distract; avere distratto","distrarre"
"facilitare","to facilitate, make easier; avere facilitato","facilitare"
"elevare","to raise, lift up, elevate; avere elevato","elevare"
"credere","to believe; avere creduto","credere"
"imbucare","to post, mail a letter, hide; avere imbucato","imbucare"
"fingere","to feign, pretend; avere finto","fingere"
"difendere","to defend, guard against; avere difeso","difendere"
"vestire","to dress; avere vestito","vestire"
"ringraziare","to thank; avere ringraziato","ringraziare"
"preferire","to prefer; avere preferito","preferire"
"digerire","to digest; avere digerito","digerire"
"tremare","to shake, tremble; avere tremato","tremare"
"toccare","to touch, handle; avere toccato","toccare"
"evitare","to avoid; avere evitato","evitare"
"pensare","to think; avere pensato","pensare"
"lottare","to struggle, wrestle, fight; avere lottato","lottare"
