"imporre","to impose; avere imposto","imporre"
"giudicare","to judge; avere giudicato","giudicare"
"rassegnarsi","to resign o.s.; essersi rassegnato","rassegnarsi"
"produrre","to produce; avere prodotto","produrre"
"depositare"," to deposit; avere depositato","depositare"
"svenire","to faint, swoon; essere svenuto","svenire"
"uccidere","to kill; avere ucciso","uccidere"
"negoziare","to negotiate, barter; avere negoziato","negoziare"
"vestirsi","to dress o.s.; essersi vestito","vestirsi"
"chiamare","to call; avere chiamato","chiamare"
"unire","to unite, join together; avere unito","unire"
"ottenere","to obtain, get; avere ottenuto","ottenere"
"cominciare","to start; avere cominciato","cominciare"
"ostinarsi","to persist, insist; essersi ostinato","ostinarsi"
"stare","to be, stay, stand; essere stato","stare"
"scrivere","to write; avere scritto","scrivere"
"lavarsi","to wash o.s.; essersi lavato","lavarsi"
"abituarsi","to get used to; essersi abituato","abituarsi"
"umiliare","to hunble, humiliate; avere umiliato","umiliare"
"scomparire","to disappear; essere scomparso","scomparire"
"sopravvivere","to survive; essere sopravvissuto","sopravvivere"
"mordere","to bite; avere morso","mordere"
"valere","to be worth, be of value; essere valso","valere"
"camminare","to walk; avere camminato","camminare"
"macchiare","to stain, spot; avere macchiato","macchiare"
"sognare","to dream; avere sognato","sognare"
"tornare","to return, go back; essere tornato","tornare"
"offendere","to offend; avere offeso","offendere"
"spargere","to spread; avere sparso","spargere"
"opprimere","to oppress, weigh down, overwhelm; avere oppresso","opprimere"
"dormire","to sleep; avere dormito","dormire"
"usare","to use; avere usato","usare"
"cadere","to fall; essere caduto","cadere"
"continuare","to continue (with), carry on (with); avere continuato","continuare"
"innamorarsi","to fall in love with; essersi innamorato","innamorarsi"
"piegare","to fold; avere piegato","piegare"
"vietare","to forbid, prohibit; avere vietato","vietare"
"friggere","to fry; avere fritto","friggere"
"spegnere","to turn off, extinguish, put out; avere spento","spegnere"
"trasferire","to transfer, remove, move (somewhere); avere trasferito","trasferire"
"sbagliarsi","to make a mistake, be mistaken; essersi sbagliato","sbagliarsi"
"soffrire","to suffer, bear, endure; avere sofferto","soffrire"
"parere","to appear, seem; essere parso","parere"
"votare","to vote; avere votato","votare"
"impiegare","to employ, engage, use; avere impiegato","impiegare"
"salutare","to greet, salute; avere salutato","salutare"
"vedere","to see; avere visto","vedere"
"interrompere","to interrupt; avere interrotto","interrompere"
"introdurre","to introduce, insert; avere introdotto","introdurre"
"comparire","to appear, cut a fine figure; essere comparso","comparire"
"ubbidire","to obey; avere ubbidito","ubbidire"
"ammalarsi","to get sick, fall ill; essersi ammalato","ammalarsi"
"includere","to include; avere incluso","includere"
"resistere","to resist; avere resistito","resistere"
"lagnarsi","to complain, lament, moan; essersi lagnato","lagnarsi"
"comprare","to buy; avere comprato","comprare"
"legare","to tie up, bind; avere legato","legare"
"anticipare","to anticipate, advance; avere anticipato","anticipare"
"riconoscere","to recognize; avere riconosciuto","riconoscere"
"rispondere","to answer, reply; avere risposto","rispondere"
"scegliere","to choose, select; avere scelto","scegliere"
"bocciare","to fail, reject; avere bocciato","bocciare"
"giocare","to play (a game); avere giocato","giocare"
"conoscere","to know (about); avere conosciuto","conoscere"
"rifare","to do again, make again; avere rifatto","rifare"
"raccomandare","to recommend; avere raccomandato","raccomandare"
"riunire","to reunite, put together; avere riunito","riunire"
"vergognarsi","to be ashamed; essersi vergognato","vergognarsi"
"mancare","to miss, lack; avere mancato","mancare"
"passare","to pass, procede, go along, go by; avere passato","passare"
"permettere","to permit, allow; avere permesso","permettere"
"riposarsi","to rest; essersi riposato","riposarsi"
"diventare","to become; essere diventato","diventare"
"piovere","to rain; essere piovuto","piovere"
"regolare","to regulate, adjust; avere regolato","regolare"
"pettinare","to comb; avere pettinato","pettinare"
"lasciare","to leave, let; avere lasciato","lasciare"
"contendere","to contend, dispute; avere conteso","contendere"
"inquinare","to pollute; avere inquinato","inquinare"
"sconfiggere","to defeat; avere sconfitto","sconfiggere"
"assumere","to assume, hire; avere assunto","assumere"
"rivolgersi","to turn to, turn around, apply; essersi rivolto","rivolgersi"
"guarire","to heal, recover; essere guarito","guarire"
"bruciarsi","to burn o.s.; essersi bruciato","bruciarsi"
"trattare","to treat, use, deal with; avere trattato","trattare"
"sorgere","to rise; essere sorto","sorgere"
"coprire","to cover; avere coperto","coprire"
"facilitare","to facilitate, make easier; avere facilitato","facilitare"
"affittare","to rent (a house) out","affittare"
"salire","to go up, climb, mount; essere salito","salire"
"mettersi","to put (on) o.s., wear; essersi messo","mettersi"
"maledire","to curse, damn; avere maledetto","maledire"
"rifiutare","to refuse, reject; avere rifiutato","rifiutare"
"apparire","to appear, look, seem; essere apparso","apparire"
"distinguere","to distinguish; avere distinto","distinguere"
"ritenere","to hold, retain, stop, detain; avere ritenuto","ritenere"
"pulire","to clean; avere pulito","pulire"
"concedere","to concede, grant, award; avere concesso (conceduto)","concedere"
"apprendere","to learn, learn about; avere appreso","apprendere"
"rompere","to break (off, up); avere rotto","rompere"
"mandare","to send; avere mandato","mandare"
"elevare","to raise, lift up, elevate; avere elevato","elevare"
"cancellare","to cross out, cancel, rub out; avere cancellato","cancellare"
"consistere","to consist; essere consistito","consistere"
"piangere","to weep, cry; avere pianto","piangere"
"vantarsi","to boast, brag, be proud; essersi vantato","vantarsi"
"accendere","to switch on, turn on; light; avere acceso","accendere"
"cedere","to give way, give in, yield; avere ceduto","cedere"
"pretendere","to claim, pretend, demand; avere preteso","pretendere"
"lavare","to wash, clean; avere lavato","lavare"
"tremare","to shake, tremble; avere tremato","tremare"
"prevenire","to precede, anticipate, prevent; avere prevenuto","prevenire"
"disattivare","to deactivate; avere disattivato","disattivare"
"calcolare","to calculate, compute; avere calcolato","calcolare"
"ritornare","to return, go back, come back; essere ritornato","ritornare"
"assaggiare","to taste; avere assaggiato","assaggiare"
"sorridere","to smile; avere sorriso","sorridere"
"aumentare","to increase; essere aumentato","aumentare"
"governare","to govern, rule; avere governato","governare"
"contraddire","to contradict; avere contradetto","contraddire"
"affermare","to affirm, declare, state; avere affermato","affermare"
"gestire","to manage, administrate; avere gestito","gestire"
"visitare","to visit, examine (medical); avere visitato","visitare"
"seguire","to follow; avere seguito","seguire"
"succedere","to happen, occur; essere successo","succedere"
"occupare","to occupy; avere occupato","occupare"
"ammettere","to admit; avere amesso","ammettere"
"studiare","to study; avere studiato","studiare"
"funzionare","to act, function; avere funzionato","funzionare"
"restituire","to return, restore, give up; avere restituito","restituire"
"essere","to be; essere stato","essere"
"incontrare","to meet, encounter; avere incontrato","incontrare"
"fermarsi","to stop, stay; essersi fermato","fermarsi"
"disperare","to despair; avere disperato","disperare"
"esaurire","to exhaust, wear out, use up; avere esaurito","esaurire"
"correre","to run; avere/essere corso","correre"
"proteggere","to protect; avere protetto","proteggere"
"svegliare","to wake someone up, rouse; avere svegliato","svegliare"
"intervenire","to intervene; essere intervenuto","intervenire"
"bloccare","to block, close off; avere bloccato","bloccare"
"risolvere","to resolve, solve; avere risolto","risolvere"
"credere","to believe; avere creduto","credere"
"firmare","to sign; avere firmato","firmare"
"offrire","to offer; avere offerto","offrire"
"scoprire","to discover, find out; avere scoperto","scoprire"
"nascere","to be born; essere nato","nascere"
"osservare","to observe, watch; avere osservato","osservare"
"bere","to drink; avere bevuto","bere"
"ragionare","to reason, argue, discuss. talk over; avere ragionato","ragionare"
"esasperare","to exasperate, irritate; avere esasperato","esasperare"
"liquidare","to liquidate, settle; avere liquidato","liquidare"
"formare","to form, create; avere formato","formare"
"svolgere","to unfold, develop; avere svolto","svolgere"
"distrarre","to distract; avere distratto","distrarre"
"sposarsi","to get married; essersi sposato","sposarsi"
"finire","to finish; avere finito","finire"
"ripetere","to repeat; avere ripetuto","ripetere"
"promuovere","to promote, further; avere promosso","promuovere"
"venire","to come, arrive; essere venuto","venire"
"accogliere","to welcome, receive; avere accolto","accogliere"
"respirare","to breathe; avere respirato","respirare"
"giustificare","to justify; avere giustificato","giustificare"
"spedire","to send, mail; avere spedito","spedire"
"spendere","to spend, expend; avere speso","spendere"
"prevedere","to foresee, entail; avere previsto","prevedere"
"esistere","to exist, be; essere esistito","esistere"
"provare","to try (out), test; avere provato","provare"
"invadere","to invade; avere invaso","invadere"
"restare","to stay, remain; essere restato","restare"
"calmarsi","to calm o.s. (down); essersi calmato","calmarsi"
"godere","to enjoy; avere goduto","godere"
