"vt. (con liquido) to wet","bagnare; avere bagnato"
"vr. (fare il bagno) to go for a swim; (con pioggia, acqua) to get soaked","bagnarsi; essersi bagnato"
"vt./vi. (tango, valzer) to dance","ballare; avere ballato"
"vi. (saltare di scatto) to leap; fig. (risaltare) to stand out","balzare; essere balzato"
"to leap down from sth","balzare giù da qc"
"to leap out of bed","balzare giù dal letto"
"to leap to one's feet","balzare in piedi"
"fig. to be obvious","balzare agli occhi"
"vt. (fondare) to base","basare; avere basato"
"fig. (fondare) to base sth on sth","basare qc su qc"
"vr. to be based (on)","basarsi (su); essersi basato"
"vt. (dar colpi) to beat; vi. (pioggia, sole, cuore) to beat (down);  (bussare) to knock","battere; avere battuto"
"(per il freddo) to chatter","battere i denti"
"to clap (one's hands)","battere le mani"
"fig. to stamp one's feet","battere i piede"
"vt.  (acqua, vino, caffè) to drink","bere; avere bevuto"
"vt. (isolare) to block (off); (prezzi, affitti) to freeze; (meccanismo) to jam","bloccare; avere bloccato"
"vr. (fermarsi, inibirsi) to freeze, (tastiera, freni) to jam, (motore) to stall","bloccarsi; essersi bloccato"
"vt. to boil; vi. to boil","bollire; avere bollito"
"to seethe with rage","bollire di rabbia"
"vt. (casa, legna, sole) to burn (down); vi. (fuoco, carta, rami) to burn; (ardere: casa, bosco) to be burning","bruciare; avere bruciato"
"vr. (scottarsi) to burn o.s.","bruciarsi; essersi bruciato"
"vi. to knock","bussare; avere bussato"
"to knock on the door","bussare alla porta"
"vt. (gettare) to throw","buttare; avere buttato"
"to throw away","buttare via"
"to throw sth at sb","buttare qc a qn"
"(scritto) to jot down; (cibo, boccone) to gulp down; (edificio) to pull, knock down","buttare giù"
"vt. SPORTS (animali) to hunt","cacciare; avere cacciato"
"vi. (cascare: persona) to fall; (aereo) to crash","cadere; essere caduto"
"to drop dead","cadere morto"
"fig. to land on one's feet","cadere in piedi"
"to fall sick","cadere ammalato"
"vt. (dimensioni, differenza, durata, valore) to calculate","calcolare; avere calcolato"
"vt. (persona) to calm (down); (lenire: dolore) to sooth","calmare; avere calmato"
"vr. to grow calm, calm down; (dolore) to ease","calmarsi; essersi calmato"
"vt. to change; (modificare) alter, change; avere cambiato; vi. (trasformarsi) to change","cambiare; essere cambiato"
"to change one's mind","cambiare idea"
"to change the subject","cambiare argomento"
"to change trains/planes","cambiare treno/aereo"
"vi. (andare a piede) to walk","camminare; avere camminato"
"fig. to walk on eggshells","camminare sulle uova"
"vt. (con la gomma) to erase; fig. (appuntamento, prenotazione, volo) to cancel","cancellare; avere cancellato"
"vt. (canzone) to sing; vi. to sing","cantare; avere cantato"
"vt./vi. to understand","capire; avere capito"
"to misunderstand sth","capire male qc"
"to make sth clear to sb","far capire qc a qu"
"vi. <imp.> (accadere) to happen","capitare; essere capitato"
"to have good luck/bad luck","capitare bene/male"
"it happens to everyone","capita a tutti"
"vt. (macchina, pistola, nave, merce, passeggeri) to load; (batterie) to charge; (orologio) to wind (up)","caricare; avere caricato"
"fig. to overload sb with sth","caricare qu di qc"
"fig. to lay it on thick","caricare la dose"
"vt. (danni, dolore, problemi) to cause","causare; avere causato"
"vt. (lasciare) to give up; vi. (darsi per vinto) to give in; (pilastri, fondazioni) to give way","cedere; avere ceduto"
"fig. to give in to sth, give way to sth","cedere a qc"
"vt. (tentare di trovare) to look, search for; (tentare di ottenere: gloria, fama, potere) to seek","cercare; avere cercato"
"vi. (sforzarsi) to try","cercare (di); avere cercato"
"vt./vi. to stop, cease","cessare; avere cessato"
"to cease doing sth","cessare di fare qc"
"vi. (parlare) to chat; pej. (spettegolare) to gossip","chiacchierare; avere chiacchierato"
"vt. (rivolgersi a, far venire, telefonare a, mettere nome a, definire) to call","chiamare; avere chiamato"
"vr. (aver nome) to be called","chiamarsi; essersi chiamato"
"vt.  (per sapere) to ask; (per avere) to ask for; vi. to ask","chiedere; avere chiesto"
"to ask about sb","chiedere di qn"
"to ask sb for sth","chiedere qc a qn"
"to ask sb to do sth","chiedere qn di fare qc"
"to ask the price of sth","chiedere il prezzo di qc"
"to ask sb for advice","chiedere un consiglio a qn"
"to ask sb for news","chiedere notizie di qn"
"to ask sb for a favor","chiedere un favore a qn"
"vr. to wonder","chiedersi; essersi chiesto"
"vi.  (porta, finestra, scuola, locale) to close; (rubinetto) to turn off; (cessare l'attività: fabbrica, negozio) to close down","chiudere; avere chiuso"
"vr.  to shut, close; (rinchiudersi) to shut o.s. away;  (ferita) to close up","chiudersi; essersi chiuso"
"to lock the door","chiudere a chiave la porta"
"to lock","chiudere a chiave"
"fig. to shut one's mouth","chiudere la bocca"
"fig. to turn a blind eye","chiudere un occhio"
"vt. (accerchiare, contornare) to surround","circondare; avere circondato"
"vr. to surround o.s. (with)","circondarsi (di); essersi circondato"
"vt. (bambino, animale) to cuddle","coccolare; avere coccolato"
"vt.  (fiore, frutto) to pick, gather; fig. (momento, opportuno, occasione) to seize, take, grasp","cogliere; avere colto"
"vt. to involve (in)","coinvolgere (in); avere coinvolto"
"vt. (fili, cavi, computer) to connect, join, link","collegare; avere collegato"
"vr. to hook up","collegarsi; essersi collegato"
"vt.  (avversario, bersaglio) to hit; (danneggiare: città, zona; impressionare) to strike","colpire; avere colpito"
"fig. to hit the nail on the head","colpire nel segno"
"vt. (campo, terreno, amicizia, mente) to cultivate; (patate, rape) to grow","coltivare; avere coltivato"
"vt./vi. (nemico, guerra) to fight; (malattia, ignoranza, delinquenza) to combat","combattere; avere combattuto"
"to fight (against) sth","combattere contro qc"
"to fight for sth","combattere per qc"
"vt./vi. (lavoro, studi, discorso, libro) to start","cominciare; avere cominciato"
"to start doing sth","cominciare a fare qc"
"vt. (momento, storia, cerimonia) to move, affect","commuovere; avere commosso"
"vr. to be moved","commuoversi; essersi commosso"
"vt.  (concludere: missione, studi) to finish, complete; (fare) to carry out","compiere; avere compiuto"
"to have one's birthday","compiere gli anni"
"vr. to behave, comport o.s.","comportarsi; essersi comportato"
"vt. to buy","comprare; avere comprato"
"vt. (contenere) comprise, consist of; (capire) to understand","comprendere; avere compreso"
"vt, (notizia) to pass on, convey; vi. to communicate","comunicare; avere comunicato"
"vt. (accordare) to grant; (ammettere) to admit, concede","concedere; avere concesso"
"vt. to conclude","concludere; avere concluso"
"vt./vi. fig. to lead","condurre; avere condotto"
"vt. to mix up, to confuse","confondere; avere confuso"
"vr. (turbarsi) to be confused; (sbagliare) to get mixed up","confondersi; essersi confuso"
"vt. (paragonare: offerte, prezzi, tariffe) to compare","confrontare; avere confrontato"
"vt.  (persona, metodo, ristorante, lingua) to know (of); (incontrare) to meet","conoscere; avere conosciuto"
"I know who I'm dealing with","conosco i miei polli"
"vr. to know o.s.; (incontrarsi) to meet; (essere amici) to know each other","conoscersi; essersi conosciuto"
"vt.to conquer; fig. (ottenere: diritto, potere, libertà) to gain, (amicizia, amore, simpatia) to win","conquistare; avere conquistato"
"vt. (recapitare: posta, merce) to deliver; (affidare) to hand over","consegnare; avere consegnato"
"vt. (tenere conto, ritenere) to consider, rigard","considerare; avere considerato"
"vi. (essere composto di) to consist (of)","consistere (di); avere consistito"
"vt. (rovinare: scarpe, cinturino, gomme) to wear out; (usare, mangiare) to consume, use up","consumare; avere consumato"
"vr. (logorarsi: scarpe, gomme) to wear out; to be used up; fig. to be consumed","consumarsi; essersi consumato"
"vt. to infect","contagiare; avere contagiato"
"vt./vi. (numerare, calcolare, valere) to count","contare; avere contato"
"fig. to count the days/the hours/the minutes","contare i giorni/le ore/i minuti"
"to count on doing sth","contare di fare qc"
"to count on sb/sth","contare su qu/qc"
"vt. (racchiudere) to contain; (trattenere: lacrime) to hold back","contenere; avere contenuto"
"vi. (durare) to continue","continuare; avere continuato"
"to continue doing sth","continuare a fare qc"
"vt. to contradict","contraddire; avere contraddetto"
"vr. to contradict o.s.; to contradict each other","contraddirsi; essersi contraddetto"
"vt. (documenti, biglietti, risposta) to check; (attività) to keep a watch on; (mercato, avversario, gesti, emozioni) to control","controllare; avere controllato"
"vr. to control o.s.","controllarsi; essersi controllato"
"vt. (trasformare) to change, convert","convertire; avere convertito"
"to convert sb to sth","convertire qu a qc"
"to convert sth into sth","convertire qc in qc"
"vr. to be converted (to)","convertirsi (a); essersi convertito"
"vt. to convince","convincere; avere convinto"
"to convince sb of sth","convincere qu di qc"
"vr. to convince o.s. (of)","convincersi (di); essersi convinto"
"vt.  (gener) to cover; (occupare: carica, posto) to hold","coprire; avere coperto"
"vt. (compiti, difetto, errore) to correct","correggere; avere corretto"
