"bagnare","vt. (con liquido) to wet; avere bagnato"
"bagnarsi","vr. (fare il bagno) to go for a swim; (con pioggia, acqua) to get soaked; essersi bagnato"
"ballare","vt./vi. (tango, valzer) to dance; avere ballato"
"balzare","vi. (saltare di scatto) to leap; fig. (risaltare) to stand out; essere balzato"
"balzare giù da qc","to leap down from sth"
"balzare giù dal letto","to leap out of bed"
"balzare in piedi","to leap to one's feet"
"balzare agli occhi","fig. to be obvious"
"basare","vt. (fondare) to base; avere basato"
"basare qc su qc","fig. (fondare) to base sth on sth"
"basarsi (su)","vr. to be based (on); essersi basato"
"battere","vt. (dar colpi) to beat; vi. (pioggia, sole, cuore) to beat (down);  (bussare) to knock; avere battuto"
"battere i denti","(per il freddo) to chatter"
"battere le mani","to clap (one's hands)"
"battere i piede","fig. to stamp one's feet"
"bere","vt.  (acqua, vino, caffè) to drink; avere bevuto"
"bloccare","vt. (isolare) to block (off); (prezzi, affitti) to freeze; (meccanismo) to jam; avere bloccato"
"bloccarsi","vr. (fermarsi, inibirsi) to freeze, (tastiera, freni) to jam, (motore) to stall; essersi bloccato"
"bollire","vt. to boil; vi. to boil; avere bollito"
"bollire di rabbia","to seethe with rage"
"bruciare","vt. (casa, legna, sole) to burn (down); vi. (fuoco, carta, rami) to burn; (ardere: casa, bosco) to be burning; avere bruciato"
"bruciarsi","vr. (scottarsi) to burn o.s.; essersi bruciato"
"bussare","vi. to knock; avere bussato"
"bussare alla porta","to knock on the door"
"buttare","vt. (gettare) to throw; avere buttato"
"buttare via","to throw away"
"buttare qc a qn","to throw sth at sb"
"buttare giù","(scritto) to jot down; (cibo, boccone) to gulp down; (edificio) to pull, knock down"
"cacciare","vt. SPORTS (animali) to hunt; avere cacciato"
"cadere","vi. (cascare: persona) to fall; (aereo) to crash; essere caduto"
"cadere morto","to drop dead"
"cadere in piedi","fig. to land on one's feet"
"cadere ammalato","to fall sick"
"calcolare","vt. (dimensioni, differenza, durata, valore) to calculate; avere calcolato"
"calmare","vt. (persona) to calm (down); (lenire: dolore) to sooth; avere calmato"
"calmarsi","vr. to grow calm, calm down; (dolore) to ease; essersi calmato"
"cambiare","vt. to change; (modificare) alter, change; avere cambiato; vi. (trasformarsi) to change; essere cambiato"
"cambiare idea","to change one's mind"
"cambiare argomento","to change the subject"
"cambiare treno/aereo","to change trains/planes"
"camminare","vi. (andare a piede) to walk; avere camminato"
"camminare sulle uova","fig. to walk on eggshells"
"cancellare","vt. (con la gomma) to erase; fig. (appuntamento, prenotazione, volo) to cancel; avere cancellato"
"cantare","vt. (canzone) to sing; vi. to sing; avere cantato"
"capire","vt./vi. to understand; avere capito"
"capire male qc","to misunderstand sth"
"far capire qc a qu","to make sth clear to sb"
"capitare","vi. <imp.> (accadere) to happen; essere capitato"
"capitare bene/male","to have good luck/bad luck"
"capita a tutti","it happens to everyone"
"caricare","vt. (macchina, pistola, nave, merce, passeggeri) to load; (batterie) to charge; (orologio) to wind (up); avere caricato"
"caricare qu di qc","fig. to overload sb with sth"
"caricare la dose","fig. to lay it on thick"
