"cacciare","vt. SPORTS (animali) to hunt; (mettere) to put; (mandar via) to throw out; (tirare fuori) to get out; (emettere) to let out; avere cacciato"
"cacciare fuori la lingua","to stick out one's tongue"
"cacciare un urlo","to let out a yell"
"cacciarsi","vr. (nascondersi) to hide (o.s.); (introdursi, mettersi) to get; essersi cacciato"
"cacciarsi nei pasticci","fig. to get into trouble"
"cadere","vi. (cascare: persona) to fall; (aereo) to crash; essere caduto"
"cadere morto","to drop dead"
"cadere in piedi","a fig. to land on one's feet"
"cadere ammalato","to fall sick"
"calcolare","vt. (dimensioni, differenza, durata, valore) to calculate; fig. (valutare) to assess; (tenere contro) to take into account; avere calcolato"
"calmare","vt. (persona) to calm (down); (ira, rabbia) to reduce; (pianto) to stop; (dolore) to alleviate; avere calmato"
"calmarsi","vr. to calm o.s. down; (dolore) to ease; essersi calmato"
"calpestare","vt. (con i piedi) to tread on; (sentimenti) to trample on; avere calpestato"
"cambiare","vt. to change; (scambiare) to exchange; avere cambiato; vi. (trasformarsi) to change; essere cambiato"
"cambiare casa","to move (house)"
"cambiare idea","to change one's mind"
"cambiare argomento","to change the subject"
"cambiare qc con qn","to exchange sth with sb"
"cambiare qc per qc","to exchange sth for sth"
"cambiare treno/aereo","to change trains/planes"
"camminare","vi. (andare a piede) to walk; avere camminato"
"camminare sulle uova","fig. to walk on eggshells"
"cancellare","vt. (con la gomma) to erase; (con la penna) to cross out; (sulla lavagna) to wipe off; fig. (appuntamento, prenotazione, volo) to cancel; avere cancellato"
"candidare","vt. (presentare come candidato) to put forward as a candidate; (proporre come candidato) to nominate; avere candidato"
"candidarsi","vr. to run as a candidate; essersi"
"cantare","vt. (canzone) to sing; vi. to sing; avere cantato"
"capire","vt. <capisco> to understand; vi. <capisco> to understand; essere capito"
"capire male qc","to misunderstand sth"
"far capire qc a qu","to make sth clear to sb"
"capitare","vi. (giungere) to come; (succedere) to happen; essere capitato"
"capitare bene/male","to have good luck/bad luck"
"capita a tutti","it happens to everyone"
"caricare","vt. (macchina, camion, nave, merce) to load; (passeggeri) to pick up; (batterie) to charge; (fucile, pistola, macchina fotografica) to load; (orologio) to wind (up); MIL (assaltare) to charge; SPORTS to tackle; (oberare) to overload; (aumentare) to increase; avere caricato"
"caricare qu di qc","fig. to overload sb with sth"
"caricare la dose","fig. to lay it on thick"
"causare","vt. (danni, dolore, problemi) to cause; avere causato"
"cedere","vt. (lasciare) to give up; COMM, LAW (vendere) to sell; vi. MIL to yield; (darsi per vinto) to give in; (pilastri, fondazioni) to give way; avere ceduto"
"cedere il passo a qn","to let sb go first"
"cedere il passo a qc","fig. to give way to sth"
"cedere a qc","fig. to give in to sth"
"celare","vt. (significato, tristezza, verità) to conceal; avere celato"
"celarsi","vr. to be concealed; essersi celato"
"celebrare","vt. (festeggiare: vittoria, festa) to celebrate; (ufficiare: messa) to celebrate, (nozze) to officiate at; (glorificare) to celebrate; avere celebrato"
"cercare","vt. (tentare di trovare) to look, search for; (tentare di ottenere: gloria, fama, potere) to seek; (desiderare: affetto, serenità, tranquillità) to want; avere cercato"
"cercare (di)","vi. (sforzarsi) to try; avere cercato"
"cessare","vt. to stop, cease; essere cessato; vi. to stop, cease; avere cessato"
"cessare di fare qc","to stop doing sth"
"chiacchierare","vi. (parlare) to chat; pej. (spettegolare) to gossip; avere chiacchierato"
"chiamare","vt. (rivolgersi a) to call; (far venire: medico, polizia, taxi) to call; (telefonare a) to call; (svegliare) to call; (mettere nome a) to call; (definire) to call; avere chiamato"
"chiamarsi","vr. (aver nome) to be called; essersi chiamato"
"chiedere","vt. <chiedo> (per sapere) to ask; (per avere) to ask for; vi. to ask; vi. <chiedo> to ask; avere chiesto"
"chiedere di qn","to ask about sb"
"chiedere qc a qn","to ask sb for sth"
"chiedere qu di fare qc","to ask sb to do sth"
"chiedere il prezzo di qc","to ask the price of sth"
"chiedere di qu","to ask about sb"
"chiedersi","vr. to wonder; essersi chiesto"
"chiudere","vi. <chiudo> (porta, finestra) to close; (rubinetto) to turn off; (scuola, locale) to close; COMM (cessare l'attività: fabbrica, negozio) to close down; avere chiuso"
"chiudersi","vr. <chiudo> (rinchiudersi) to shut o.s.; essersi chiuso"
"chiudere a chiave la porta","to lock the door"
"chiudere a chiave","to lock"
"chiudere la bocca","fig. to shut one's mouth"
"chiudere un occhio","fig. to turn a blind eye"
"circondare","vt. (accerchiare, contornare) to surround; avere circondato"
"circondare qu di qc","fig. to lavish sth on sb"
"circondarsi (di)","vr. to surround o.s. (with); essersi circondato"
"circondarsi di qu/qc","to surround oneself with sb/sth"
"coccolare","vt. (bambino, animale) to cuddle; avere coccolato"
"cogliere","vt. <colgo> (fiore, frutto) to pick; (occasione) to take, (offerta) to accept; (sorprendere) to catch; (significato, problema) to understand; (colpire) to strike; avere colto"
"cogliere qc al volo","fig. to jump at sth"
"cogliere qu in flagrante","to catch sb redhanded"
"coinvolgere","vt. to involve, to implicate; avere coinvolto"
"coinvolgere qu in qc","to involve sb in sth"
"colare","vt. (liquido, brodo) to strain; (metallo) to cast; essere colato; vi. (gocciolare: liquido) to run, (cera) to drip; (recipiente) to leak; avere colato"
"collegare","vt. (fili, cavi, computer) to connect, join, link; avere collegato"
"collegarsi","vr. to connect, join, meet; essersi collegato"
"colpire","vt. <colpisco> (avversario, bersaglio) to hit; (danneggiare: città, zona) to strike; (impressionare) to make an impression on; avere colpito"
"colpire qu con un pugno","to punch sb"
"colpire nel segno","fig. to hit the nail on the head"
"coltivare","vt. (campo, terreno) to cultivate; (patate, rape) to grow; (amicizia, mente) to cultivate, (scienze, arti) to go in for; avere coltivato"
"combattere","vt. MIL (nemico, guerra) to fight; (malattia, ignoranza, delinquenza) to combat; vi. to fight; avere combattuto"
"combattere contro qc","to fight (against) sth"
"combattere per qc","to fight for sth"
"cominciare","vt. (lavoro, studi, discorso, libro) to start; vi. to start; avere cominciato"
"cominciare a fare qc","to start doing sth"
"commuovere","vt. (momento, storia, cerimonia) to move, touch, affect; avere commosso"
"commuoversi","vr. to be moved, get emotional; essersi commosso"
"comparire","to appear, cut a fine figure; essere comparso"
"compatire","vt. <compatisco> (avere compassione di) to feel sorry for; (disprezzare) to pity; avere compatito"
"compiacere","vi. (assecondare) to please; avere compiaciuto"
"compiacersi","vr. to be pleased; essersi compiaciuto"
"compiacersi con qu per qc","to congratulate sb on sth"
"compiere","vt. <compio> (concludere: missione, studi) to complete; (fare) to carry out; avere compiuto"
"compiere gli anni","to have one's birthday"
"comportarsi","to behave, comport o.s.; essersi comportato"
"comprare","to buy; avere comprato"
"comprendere","to understand; avere compreso"
"comunicare","to communicate; avere comunicato"
"concedere","to concede, grant, award; avere concesso (conceduto)"
"concludere","to conclude; avere concluso"
"condurre","vi. <conduco> SPORTS to lead; (strada) to lead; avere condotto"
"condurre a termine qc","fig. to complete sth"
"confondere","vt. to confuse; avere confuso"
"confondersi","vr. (mescolarsi) to mingle; (immagini, suoni, colori) to merge; (sbagliarsi) to get confused; (turbarsi) to get flustered; essersi confuso"
"confondersi tra la folla","to mingle with the crowd"
"confrontare","vt. (offerte, prezzi, tariffe) to compare; avere confrontato"
"conoscere","vt. <conosco> (persona, metodo, ristorante, lingua) to know; (incontrare) to meet; avere conosciuto"
"conosco i miei polli","hum. I know who I'm dealing with"
"conoscersi","vr. <conosco> (incontrarsi) to meet; (essere amici) to know each other; essersi conosciuto"
"conquistare","vt. (ottenere: diritto, potere, libertà) to gain; MIL to conquer; (persona) to win over, (amicizia, amore, simpatia) to win; avere conquistato"
"consegnare","vt. (recapitare: posta, merce) to deliver; (affidare) to hand over; avere consegnato"
"considerare","vt. (tenere conto, ritenere) to consider; (esaminare) to examine; avere considerato"
"consistere","vi. (essere composto di) to consist; essere consistito"
"consistere di qc","to consist of sth"
"consolare","vt. (bambino) to console, (confortare) to comfort; (rallegrare) to cheer up; avere consolato"
"consolarsi","vr. (trovare conforto) to console o.s., be comforted; (rallegrarsi) to cheer up; essersi consolato"
"consolarsi di qc","to console oneself with sth"
"constatare","vt. (notare) to notice, to note, observe; avere constatato"
"consumare","vt. (rovinare: scarpe, cinturino, gomme) to wear out; (mangiare: pasti, cibo) to consume; (matrimonio) to consummate, (delitto) to commit; avere consumato"
"consumarsi","vr. (logorarsi: scarpe, gomme) to wear out; essersi consumato"
"contagiare","vt. to infect; avere contagiato"
"contare","vt. (numerare, calcolare) to count; vi. (numeri) to count; (valere) to count; avere contato"
"contare i giorni/le ore/i minuti","fig. to count the days/the hours/the minutes"
"contare di fare qc","to count on doing sth"
"contare su qu/qc","to count on sb/sth"
"contenere","vt. (accogliere: persone, cose) to contain; (trattenere: lacrime) to hold back, (sdegno) to keep in check, (entusiasmo) to contain; avere contenuto"
"contenersi","vr. (moderarsi) to contain o.s.; essersi contenuto"
"continuare","vi. (durare) to continue; avere continuato"
"contraddire","vt. to contradict; avere contraddetto"
"contraddirsi","vr. to contradict o.s.; essersi contraddetto"
"contrarre","to contract (a disease), catch; avere contratto"
"controllare","vt. (documenti, biglietti, risposta) to check; (attività) to keep a watch on; (mercato, avversario, gesti, emozioni) to control; avere controllato"
"controllarsi","vr. to control o.s.; essersi controllato"
"convertire","vt. COMPUT, TELEC, FIN to convert; avere convertito"
"convertire qu a qc","to convert sb to sth"
"convertire qc in qc","to convert sth into sth"
"convertirsi","vr. to be converted; essersi convertito"
"convertirsi in qc","to be converted into sth"
"convertirsi a qc","to convert to sth"
"convincere","vt. to convince; avere convinto"
"convincere qu (di qc)","to convince sb (of sth)"
"convincersi","vr. to convince o.s. ; essersi convinto"
"convincersi (di qc)","to be convinced (of sth)"
"coprire","vt. <copro> (gener) to cover; (carica) to hold; avere coperto"
"coprirsi","vr. <copro> FIN to cover o.s.; (cielo) to become overcast; (con vestiti) to wrap up; essersi coperto"
"coprirsi di qc","to cover oneself with sth"
"correggere","vt. (compiti, difetto, errore) to correct; avere corretto"
"correggersi","vr. to correct o.s.; essersi corretto"
"correre","vt. <corro> SPORTS (distanza) to run, (gara) to race in; (rischio) to run; <corro> (persona) to run; (in auto, moto) to drive fast; SPORTS (gareggiare) to race; (strade) to run; (tempo) to fly; essere corso"
"correre dietro a qu","fig. to chase after sb"
"corrompere","vt. (con denaro) to bribe; (moralmente) to corrupt; (acqua, aria) to contaminate; avere corrotto"
"corrompersi","vr. (depravarsi) to be corrupted; essersi corrotto"
"costeggiare","vt. NAUT to sail along; (strada, sentiero) to run along the side of; avere costeggiato"
"costituire","vt. <costituisco> (fondare: società) to set up; (rappresentare) to constitute; (formare) to make up; avere costituito"
"costituirsi","vr. <costituisco> LAW (consegnarsi alla giustizia) to turn oneself in; (formarsi) to be formed; essersi costituito"
"costringere","vt. to force, compel; avere costretto"
"costringere qu a fare qc","to force sb to do sth"
"costruire","vt. <costruisco> arch (edificare: casa, muro) to build; TECH (assemblare: motore, macchinario) to construct; (società, vita) to build; avere costruito"
"covare","vt. ZOOL (uova) to sit on; (malattia) to go down with; fig. (odio, sospetto) to nurture; vi. ZOOL to sit on its eggs; fig. (stare celato) to smolder; avere covato"
"credere","vt. <credo> (ritenere vero) to believe; (ritenere) to think; (ritenere opportuno) to think; vi. <credo> to believe; avere creduto"
"credere in qu/qc","to believe in sb/sth"
"credere a qu","to believe sb"
"crescere","vt. <cresco> (allevare: figli) to raise; vi. <cresco> (svilupparsi: persona, pianta) to grow; (spuntare: denti) to come through; (aumentare) to increase; (diventare adulto) to grow up; essere cresciuto"
"crollare","vi. (costruzione) to collapse; (persona) to break down, (Stato) to fall; (prezzi, azioni) to fall, (borsa) to crash; essere crollato"
"cucinare","vt. (pasto) to cook; vi. to cook; avere cucinato"
"cucire","vt. (orlo, abito) to sew; (ferita) to sew up; avere cucito"
