"to return","tornare; essere tornato","to return"
"to pay","pagare; avere pagato","to pay"
"to ask, demand","chiedere; avere chiesto","to ask, demand"
"to call o.s., be named","chiamarsi; si essere chiamto","to call o.s., be named"
"to send, ship","spedire; avere spedito","to send, ship"
"to receive","ricevere; avere ricevuto","to receive"
"to remember","ricordarsi; avere ricordato","to remember"
"to become","diventare; essere diventato","to become"
"to open","aprire; avere aperto","to open"
"to give","dare; avere dato","to give"
"to sit (down)","sedersi; si essere seduto","to sit (down)"
"to sell","vendere; avere venduto","to sell"
"to like","piacere; essere piaciuto","to like"
"to write","scrivere; avere scritto","to write"
"to run","correre; avere/essere corso","to run"
"to have fun","divertirsi; si essere divertito","to have fun"
"to see","vedere; avere visto","to see"
"to say","dire; avere detto","to say"
"to help","aiutare; avere aiutato","to help"
"to take","prendere; avere preso","to take"
"to leave","lasciare; avere lasciato","to leave"
"to decide","decidere; avere deciso","to decide"
"to place, put","porre, mettere; avere posto, avere messo","to place, put"
"to dress","vestire; avere vestito","to dress"
"to finish","finire; avere finito","to finish"
"to buy","comprare; avere comprato","to buy"
"to search","cercare; avere cercato","to search"
"to want","volere; avere voluto","to want"
"to feel","sentirsi; si essere sentito","to feel"
"to wash","lavare; avere lavato","to wash"
"to answer","rispondere; avere risposto","to answer"
"to make, do","fare; avere fatto","to make, do"
"to be able to","potere; avere/essere potuto","to be able to"
"to clean","pulire; avere pulito","to clean"
"to find o.s., to be","trovarsi; si essere trovato","to find o.s., to be"
"to leave, depart","partire; essere partito","to leave, depart"
"to prepare o.s.","prepararsi; si essere preparato","to prepare o.s."
"to wake up","svegliare; avere svegliato","to wake up"
"to prefer","preferire; avere preferito","to prefer"
"to wonder","chiedersi; si essere chiesto","to wonder"
"to grow","crescere; essere cresciuto","to grow"
"to love","amare; avere amato","to love"
"to change","cambiare; avere cambiato","to change"
"to sit","sedere; avere seduto","to sit"
"to be born","nascere; essere nato","to be born"
"to carry","portare; avere portato","to carry"
"to live","vivere; avere/essere vissuto","to live"
"to enter","entrare; essere entrato","to enter"
"to be, stay","stare; essere stato","to be, stay"
"to die","morire; essere morto","to die"
"to follow","seguire; avere seguito","to follow"
"to turn off","spegnere; avere spento","to turn off"
"to have","avere; avere avuto","to have"
"to have to","dovere; avere dovuto","to have to"
"to eat","mangiare; avere mangiato","to eat"
"to hear","sentire; avere sentito","to hear"
"to arrive (at), reach","arrivare; essere arrivato","to arrive (at), reach"
"to laugh","ridere; avere riso","to laugh"
"to dress o.s.","vestirsi; si essere vestito","to dress o.s."
"to lose","perdere; avere perso","to lose"
"to cook","cucinare; avere cucinato","to cook"
"to keep","tenere; avere tenuto","to keep"
"to understand","capire; avere capito","to understand"
"to forget","dimenticarsi; si essere dimenticato","to forget"
"to remain","rimanere; essere rimasto","to remain"
"to amuse, entertain","divertire; avere divertito","to amuse, entertain"
"to study","studiare; avere studiato","to study"
"to sing","cantare; avere cantato","to sing"
"to watch","guardare; avere guardato","to watch"
"to listen","ascoltare; avere ascoltato","to listen"
"to drink","bere; avere bevuto","to drink"
"to stay, remain","restare; essere restato","to stay, remain"
"to wait","aspettare; avere aspettato","to wait"
"to appear","apparire; essere apparso","to appear"
"to start","cominciare; avere cominciato","to start"
"to go down","scendere; essere sceso","to go down"
"to be quiet","tacere; avere taciuto","to be quiet"
"to talk","parlare; avere parlato","to talk"
"to know (about)","conoscere; avere conosciuto","to know (about)"
"to think","pensare; avere pensato","to think"
"to live","abitare; avere abitato","to live"
"to go","andare; essere andato","to go"
"to travel","viaggiare; avere viaggiato","to travel"
"to learn","imparare; avere imparato","to learn"
"to work","lavorare; avere lavorato","to work"
"to encounter","incontrare; avere incontrato","to encounter"
"to offer","offrire; avere offerto","to offer"
"to rise, get up","alzarsi; si essere alzato","to rise, get up"
"to succeed","riuscire; essere riuscito","to succeed"
"to choose","scegliere; avere scelto","to choose"
"to go out, exit","uscire; essere uscito","to go out, exit"
"to come, arrive","venire; essere venuto","to come, arrive"
"to believe","credere; avere creduto","to believe"
"to wash o.s.","lavarsi; si essere lavato","to wash o.s."
"to read","leggere; avere letto","to read"
"to prepare","preparare; avere preparato","to prepare"
"to pass","passare; avere passato","to pass"
"to call","chiamare; avere chiamato","to call"
"to find","trovare; avere trovato","to find"
"to wake o.s. up","svegliarsi; si sono svegliato","to wake o.s. up"
"to go up","salire; essere salito","to go up"
"to put, place, set","mettere; avere messo","to put, place, set"
"to fear","temere; avere temuto","to fear"
"to expect","aspettarsi; si essere apettato","to expect"
"to close","chiudere; avere chiuso","to close"
"to fall","cadere; essere caduto","to fall"
"to raise, lift","alzare; avere alzato","to raise, lift"
"to win","vincere; avere vinto","to win"
"to put (on) o.s., wear","mettersi; si essere messo","to put (on) o.s., wear"
"to sleep","dormire; avere dormito","to sleep"
"to know (how)","sapere; avere saputo","to know (how)"
"to play","giocare; avere giocato","to play"
"to be","essere; essere stato","to be"
