"offrire","to offer; avere offerto","offrire"
"avere","to have; avere avuto","avere"
"incontrare","to encounter; avere incontrato","incontrare"
"spedire","to send, ship; avere spedito","spedire"
"lavarsi","to wash o.s.; si essere lavato","lavarsi"
"comprare","to buy; avere comprato","comprare"
"partire","to leave, depart; essere partito","partire"
"seguire","to follow; avere seguito","seguire"
"dimenticarsi","to forget; si essere dimenticato","dimenticarsi"
"alzarsi","to rise, get up; si essere alzato","alzarsi"
"tenere","to keep; avere tenuto","tenere"
"scrivere","to write; avere scritto","scrivere"
"vincere","to win; avere vinto","vincere"
"trovare","to find; avere trovato","trovare"
"morire","to die; essere morto","morire"
"mettere","to put, place, set; avere messo","mettere"
"cadere","to fall; essere caduto","cadere"
"aprire","to open; avere aperto","aprire"
"volere","to want; avere voluto","volere"
"fare","to make, do; avere fatto","fare"
"dire","to say; avere detto","dire"
"sedersi","to sit (down); si essere seduto","sedersi"
"vivere","to live; avere/essere vissuto","vivere"
"scendere","to go down; essere sceso","scendere"
"preparare","to prepare; avere preparato","preparare"
"scegliere","to choose; avere scelto","scegliere"
"svegliare","to wake up; avere svegliato","svegliare"
"sentire","to hear; avere sentito","sentire"
"bere","to drink; avere bevuto","bere"
"temere","to fear; avere temuto","temere"
"entrare","to enter; essere entrato","entrare"
"tacere","to be quiet; avere taciuto","tacere"
"vestire","to dress; avere vestito","vestire"
"mangiare","to eat; avere mangiato","mangiare"
"prepararsi","to prepare o.s.; si essere preparato","prepararsi"
"vedere","to see; avere visto","vedere"
"ridere","to laugh; avere riso","ridere"
"prendere","to take; avere preso","prendere"
"svegliarsi","to wake o.s. up; si sono svegliato","svegliarsi"
"andare","to go; essere andato","andare"
"sentirsi","to feel; si essere sentito","sentirsi"
"alzare","to raise, lift; avere alzato","alzare"
"sedere","to sit; avere seduto","sedere"
"lavorare","to work; avere lavorato","lavorare"
"preferire","to prefer; avere preferito","preferire"
"vendere","to sell; avere venduto","vendere"
"chiudere","to close; avere chiuso","chiudere"
"vestirsi","to dress o.s.; si essere vestito","vestirsi"
"capire","to understand; avere capito","capire"
"portare","to carry; avere portato","portare"
"cantare","to sing; avere cantato","cantare"
"riuscire","to succeed; essere riuscito","riuscire"
"ricordarsi","to remember; si essere ricordato","ricordarsi"
"spegnere","to turn off; avere spento","spegnere"
"chiamare","to call; avere chiamato","chiamare"
"venire","to come, arrive; essere venuto","venire"
"crescere","to grow; essere cresciuto","crescere"
"aiutare","to help; avere aiutato","aiutare"
"tornare","to return; essere tornato","tornare"
"aspettare","to wait; avere aspettato","aspettare"
"giocare","to play; avere giocato","giocare"
"potere","to be able to; avere/essere potuto","potere"
"studiare","to study; avere studiato","studiare"
"aspettarsi","to expect; si essere apettato","aspettarsi"
"conoscere","to know (about); avere conosciuto","conoscere"
"abitare","to live; avere abitato","abitare"
"divertirsi","to have fun; si essere divertito","divertisi"
"ricevere","to receive; avere ricevuto","ricevere"
"mettersi","to put (on) o.s., wear; si essere messo","mettersi"
"piacere","to like; essere piaciuto","piacere"
"rispondere","to answer; avere risposto","rispondere"
"pensare","to think; avere pensato","pensare"
"essere","to be; essere stato","essere"
"nascere","to be born; essere nato","nascere"
"pulire","to clean; avere pulito","pulire"
"chiedere","to ask, demand; avere chiesto","chiedere"
"rimanere","to remain; essere rimasto","rimanere"
"lasciare","to leave; avere lasciato","lasciare"
"ascoltare","to listen; avere ascoltato","ascoltare"
"dormire","to sleep; avere dormito","dormire"
"guardare","to watch; avere guardato","guardare"
"cominciare","to start; avere cominciato","cominciare"
"chiamarsi","to call o.s., be named; si essere chiamto","chiamarsi"
"amare","to love; avere amato","amare"
"dare","to give; avere dato","dare"
"chiedersi","to wonder; si essere chiesto","si essere chiesto"
"lavare","to wash; avere lavato","lavare"
"leggere","to read; avere letto","leggere"
"pagare","to pay; avere pagato","pagare"
"divertire","to amuse, entertain; avere divertito","divertire"
"decidere","to decide; avere deciso","decidere"
"apparire","to appear; essere apparso","apparire"
"credere","to believe; avere creduto","credere"
"porre, mettere","to place, put; avere posto, avere messo","porre, mettere"
"imparare","to learn; avere imparato","imparare"
"trovarsi","to find o.s., to be; si essere trovato","trovarsi"
"sapere","to know (how); avere saputo","sapere"
"uscire","to go out, exit; essere uscito","uscire"
"salire","to go up; essere salito","salire"
"diventare","to become; essere diventato","diventare"
"restare","to stay, remain; essere restato","restare"
"perdere","to lose; avere perso","perdere"
"parlare","to talk; avere parlato","parlare"
"cambiare","to change; avere cambiato","cambiare"
"cercare","to search; avere cercato","cercare"
"finire","to finish; avere finito","finire"
"viaggiare","to travel; avere viaggiato","viaggiare"
"passare","to pass; avere passato","passare"
"arrivare","to arrive (at), reach; essere arrivato","arrivare"
"correre","to run; avere/essere corso","correre"
"stare","to be, stay; essere stato","stare"
"cucinare","to cook; avere cucinato","cucinare"
"dovere","to have to; avere dovuto","dovere"
