"vt. <do> (produrre: frutti) to produce, yield; (fare: lezione) to give; vi. <do> to give","dare; avere dato"
"to give sb sth to drink","dare da bere a qn"
"to give sb sth to eat","dare da mangiare a qn"
"to bother sb/sth","dare fastidio a qn/qc"
"to give weight to sth","dare peso a qc"
"to give sth to sb","dare qc a qn"
"to give sb sth to do","dare qc da fare a qn"
"to overlook sth","dare su qc"
"to give sb some advice","dare un consiglio a qn"
"to take an exam","dare un esame"
"to have a party","dare una festa"
"to give sb some news","dare una notizia a qn"
"to give sth away","dare via qc"
"vt. <decido> (stabilire) to decide, (scegliere) to choose; vi. <decido> to decide","decidere; avere deciso"
"to decide to do sth","decidere di fare qc"
"to decide against doing sth","decidere di non fare qc"
"to decide about sth","decidere di qc"
"vr. <decido> to make up one's mind","decidersi; essersi deciso"
"to make up one's mind to do sth","decidersi a fare qc"
"vt. (scrittura) to decipher, (codice) to work out","decifrare; avere decifrato"
"vt. (gener) to deposit; (collocare) to put; (in custodia) to leave","depositare; avere depositato"
"vt. <deprimo> (avvilire) to depress","deprimere; avere depresso"
"vr. <deprimo> (avvilirsi) to get depressed","deprimersi; essersi depresso"
"vt. to describe","descrivere; avere descritto"
"vt. to want, (sessualmente) to desire","desiderare; avere desiderato"
"to want to do sth","desiderare fare qc"
"to leave a lot to be desired","lasciare a desiderare"
"vt. (stabilire) to establish; (causare) to cause","determinare; avere determinato"
"vt. to detest","detestare; avere detestato"
"vt. <difendo> (gener) to defend; (prendere le parti di) to take the part of","difendere; avere difeso"
"vr. <difendo> (proteggersi) to defend o.s.; (cavarsela) to get by","difendersi; essersi difeso"
"to protect o.s. from sb/sth","difendersi da qu/qc"
"to protect o.s. against sb/sth","difendersi contro qu/qc"
"vt. to spread","diffondere; avere diffuso"
"vr. (luce, profumo, notizia, moda) to spread","diffondersi; essersi diffuso"
"vt. <digerisco> MED (cibo) to digest; (accettare: sconfitta) to accept; (sopportare: modi, persona) to stomach","digerire; avere digerito"
"vi. <dimagrisco> (perdere peso) to lose weight","dimagrire; essere dimagrito"
"vr. (gener) to forget;","dimenticarsi; essersi dimenticato"
"to forget to do sth","dimenticarsi di fare qc"
"vt. (mostrare) to show; (provare) to prove; vi. (in corteo) to demonstrate","dimostrare; avere dimostrato"
"vi. <dipendo> to depend","dipendere; essere dipeso"
"to depend on sb/sth","dipendere da qu/qc"
"vt. <dipingo> (gener) to paint; (descrivere) to portray","dipingere; avere dipinto"
"to paint on sth","dipingere su qc"
"vt. <dico> (affermare, recitare) to say; (chiedere, raccontare) to tell; (chiamare) to call","dire; avere detto"
"to say yes/no","dire di sì/no"
"to tell lies","dire bugie"
"to speak ill of sb","dire male di qu"
"to tell sb to do sth","dire a qn di fare qc"
"to say sth to sb, tell sb sth","dire qc a qn"
"to have sth to say about sb","avere da dire su qu"
"to let sth go","lasciar dire"
"to mean","voler dire"
"vt. <dirigo> (indirizzare) to direct","dirigere; avere diretto"
"to direct sb/sth to sb/sth","dirigere qu/qc a [o verso] qu/qc"
"vr. <dirigo> to head (towards)","dirigersi; essersi diretto"
"to head toward sb","dirigersi verso qu"
"to head toward sth","dirigersi verso [o a] qc"
