"dare","vt. <do> (produrre: frutti) to produce; (fare: lezione) to give; (dire) to call; (pagare) to pay; vi. <do> to give; avere dato"
"dare qc a qu","to give sth to sb"
"dare una notizia a qn","to give sb some news"
"dare un consiglio a qn","to give sb some advice"
"dare un esame","to take an exam"
"dare una festa","to have a party"
"dare su qc","to overlook sth"
"dare peso a qc","to give weight to sth"
"dare qc da fare a qn","to give sb sth to do"
"dare da mangiare a qn","to give sb sth to eat" 
"dare da bere a qn","to give sb sth to drink"
"darsi","vr. <do> (dedicarsi) to devote o.s. to; essersi dato"
"decidere","vt. <decido> (stabilire) to decide, (scegliere) to choose; vi. <decido> to decide; avere deciso"
"decidere di fare qc","to decide to do sth"
"decidere di qc","to decide about sth"
"decidersi","vr. <decido> to make up one's mind; essersi deciso"
"decidersi a fare qc","to make up one's mind to do sth"
"decifrare","vt. (scrittura) to decipher, (codice) to work out, (enigma) to find the key to; avere decifrato"
"depositare","vt. (gener) to deposit; (collocare) to put; (in custodia) to leave; avere depositato"
"depositarsi","vr. (materiale sedimento: sabbia, polvere) to settle; essersi depositato"
"deprimere","vt. <deprimo> (avvilire) to depress; avere depresso"
"deprimersi","vr. <deprimo> (avvilirsi) to get depressed; essersi depresso"
"descrivere","vt. to describe; avere descritto"
"desiderare","vt. to want, (sessualmente) to desire; avere desiderato"
"desiderare fare qc","to want to do sth"
"lasciare a desiderare","to leave a lot to be desired"
"destare","vt. (svegliare) to waken; (suscitare: curiosità, stupore) to cause, (sospetto) to arouse; avere destato"
"destarsi","vr. to awaken; essersi destato"
"determinare","vt. (stabilire) to establish; (causare) to cause; avere determinato"
"detestare","vt. to detest; avere detestato"
"difendere","vt. <difendo> (gener) to defend; (prendere le parti di) to take the part of; avere difeso"
"difendersi","vr. <difendo> (proteggersi) to defend o.s.; (cavarsela) to get by; essersi difeso"
"difendersi da qu/qc","to protect o.s. from sb/sth"
"difendersi contro qu/qc","to protect o.s. against sb/sth"
"diffondere","vt. to spread; avere diffuso"
"diffondersi","vr. (luce, profumo, notizia, moda) to spread; essersi diffuso"
"digerire","vt. <digerisco> MED (cibo) to digest; (accettare: sconfitta) to accept; (sopportare: modi, persona) to stomach; avere digerito"
"dimagrire","vi. <dimagrisco> (perdere peso) to lose weight; essere dimagrito"
"dimenticare","vt. (gener) to forget tempo; (lasciare) to leave; avere dimenticato"
"dimenticarsi","vr. ; essersi dimenticato"
"dimostrare","vt. (mostrare) to show; (provare) to prove; vi. (in corteo) to demonstrate; avere dimostrato"
"dimostrarsi","vr. to turn out to be; essersi dimostrato"
"dipendere","vi. <dipendo> to depend; essere dipeso"
"dipendere da qu/qc","to depend on sb/sth"
"dipingere","vt. <dipingo> (gener) to paint; (descrivere) to portray; avere dipinto"
"dipingere su qc","to paint on sth"
"dire","vt. <dico> (affermare, recitare) to say; (chiedere, raccontare) to tell; (chiamare) to call; avere detto"
"dire di sì/no","to say yes/no"
"dire bugie","to tell lies"
"dir male di qu","to speak ill of sb"
"avere da dire su qu","to have sth to say about sb"
"lasciar dire","to let sth go"
"voler dire","to mean"
"dirigere","vt. <dirigo> (essere a capo di: azienda) to manage, (lavori, scuola) to run, (orchestra) to conduct; (indirizzare) to direct; avere diretto"
"dirigere qu/qc a [o verso] qu/qc","to direct sb/sth to sb/sth"
"dirigersi","vr. <dirigo> to make one's way; essersi diretto"
"dirigersi verso qu","to make one's way toward sb"
"dirigersi verso [o a] qc","to make one's way toward sth"
"disattivare","vt. (bomba) to defuse; (macchina, impianto) to deactivate; avere disattivato"
"discutere","vt. <discuto> (dibattere) to discuss; (contestare) to doubt; vi. <discuto> (litigare) to argue; avere discusso"
"discutere di [o su] qc","to discuss sth"
"disegnare","vt. (immagine, piantina) to draw; (progettare: veicolo, edificio) to design; (descrivere) to outline; avere disegnato"
"disegnare di fare qc","to intend to do sth"
"disfare","vt. (scomporre: nodo) to undo, (letto) to strip, (cucitura, orlo) to unpick, (bagagli, valigie) to unpack; avere disfatto"
"disfarsi","vr. (nodo) to come undone, (cucitura, orlo) to come unstitched, (cibo) to disintegrate; (famiglia, società) to fall apart; essersi disfatto"
"disfarsi di qc/qu","to get rid of sth/sb"
"disgustare","vt. (infastidire) to disgust; avere disgustato"
"disgustarsi","vr. to be disgusted; essersi disgustato"
"disgustarsi di qc","to be disgusted by sth"
