"echeggiare","vi. to echo; essere echeggiato"
"eleggere","vt. to elect; avere eletto"
"elevare","vt. (edificio) to erect; (migliorare) to raise; (aumentare) to increase; avere elevato"
"elevarsi","vr. to rise; essersi elevato"
"eliminare","vt. (togliere: macchia, ostacolo, errore) to remove; (scartare: dubbio, ipotesi) to eliminate; (estromettere: avversario, squadra) to knock out; (uccidere) to rub out; (espellere: tossine) to eliminate; avere eliminato"
"eludere","vt. <eludo> (gen) to evade, elude; avere eluso"
"emergere","vi. <emergo> (venire a galla) to emerge; (risultare) to come out; (eccellere) to stand out; essere emerso"
"emettere","vt. (mandare fuori: luce, radiazione, calore) to emit, (grido, sibilo, suono) to let out; FIN (azioni, titoli, assegno) to issue; LAW (sentenza) to pass, (mandato) to issue; avere emesso"
"entrare dalla porta/finestra","to go in through the door/window"
"entrare in acqua","to get into the water"
"entrare in casa","to go indoors"
"entrare in contatto con qu","fig. to get in touch with sb"
"entrare","vi. (in un luogo) to enter, to go in; (in un gruppo) to join; (vestito) to fit; (trovare posto) to fit; (avere a che vedere) to be relevant; essere entrato"
"esagerare con qc","to go too far with sth"
"esagerare in qc","to overdo sth"
"esagerare","vt. to exaggerate; vi. to exaggerate; avere esagerato"
"esaminare","vt. (studenti) to test; (analizzare: situazione, cause) to study; MED to examine; LAW (testimone) to question; avere esaminato"
"esasperare","vt. (stressare: persona) to exasperate; (aggravare: pena, sofferenza) to aggravate; avere esasperato"
"esasperarsi","vr. (arrabbiarsi) to become exasperated; essersi esasperato"
"esaurire","vt. <esaurisco> (finire: merce) to sell off; avere esaurito"
"esaurirsi","vr. <esaurisco> (finire: sorgente, miniera) to be used up; MED (indebolirsi) to become exhausted; essersi esaurito"
"escludere","vt. <escludo> (eliminare: da gara, concorso) to eliminate, (da lista) to exclude; (dubitare) to rule out; (eccettuare) to exclude; avere escluso"
"esemplificare","vt. (processo, metodo) to exemplify; avere esemplificato"
"esibire","vt. <esibisco> (passaporto, documento) to produce, present; (bravura) to demonstrate, exhibit; (nudità) to display; avere esibito"
"esibirsi","vr. <esibisco> (attore, musicista) to perform; (mettersi in mostra) to show off; essersi esibito"
"esistere","vi. <esisto> (essere) to exist; (esserci) to exist; essere esistito"
"esprimere","vt. <esprimo> (approvazione, giudizio, pensiero) to express; avere espresso"
"esprimersi","vr. <esprimo> (parlare, manifestarsi) to express oneself; essersi espresso"
"essere","vi. <sono> (gener) to be; (trovarsi) to be; (costare) to cost; (provenire) to be; essere stato"
"essere amareggiato da qc","to be bitter about sth"
"essere appassionato di qc","to love sth"
"evitare","vt. (scansare: pericolo, ostacolo) to avoid; avere evitato"
