"vi. to float","galleggiare; avere galleggiato"
"vt. <garantisco> to guarantee; (assicurare) to assure","garantire; avere garantito"
"to guarantee sb of sth","garantire qc a qu"
"vt. <gestisco> (amministrare: albergo, azienda, negozio) to run, manage","gestire; avere gestito"
"vt. (lanciare) to throw","gettare; avere gettato"
"to throw away","gettare via"
"vi. (gioco, sport) to play; (cavalli) to bet (on)","giocare (a); avere giocato"
"to play cards","giocare a carte"
"to play ball","giocare a palla"
"to play pinball","giocare a flipper"
"to play video games","giocare ai videogiochi"
"vt. (chiave, testa, occhi) to turn; (percorrere, visitare) to go around; vi. to turn; (andare in giro) to wander, go around","girare; avere girato"
"vt. (persona) to judge; (ritenere) to consider","giudicare; avere giudicato"
"vt. to swear","giurare; avere giurato"
"vt. to justify","giustificare; avere giustificato"
"vr. (scusarsi) to justify o.s.","giustificarsi; essersi giustificato"
"vt. (pelle) to scratch; (raschiare) to scrape; vi. (stridere) to screech","grattare; avere grattato"
"vr. to scratch o.s.","grattarsi; essersi grattato"
"vt. (dire ad alta voce) to shout; vi. (urlare) to shout, (strillare) to scream","gridare; avere gridato"
"vt. (denaro) to earn; to gain; (raggiungere: cima, vetta) to reach; vi. (ricevere uno stipendio) to earn","guadagnare; avere guadagnato"
"vt. (vedere) to look at; (cercare: parola) to look up; (vigilare su: bambino, condannato) to look after","guardare; avere guardato"
"to view sth favorably","guardare qc di buon occhio"
"to view sth unfavorably","guardare qc di mal occhio"
"to look sb up and down","guardare qu dall'alto in basso"
"vr. (osservarsi) to look at o.s., (reciproco) to look at each other","guardarsi; essersi guardato"
"vt. (veicolo) to drive; (indirizzare) to guide; (capeggiare: gruppo, rivolta) to lead","guidare; avere guidato"
"vt. FOOD (provare) to taste; (assaporare) to enjoy","gustare; avere gustato"
"vi. <imbrunisco> (farsi sera) to get dark","imbrunire; essere imbrunito"
"vt. <immergo> (gener) to immerse, plunge","immergere; avere immerso"
"vr. <immergo> (in liquido, vasca) to plunge; (in profondità) to dive","immergersi; essersi immerso"
"vr. <immergo> (in pensieri, attività) to immerse o.s. in sth","immergersi in qc; essersi immerso"
"vt. (con studio, con esperienza) to learn","imparare; avere imparato"
"to learn to do sth","imparare a fare qc"
"vi. <impazzisco> (ammattire) to go crazy","impazzire; essere impazzito"
"fig. to be crazy about sth/sb","impazzire per qc/qu"
"to drive sb crazy","fare impazzire qu"
"vt. (strumento, oggetto) to use; (tempo) to take; (esperto, specialista) to employ","impiegare; avere impiegato"
"vt. <includo> (comprendere) to include; (in busta, lettera) to enclose","includere; avere incluso"
"vt. (per appuntamento) to meet, (per caso) to bump into; (difficoltà, problema) to come up against","incontrare; avere incontrato"
"to bump into sb","incontrare qn per caso"
"vr. (per appuntamento) to meet each other, (per caso) to bump into each other","incontrarsi; essersi incontrato"
"vi. to investigate","indagare; avere indagato"
"vr. <indebolisco> (persona, autorità, capacità) to weaken, become weak","indebolirsi; essersi indebolito"
"vt. (mostrare) to show, indicate; (con gesto) to point to, point out","indicare; avere indicato"
"vt. (colpevole, causa, guasto) to identify","individuare; avere individuato"
"vt. (scoprire) to guess; (immaginare) to immagine; (il futuro) to prediict","indovinare; avere indovinato"
"vt. <infastidisco> to annoy, irritate","infastidire; avere infastidito"
"vr. <infastidisco> to get annoyed, irritated","infastidirsi; essersi infastidito"
"to get annoyed with sth","infastidirsi per qc"
"vt. (con notizie) to inform, tell","informare; avere informato"
"to inform sb about sth","informare qn di qc"
"vt. ((persona) to make fat; animale) to fatten; (ingranaggio, motore) to grease","ingrassare; essere ingrassato"
"vr. (diventare grasso) to get fat, put on weight","ingrassarsi; essersi ingrassato"
"vt. to pollute","inquinare; avere inquinato"
"vi. <insisto> to insist","insistere; avere insistito"
"to insist on sth","insistere su qc"
"to persist in sth","insistere in qc"
"to persist in doing sth","insistere a fare qc"
"vi. <interferisco> (persona) to interfere","interferire; avere interferito"
"vt. <interrompo> (lavoro, trattativa, persona) to interrupt, break off","interrompere; avere interrotto"
"vr. <interrompo> (in attività) to break off, stop","interrompersi; essersi interrotto"
"vt. <introduco> (prodotto, moda, uso) to introduce","introdurre; avere introdotto"
"vt. <invado> (territorio, paese) to invade","invadere; avere invaso"
"vt. (a cena, festa) to invite","invitare; avere invitato"
"to invite sb to do sth","invitare qn a fare qc"
"vt. (gettare: oggetti) to throw, hurl, fling; (programma, software, prodotto) to launch","lanciare; avere lanciato"
"vr. (buttarsi) to throw, hurl, fling o.s.","lanciarsi; essersi lanciato"
"to let the dogs in","lasciar entrare i cani"
"to let, allow, permit sb to do sth","lasciar fare qc a qn"
"to let, allow, permit sth to be done","lasciar fare qc"
"to let the dogs out","lasciar uscire i cani"
"to leave the books at home","lasciare i libri a casa"
"to leave the store","lasciare il negozio"
"to leave the restaurant","lasciare il ristorante"
"to leave sth to sb","lasciare qc a qn"
"to let sb do sth","lasciare qn fare qc"
"to leave sb/sth alone","lasciare stare qn/qc"
"vt. (gener) to leave; (mollare la presa) to let","lasciare; avere lasciato"
"vr. (persone) to part; (coppia) to split up","lasciarsi; essersi lasciato"
"to let o.s. go","lascarsi andare"
"vt. (biancheria, stoviglie) to wash, (pavimento, denti, vetri) to clean","lavare; avere lavato"
"to wash one's hands","lavarsi i mani"
"vr. to wash","lavarsi; essersi lavato"
"to work on sth","lavorare a qc"
"vt. (ferro, pasta, terreno) to work; vi. (gener) to work; (negozio) to do business","lavorare; avere lavorato"
"vt. (gener) to tie (up), bind; vi. (andare d'accordo) to get along well","legare; avere legato"
"vr. (attaccarsi) to become attached (to)","legarsi (a); essersi legato"
"to read about sth","leggere di qc"
"to read about history","leggere di storia"
"to read sb's mind","leggere nel pensiero a qn"
"to read sth in a book","leggere qc in un libro"
"to read sth in the newspaper","leggere qc sul giornale"
"vt. <leggo> (libro, testo) to read; vi. <leggo> to read","leggere; avere letto"
"vt. (rendere libero: progioniero), (popolo) liberate; (sgombrare: tavolo, strada) to clear","liberare; avere liberato"
"vr. to get rid (of), be free (of)","liberarsi (di); essersi liberato"
"vt. (impiegato) to dismiss, (per riduzione del personale) to lay off","licenziare; avere licenziato"
"vr. (da un impiego) to resign","licenziarsi; essersi licenziato"
"vt. (ridurre: costi, libertà) to limit, restrict","limitare; avere limitato"
"vr. to restrict, limit o.s. (to)","limitarsi (a); essersi limitato"
"vt. (sporcare) to stain, mark","macchiare; avere macchiato"
"vr. (persona) to get o.s. dirty; (stoffa) to stain, get stained essersi macchiato","macchiarsi"
"vt. to curse","maledire; avere maledetto"
"vt. (essere insufficient) to be lacking; (non esserci) to be missing, not to be there","mancare; essere mancato"
"vt. (persona, lettera, pacco) to send; (luce, fumo, odore) to give off, (grido, verso) to let out","mandare; avere mandato"
"to send down; fig. to swallow","mandare giù"
"to send away; (licenziare) to fire","mandare via"
"to eat anything/everything","mangiare di tutto"
"to eat out","mangiare fuori"
