"illudere","vt. <illudo> to deceive, delude; avere illuso"
"illudere qu (con qc)","to deceive sb (with sth)"
"illudersi","vr. <illudo> to deceive o.s., delude o.s.; essersi illuso"
"illudersi su qc","to be mistaken about sth"
"illudersi di …","to kid oneself that …"
"illudersi che …","to mistakenly believe that …"
"imballare","vt. (merce, mobile) to pack; avere imballato"
"imbattersi (in)","vr. to run (into); essersi imbattuto"
"imbattersi in qu","to run into sb"
"imbattersi in qc","fig. to run up against sth"
"imbrunire","vi. <imbrunisco> (farsi sera) to get dark; essere imbrunito"
"immergere","vt. <immergo> (gener) to immerse, plunge; avere immerso"
"immergere qc in qc","to dip sth in sth"
"immergersi","vr. <immergo> (in liquido, vasca) to plunge; (in profondità) to dive; (in pensieri, attività) to immerse o.s.; essersi immerso"
"impadronirsi (di)","vr. <m'impadronisco> (città, ricchezze) to seize, take possession (of); fig. (imparare: lingua) to master; essersi impadronito"
"impadronirsi di qc","to take possession of sth; fig. to become proficient in sth"
"imparare","vt. (con studio) to learn; (con esperienza) to learn; avere imparato"
"imparare a fare qc","to learn to do sth"
"impazzire","vi. <impazzisco> (ammattire) to go crazy; essere impazzito"
"impazzire di qc","fig. to be mad with sth"
"impazzire per qc/qu","fig. to be crazy about sth/sb"
"fare impazzire qu","to drive sb crazy"
"impersonare","vt. (concetto, caratteristica) to personify; (personaggio) to play; avere impersonato"
"impiegare","vt. (strumento, oggetto) to use, (capacità, energie) to employ; (tempo) to take; (denaro) to spend; (esperto, specialista) to employ; avere impiegato"
"implicare","vt. to implicate; (sottintendere) to imply; avere implicato"
"imporre","vt. <impongo> (obbligo, ordine, legge) to impose, (condizione) to set, (tassa, tributo) to levy; (sacrifici, impegno) to demand; avere imposto"
"imporsi","vr. <impongo> (persona) to assert o.s; (moda, prodotto) to become popular; (essere necessario) to be required; essersi imposto"
"inchinarsi","vr. (per riverenza) to bow; essersi inchinato"
"inchinarsi davanti a qc/qu","to bow down before sb/sth"
"inciampare","vi. (col piede) to trip; essere inciampato"
