"lagnarsi","vr. (lamentarsi) to complain, to grumble, to moan; essersi lagnato"
"lanciare","vt. (gettare: oggetti) to throw, (bombe) to drop; (far andare a gran velocità: auto) to drive at full speed, (cavallo) to ride at a gallop; COMPUT (programma, software) to launch; (razzo, capsula spaziale) to launch; COMM (prodotto) to launch; (emettere: grido) to let out; avere lanciato"
"lanciarsi","vr. (buttarsi) to throw oneself; essersi lanciato"
"lasciar entrare i cani","to let the dogs in"
"lasciar fare qc a qn","to let, allow, permit sb to do sth"
"lasciar fare qc","to let, allow, permit sth to be done"
"lasciar uscire i cani","to let the dogs out"
"lasciare i libri a casa","to leave the books at home"
"lasciare il negozio","to leave the store"
"lasciare il ristorante","to leave the restaurant"
"lasciare qc a qn","to leave sth to sb"
"lasciare qn fare qc","to let sb do sth"
"lasciare stare qn/qc","to leave sb/sth alone"
"lasciare","vt. (gener) to leave; (mollare la presa) to let; (consentire) to allow; (non chiudere) to leave; avere lasciato"
"lasciarsi","vr. (coppia) to split up, (non curarsi) to neglect oneself; essersi lasciato"
"lavare qc","to wash sth"
"lavare","vt. (biancheria, stoviglie) to wash, (pavimento, denti, vetri) to clean; avere lavato"
"lavarsi i mani","to wash one's hands"
"lavarsi","vr. to wash; essersi lavato"
"lavorare a qc","to work on sth"
"lavorare","vt. (ferro, pasta, terreno) to work; vi. (gener) to work; (negozio) to do business; avere lavorato"
"legare","vt. (collegare) to bind, (con spago, funi) to tie up; (unire) to bind together; vi. (andare d'accordo) to get on; avere legato"
"legarsi","vr. (attaccarsi) to tie oneself; CHEM to bind; essersi legato"
"leggere di qc","to read about sth"
"leggere di storia","to read about history"
"leggere nel pensiero a qn","to read sb's mind"
"leggere qc in un libro","to read sth in a book"
"leggere qc sul giornale","to read sth in the newspaper"
"leggere","vt. <leggo> (libro, testo) to read; vi. <leggo> to read; avere letto"
"liberare","vt. (prigioniero, ostaggio) to release; (da invasione, assedio) to liberate; (sgombrare: tavolo, strada) to clear; (camera, casa) to vacate; avere liberato"
"liberarsi","vr. (posto, casa) to become free; essersi liberato"
"licenziare","vt. (impiegato) to dismiss, (per riduzione del personale) to lay off; avere licenziato"
"licenziarsi","vr. (da un impiego) to resign; essersi licenziato"
"limare","vt. (sbarra, superficie, unghia) to file; (scritto, stile) to polish; avere limato"
"limitare","vt. (ridurre: costi, libertà) to restrict; (delimitare: zona) to delimit; avere limitato"
"limitarsi","vr. to restrict, limit o.s.; essersi limitato"
"liquidare","vt. (calcolare: conto, somma, pensione) to settle; (pagare: creditori) to pay, (debito) to settle; (svendere: merce) to sell off; (chiudere: azienda) to liquidate; (criticare) to write off; (uccidere: avversario) to dispose of; (sbrigare: pratica) to deal with; (mandar via: persona) to get rid of; avere liquidato"
"lodare","vt. (elogiare, celebrare) to praise; avere lodato"
"lottare","vi. (combattere) to fight; SPORTS (fare alla lotta) to wrestle; (opporsi a: sonno, accuse) to fight; avere lottato"
