"macchiare","vt. (sporcare) to stain; (caffè, tè) to add milk to, (latte) to add coffee to; (onore, nome) to sully; avere macchiato"
"macchiarsi","vr. (sporcarsi) to get dirty; essersi macchiato"
"maledire","vt. to curse; avere maledetto"
"mancare","vt. (bersaglio, colpo, palla) to miss; (occasione, opportunità) to miss; vi. (non esserci, non bastare) to be lacking, (acqua, corrente, luce) to go off; (essere assente) to not be there, (provocare nostalgia) to miss; (distare) to be; (morire) to die; (svenire) to faint; (sbagliare) to make a mistake; essere mancato"
"mandare","vt. (persona) to send, (a sede, ufficio) to post; (lettera, pacco, fiori) to send; (luce, fumo, odore) to give off, (grido, verso) to let out; avere mandato"
"mangiare di tutto","to eat anything/everything"
"mangiare fuori","to eat out"
"mangiare qc","to eat sth"
"mangiare","vt. (ingerire) to eat; (rosicchiare, corrodere) to eat away at; (denaro) to get through; (nei giochi) to take; avere mangiato"
"mangiarsi","vr. to eat; essersi mangiato"
"mantenere","vt. (disciplina, calma, ordine) to keep; (in vita, funzione) to keep; (impegno, promessa, segreto) to keep; (figli, famiglia) to support, (casa, auto) to maintain; avere mantenuto"
"mantenersi","vr. (conservarsi) to keep; (sostentarsi) to support o.s.; essersi mantenuto"
"mascherare","vt. (viso) to mask, (persona) to dress up; (sentimento) to mask; avere mascherato"
"mascherarsi (da)","vr. to disguise o.s. (as), dress o.s. up (as); essersi mascherato"
"medicare","vt. (persona) to treat; (ferita) to dress; avere medicato"
"medicarsi","vr. to treat o.s.; essersi medicato"
"mentire","vi. (dire il falso) to lie; avere mentito"
"meritare","vt. (premio, punizione) to deserve; (prezzo) to be worth; (valere la pena) to be worth; avere meritato"
"meritarsi","vr. to deserve; essersi meritato"
"metterci molta cura","to take a lot of care"
"metterci molto tempo","to take a lot of time"
"mettere a posto qc","to put in place, fix sth"
"mettere giù la birra","to set the beer down"
"mettere in dubbio qc","to doubt sth"
"mettere in ordine qc","to put in order, tidy up sth"
"mettere insieme qc","to put sth together"
"mettere la pizza sul tavolo","to put the pizza on the table"
"mettere via qc","to put sth away"
"mettere","vt. <metto> (collocare: in luogo) to put, (in posizione) to place; (francobollo) to stick, (ingrediente) to add, (liquido) to pour, (chiave, chiodo) to put, (quadro, tende) to hang; (persona) to put; (indumento) to put on; (telefono, ascensore) to install; (abbaglianti) to switch on, (marcia) to go into; (denaro, annuncio, firma, visto) to put; (sentimento, stato d'animo) to make; (energia, forza) to put; avere messo"
"mettersi","vr. <metto> (in posizione) to put o.s.; (in condizione) to make o.s.; (indossare) to put on; (infilarsi) to put; (evolversi: situazione) to turn out; essersi messo"
"migliorare","vt. (rendere migliore) to improve; vi. (diventare migliore) to improve; (stare meglio) to get better; essere migliorato"
"migliorarsi","vr. to improve o.s.; essersi migliorato"
"migrare","vi. (uccelli) to migrate; essere migrato"
"minacciare","vt. to threaten; avere minacciato"
"mirare","vi. to aim; avere mirato"
"misurare","vt. (calcolare) to measure; (indossare) to try on; (moderare) to measure; (stimare) to weigh up; vi. to measure; avere misurato"
"misurarsi","vr. (cimentarsi) to measure o.s.; (limitarsi) to control; essersi misurato"
"moderare","vt. (spese, velocità) to curb, (tono, collera) to moderate; (dibattito) to chair; avere moderato"
"moderarsi","vr. to keep o.s. in check; essersi moderato"
"modificare","vt. (cambiare) to alter; (migliorare) to improve; avere modificato"
"modificarsi","vr. to change; essersi modificato"
"mordere","vt. <mordo> (mela, panino) to bite into, (cane, vipera) to bite; (insetto) to sting; vi. <mordo> (freddo) to bite, (sapore) to be sharp; avere morso"
"mordersi","vr. <mordo> (lingua, labbro, unghie) to bite; essersi morso"
"morire dalla voglia di fare qc","to be dying to do sth"
"morire di fame","to die of hunger"
"morire di noia","to die of boredom"
"morire di paura","to die of fright"
"morire di qc","to die from sth"
"morire di sete","to die of thirst"
"morire","vi. <muoio> (persona, animale, pianta) to die; (istituzione, tradizione) to die; (conversazione, discorso) to die off, (progetto, questione) to die; (fuoco, luce) to die out, (passione, speranza) to die off; essere morto"
"mostrare","vt. (far vedere) to show; (additare) to point out; (spiegare, dimostrare) to explain; (palesare) to show; (fingere) to pretend; avere mostrato"
"mostrarsi","vr. (farsi vedere) to appear; (dimostrarsi) to appear; essersi mostrato"
