"to point sth out to sb","far notare a qu qc"
"to be born in Rome","nascere a Roma"
"to be born in Italy","nascere in Italia"
"to be born early","nascere presto"
"vi. <nasco> (persone, animali, amore) to be born; (avere origine: tradizione, iniziativa) to come from; (formarsi: associazione) to be created","nascere; essere nato"
"to hide sth from sb","nascondere qc a qu"
"vt. <nascondo> (oggetto) to hide; (sentimento, verità) to conceal","nascondere; avere nascosto"
"vr. <nascondo> to be hidden, hide o.s.","nascondersi; essersi nascosto"
"vi. NAUT to sail","navigare; avere navigato"
"vt. (contestare) to deny; (rifiutare) to deny","negare; avere negato"
"vi. to snow","nevicare; essere nevicato"
"vt. (dare a nolo) to rent (out); (prendere a nolo) to rent","noleggiare; avere noleggiato"
"vt. (rilevare) to notice; (prender nota) to note; (considerare) to note","notare; avere notato"
"vi. to swim","nuotare; avere nuotato"
"vt. (casa, fabbrica, scuola, abitare: appartamento) to occupy; (riempire: spazio) to take up","occupare; avere occupato"
"vr. (interessarsi) to be interested (in), take an interest (in); (prendersi cura) to take care (of), look after","occuparsi (di); essersi occupato"
"vt. (nemico, persona, materia, cibo) to hate","odiare; avere odiato"
"to offer to do sth","offrire di fare qc"
"to offer sth to sb","offrire qc a qn"
"vt. <offro> (gener) to offer; (fornire: pretesto, appiglio, scusa) to provide","offrire; avere offerto"
"vt. (superare) to cross; (limite, soglia) to exceed","oltrepassare; avere oltrepassato"
"vt. (gener) to order; (mettere in ordine: carte, idee, elementi) to arrange, organize","ordinare; avere ordinato"
"vt. (lavoro, conferenza, viaggio) to organize","organizzare; avere organizzato"
"vr. to get organized, organize o.s.","organizzarsi; essersi organizzato"
"vt. (dare ospitalità a) to accommodate; (accogliere: convegno) to host","ospitare; avere ospitato"
"vt. (guardare attentamente, rispettare) to observe; (rilevare) to notice","osservare; avere osservato"
"vt. (ricevere: risposta, laurea, permesso) to obtain, get; (risultato, totale, vittoria) to achieve","ottenere; avere ottenuto"
"to pay by (credit) card","pagare con carta (di credito)"
"to pay cash","pagare in contanti"
"vt. (persona) to pay, (acquisto, servizio) to pay for; (ricompensare) to repay","pagare; avere pagato"
"vt. (confrontare) to compare to/with","paragonare a/con; avere paragonato"
"vi. <imp.> (apparire) to seem","parere; essere parso"
"to talk to/with sb","parlare a/con qn"
"to speak well of sb/sth","parlare bene di qn/qc"
"to talk about doing sth","parlare di fare qc"
"to speak poorly of sb/sth","parlare male di qn/qc"
"vi. (esprimersi) to speak (of); (conversare) to talk (about)","parlare (di); avere parlato"
"vi. to take part (in); (utili, dolore, successo di qn) to share (in); (spese) to contribute (to)","partecipare (a); avere partecipato"
"to leave from home","partire da casa"
"to leave from Italy","partire dall'Italia"
"to leave (go) by plan","partire in aereo"
"to leave (go) by macchina","partire in macchina"
"to leave (go) by train","partire in treno"
"to leave for home","partire per casa"
"to leave for Italy","partire per l'Italia"
"from","a partire da"
"vi. (andare via) to leave; (allontanarsi) to go away; (colpo) to go off","partire; essere partito"
"to drop in on sb","passare a trovare qn"
"to spend (pass) time","passare il tempo"
"to pass sth to sb","passare qc a qn"
"to go through a bad time","passare un brutto periodo"
"vi.(persona, veicolo) to pass (by), go by; (fare una breve sosta) to visit, stop by; vt. (attraversare) to cross; (trascorrere: tempo) to spend","passare; essere passato"
"vi. (andare a spasso) to go for a walk; (in veicolo) to go for a dive","passeggiare; avere passeggiato"
"to think well of sb","pensare bene di qn"
"to think of doing sth","pensare di fare qc"
"to not think so","pensare di no"
"to think so","pensare di sì"
"to think poorly of sb","pensare male di qn"
"vi. (riflettere) to think (of/about)","pensare (a); avere pensato"
"to lose sight of sb/sth","perdere di vista qn/qc"
"(preccare) to waste time","perdere tempo"
"vt. <perdo> (gener) to lose; (treno, film, evento, occasione) to miss; (sprecare) to waste","perdere; avere perso"
"vr. <perdo> (smarrirsi) to get lost; (svanire) to disappear","perdersi; essersi perso"
"to allow sb to do sth","permettere a qn di fare qc"
"vt. (dare il permesso per) to allow; (dare la possibilità) to permit","permettere; avere permesso"
"vt. <persuado> (convincere) to persuade; (suscitare consenso) to convince","persuadere; avere persuaso"
"vt./vi. (avere un peso, persona, merce) to weigh","pesare; avere pesato"
