"far notare a qu qc","to point sth out to sb"
"nascere a Roma","to be born in Rome"
"nascere in Italia","to be born in Italy"
"nascere presto","to be born early"
"nascere","vi. <nasco> (persone, animali, amore) to be born; (avere origine: tradizione, iniziativa) to come from; (formarsi: associazione) to be created; essere nato"
"nascondere qc a qu","to hide sth from sb"
"nascondere","vt. <nascondo> (oggetto) to hide; (sentimento, verità) to conceal; avere nascosto"
"nascondersi","vr. <nascondo> to be hidden, hide o.s.; essersi nascosto"
"negare","vt. (contestare) to deny; (rifiutare) to deny; avere negato"
"nevicare","vi. to snow; essere nevicato"
"noleggiare","vt. (dare a nolo) to rent (out); (prendere a nolo) to rent; avere noleggiato"
"notare","vt. (rilevare) to notice; (prender nota) to note; (considerare) to note; avere notato"
"nuotare","vi. to swim; avere nuotato"
"odiare","vt. (nemico, persona, materia, cibo) to hate; avere odiato"
"offrire di fare qc","to offer to do sth"
"offrire qc a qn","to offer sth to sb"
"offrire","vt. <offro> (gener) to offer; (fornire: pretesto, appiglio, scusa) to provide; avere offerto"
"oltrepassare","vt. (superare) to cross; (limite, soglia) to exceed; avere oltrepassato"
"ordinare","vt. (gener) to order; (mettere in ordine: carte, idee, elementi) to arrange, organize; avere ordinato"
"organizzare","vt. (lavoro, conferenza, viaggio) to organize; avere organizzato"
"organizzarsi","vr. to get organized, organize o.s.; essersi organizzato"
"ottenere","vt. (ricevere: risposta, laurea, permesso) to obtain, get; (risultato, totale, vittoria) to achieve; avere ottenuto"
"pagare con carta (di credito)","to pay by (credit) card"
"pagare in contanti","to pay cash"
"pagare","vt. (persona) to pay, (acquisto, servizio) to pay for; (ricompensare) to repay; avere pagato"
"paragonare a/con","vt. (confrontare) to compare to/with; avere paragonato"
"parere","vi. <imp.> (apparire) to seem; essere parso"
"parlare a/con qn","to talk to/with sb"
"parlare bene di qn/qc","to speak well of sb/sth"
"parlare di fare qc","to talk about doing sth"
"parlare male di qn/qc","to speak poorly of sb/sth"
"parlare (di)","vi. (esprimersi) to speak (of); (conversare) to talk (about); avere parlato"
