"nascere a Roma","to be born in Rome"
"nascere in Italia","to be born in Italy"
"nascere","vi. <nasco> (persone, animali) to be born; (pianta) to come up, (fiore) to come out; (fiumi) to rise; (sole) to rise, (giorno) to break; (avere origine: tradizione, iniziativa) to come from; (formarsi: associazione) to be created; (amore) to be born; essere nato"
"nascondere","vt. <nascondo> (oggetto) to hide; (sentimento, verità) to conceal; avere nascosto"
"nascondersi","vr. <nascondo> to hide; essersi nascosto"
"navigare","vi. NAUT to sail; COMPUT to surf the Internet; avere navigato"
"negare","vt. (contestare) to deny; (rifiutare) to deny; avere negato"
"negoziare","vt. (contratto, pace) to negotiate; FIN (titoli, cambiali) to negotiate; avere negoziato"
"nevicare","vi. to snow; essere nevicato"
"noleggiare","vt. (dare a nolo) to rent (out); (prendere a nolo) to rent, (navi, aerei) to charter; avere noleggiato"
"nominare","vt. (citare) to mention; (eleggere) to nominate, (commissione, avvocato) to appoint; (chiamare: via, pianta, astro) to name; avere nominato"
"notare","vt. (rilevare) to notice; (prender nota) to note; (considerare) to note; avere notato"
"nuotare","vi. to swim; avere nuotato"
