
"obbligare","vt. (costringere) to force; LAW (vincolare) to compel; avere obbligato"
"obbligarsi","vr. LAW (vincolarsi) to be bound; (impegnarsi) to force o.s.; essersi obbligato"
"occultare","vt. (nascondere) to hide; to conceal; ASTRO to occult; avere occultato"
"occupare","vt. (casa, fabbrica, scuola) to occupy; MIL (città paese) to occupy; (abitare: appartamento) to occupy; (riempire: spazio) to take up; (ricoprire: carica) to hold; avere occupato"
"occuparsi (di)","vr. (interessarsi) to be interested (in), take an interest (in); (prendersi cura) to take care (of), look after; (impicciarsi) to interfere (in), meddle in; essersi occupato"
"odiare","vt. (nemico, persona, materia, cibo) to hate; avere odiato"
"offendere","vt. <offendo> (persona) to offend; (danneggiare) to damage; avere offeso"
"offendersi","vr. <offendo> (risentirsi) to take offense; (insultarsi) to insult each other; essersi offeso"
"offrire","vt. <offro> (gener) to offer; (fornire: pretesto, appiglio, scusa) to provide; (regalare) to give; (pagare) to pay; avere offerto"
"offrirsi","vr. <offro> to offer o.s.; essersi offerto"
"oltrepassare","vt. (superare) to cross; (limite, soglia) to exceed; avere oltrepassato"
"opprimere","vt. <opprimo> (vessare: tiranno, governo) to oppress; (affliggere: persona, angoscia) to oppress; avere oppresso"
"ordinare","vt. (gener) to order; (mettere in ordine: carte, idee, elementi) to organize; REL to ordain; avere ordinato"
"ordinarsi","vr. to arrange o.s.; essersi ordinato"
"organizzare","vt. (lavoro, conferenza, viaggio) to organize; avere organizzato"
"organizzarsi","vr. to organize o.s.; essersi organizzato"
"osare","vt. to dare; avere osato"
"oscurare","vt. (rendere oscuro: cielo) to darken; (rete televisiva) to block out; avere oscurato"
"oscurarsi","vr. (diventare oscuro) to darken; (vista) to cloud over; essersi oscurato"
"ospitare","vt. (dare ospitalità a) to accommodate; SPORTS to host; (accogliere: convegno) to host; (contenere: persone, barche) to hold; (custodire: quadro, statua) to house; avere ospitato"
"osservare","vt. (guardare attentamente) to observe; (rispettare: norme, regole, silenzio) to observe; (rilevare) to notice; avere osservato"
"ostacolare","vt. (movimenti) to obstruct, (decisioni) to block, (ingresso, sviluppo, ricerca) to hinder; avere ostacolato"
"ostinarsi","vr. to persist, insist; essersi ostinato"
"ottenere","vt. (conseguire: risultato, totale, vittoria) to obtain; (ricevere: ricompensa, premio) to gain; (ricavare: prodotto) to obtain; avere ottenuto"
"offrire di fare qc","to offer to do sth"
"offrire qc a qn","to offer sth to sb"
