"pagare con carta (di credito)","to pay by (credit) card"
"pagare in contanti","to pay cash"
"pagare","vt. (persona) to pay, (acquisto, servizio) to pay for; (offrire) to buy; (ricompensare) to repay; avere pagato"
"paragonare","vt. (confrontare) to compare; avere paragonato"
"paragonarsi","vr. to compare o.s.; essersi paragonato"
"parere","vi. <paio> (apparire) to seem; essere parso"
"parlare a/con qn di qc","to talk to/with sb about sth"
"parlare bene di qn/qc","to speak well of sb/sth"
"parlare di fare qc","to talk about doing sth"
"parlare di qc","to talk about sth"
"parlare male di qn/qc","to speak poorly of sb/sth"
"parlare","vt. to speak; vi. (esprimersi) to speak; (conversare) to talk; avere parlato"
"parlarsi","vr. to speak (to each other); essersi parlato"
"partecipare","vt. (rendere noto) to announce; avere partecipato"
"partire da casa","to leave from home"
"partire dall'Italia","to leave from Italy"
"partire in aereo","to leave (go) by plan"
"partire in macchina","to leave (go) by macchina"
"partire in treno","to leave (go) by train"
"partire per casa","to leave for home"
"partire per l'Italia","to leave for Italy"
"partire","vi. (andare via) to leave, depart; essere partito"
"partire","vi. (andare via) to leave; (colpo) to go off; (macchina) to start, SPORTS to start; (avere inizio) to start; (rompersi) to break, (staccarsi) to come off; essere partito"
"passare a trovare qn","to drop in on sb"
"passare il tempo","to spend (pass) time"
"passare qc a qn","to pass sth to sb"
"passare un brutto periodo","to go through a bad time"
"passare","vt. (attraversare: confine) to cross; (oltrepassare: semaforo, strada) to go past; (trafiggere) to go through; (superare) to pass; (trascorrere) to spend; (dare) to pass; (notizia) to tell; (patire) to undergo; (perdonare) to forgive; (legge) to pass; (superare: esame, controllo) to pass; (patate, verdura) to purée; (spugna, mano di vernice) to apply; vi. (transitare) to pass; (strada, canale) to run; (andare) to call in; (attraversare un'apertura) to get in, (penetrare) to come in; (trasferirsi) to go; (da una persona all'altra) to pass; (trascorrere) to go by; (cambiare argomento) to move on; (sparire) to pass; (essere accettabile) to do; (a livello superiore) to change; (agli esami) to pass, (legge) to be passed; SPORTS to pass; essere passato"
"passeggiare","vi. (andare a spasso) to walk; (andare su e giù) to pace up and down; avere passeggiato"
"penetrare","vi. (in un materiale) ; essere penetrato"
"penetrare","vt. (significato, concetto) to understand; (sessualmente) to penetrate; essere penetrato"
"pensare a qc","to think of sth"
"pensare bene di qn","to think well of sb"
"pensare di fare qc","to think of doing sth"
"pensare di no","to not think so"
"pensare di sì","to think so"
"pensare male di qn","to think poorly of sb"
"pensare","vt. (gener) to think; (escogitare) to think of; vi. (riflettere) to think; avere pensato"
"perdere di vista qn/qc","to lose sight of sb/sth"
"perdere tempo","to waste time"
"perdere","vt. <perdo> (gener) to lose; (treno, film, evento, occasione) to miss; (sprecare) to waste; (acqua, gas) to leak, (sangue) to lose; avere perso [o perduto]"
"perdersi","vr. <perdo> (smarrirsi) to get lost; (svanire) to disappear; (rovinarsi) to be ruined; essersi perso [o perduto]"
"perfezionare","vt. (opera) to improve, (metodo, macchina) to perfect; (contratto) to draw up; avere perfezionato"
"perfezionarsi","vr. (tecnica, scienza) to improve; essersi perfezionato"
"permettere","vt. (dare il permesso per) to allow; (dare la possibilità) to permit; (concedersi) to afford; avere permesso"
"permettersi","vr. to take the liberty; essersi permesso"
"persuadere","vt. <persuado> (convincere) to persuade; (suscitare consenso) to convince; avere persuaso"
"persuadersi","vr. <persuado> (convincersi) to convince o.s.; essersi persuaso"
"pervadere","vt. <pervado> (occupare) to pervade; avere pervaso"
"pesare","vt. (persona, merce) to weigh; (valutare) to weigh up; vi. (avere un peso) to weigh, (essere pesante) to be heavy; avere pesato"
"pesarsi","vr. to weigh o.s.; essersi pesato"
"pettinare","vt. to comb; avere pettinato"
"pettinarsi","vr. (ravviarsi i capelli) to comb one's hair, (acconciarsi) to do one&#39;s hair; essersi pettinato"
"piangere","vt. <piango> (lacrime) to cry; (lamentare) to mourn; vi. <piango> to cry; avere pianto"
"piegare","vt. (sbarra, fil di ferro, braccia, gambe, testa, corpo) to bend, (foglio, vestiti) to fold; (dominare) to subdue; vi. (voltare) to turn; avere piegato"
"piegarsi","vr. (incurvarsi) to bend schiena; (arrendersi) to submit; essersi piegato"
"piovere","vi. <piove> METEO to rain; to rain down; (arrivare in grande quantità) to come thick and fast <strong class=tilde"">piovere</strong> gli insulti; essere piovuto"""
"piovigginare","vi. to drizzle; essere piovigginato"
"poggiare","vt. (posare) to place; avere poggiato"
"portare qc a qn","to take, bring sth to sb"
"portare qc","to carry sth"
"portare qn a fare qc","to lead sb to do sth"
"portare qn a qc","to lead sb to sth"
"portare via","to take away"
"portare","vt. (trasportare, trascinare) to carry; (trasferire, accompagnare, prendere con sé) to take; (dare, causare) to bring; (indossare) to wear; (condurre) to lead, (veicoli) to go; (taglia) to take; (proporre, presentare) to provide; (reggere) to support; avere portato"
"possedere","vt. <possiedo> (beni) to have, (dote) to possess; avere posseduto"
"potenziare","vt. (rafforzare) to strengthen; avere potenziato"
"potere fare qc","to be able to do sth"
"potere","vi. <posso> (gener) to be able to; (avere il permesso di) may; avere potuto"
"predire","vt. to predict; avere predetto"
"preferire fare qc","to prefer doing sth"
"preferire","vt. <preferisco> to prefer; avere preferito"
"pregare","vt. REL to pray to; (chiedere) to beg; avere pregato"
"premere","vt. (spingere su) to press; (incalzare) to pursue; vi. (stare a cuore) to be important; avere premuto"
"prendere nota di qc","to take note of sth"
"prendere","vt. <prendo> (gener) to take; (procurarsi, ricevere, derivare) to get; (malattia) to catch; (al bar, al ristorante) to have; (catturare, sorprendere) to catch; (ritirare) to pick up; (misurare) to measure; (far pagare) to charge; (assumere) to take on; (spazio) to take up; vi. <prendo> (piante) to take; (fuoco) to catch; (colla, cemento) to set; (avviarsi) to go; avere preso"
"prendersi","vr. <prendo> (assumersi) to take on; essersi preso"
"prenotare","vt. (posto, tavolo, camera) to reserve; avere prenotato"
"preparare","vt. (letto, pranzo, lista) to make, (stanza) to get ready; (piano, sorpresa, persona) to prepare; avere preparato"
"prepararsi a fare qc","to prepare o.s. to do sth"
"prepararsi a qc","to prepare o.s. for sth"
"prepararsi","vr. (vestirsi) to get ready; essersi preparato"
"prescindere (da)","vi. to leave aside, leave outside of consideration; avere prescisso"
"presentare","vt. (mostrare: documento, passaporto) to show, (sottoporre: domanda, proposta) to submit; (comportare) to offer; (prodotto) to present; (saluti) to give; (programma televisivo) to host; avere presentato"
"presentarsi","vr. (andare) to go; (apparire) to appear; (farsi conoscere) to introduce o.s.; (occasione) to present itself, (difficoltà) to come up; essersi presentato"
"prestare","vt. (dare in prestito) to lend; (dare) to give; avere prestato"
"prestarsi","vr. (offrirsi) to offer, (acconsentire) to agree; essersi prestato"
"presupporre","vt. (immaginare) to suppose; (implicare) to presuppose; avere"
"pretendere","vt. (esigere) to demand; (presumere) to presume; (affermare) to claim; avere preteso"
"prevalere","vi. (predominare) to prevail; essere prevalso"
"prevedere","vt. (anticipare) to foresee, (programmare) to plan; (prescrivere) to provide for; avere preveduto"
"prevenire","vt. (anticipare) to anticipate; (impedire) to prevent; (avvertire) to warn; avere prevenuto"
"produrre","vt. <produco> (gener) to produce; (opera) to write; (causare) to cause; avere prodotto"
"prodursi","vr. <produco> THEAT to appear; (formarsi) to develop; essersi prodotto"
"proibire","vt. <proibisco> (vietare) to forbid; avere proibito"
"promettere","vt. to promise; avere promesso"
"promuovere","vt. (gener) to promote; (a scuola, a un esame) to pass; avere promosso"
"proporre","vt. (suggerire) to propose; avere"
"proteggere","vt. <proteggo> (difendere) to protect, (soccorrere) to defend; avere protetto"
"proteggersi","vr. <proteggo> to protect o.s.; essersi protetto"
"provare","vt. TECH, scient (gener) to try, (gener) to test, (abito, scarpe) to try on; (indebolire) to weaken; (dolore, simpatia, pietà) to feel; (dimostrare) to prove; MUS, THEAT, film to rehearse; avere provato"
"pulire a secco","to dry-clean"
"pulire","vt. <pulisco> to clean; avere pulito"
"pulirsi","vr. <pulisco> to clean o.s. up; essersi pulito"
"pungere","vt. <pungo> (soggetto: spina, spillo) to prick, (insetto, ortica) to sting; (offendere) to offend; avere punto"
"pungersi","vr. <pungo> to prick o.s.; essersi punto"
"punire","vt. <punisco> (bambino, criminale) to punish; avere punito"
"puntare","vt. (appoggiare) to brace; (dirigere) to point; avere puntato"
"puntellare","vt. (muro) to prop up; avere puntellato"
