"essere","essere stato (been)","essere"
"avere","avere avuto (had)","avere"
"fare","avere fatto (done)","fare"
"andare","essere andato (gone)","andare"
"potere","avere potuto (been able to)","potere"
"dare","avere dato (given)","dare"
"volere","avere voluto (wanted)","volere"
"venire","essere venuto (come)","venire"
"dovere","avere dovuto (had to)","dovere"
"stare","essere stato (been)","stare"
"dire","avere detto (said)","dire"
"sapere","avere saputo (knew)","sapere"
"vedere","avere visto (seen)","vedere"
"mangiare","avere mangiato (eaten)","mangiare"
"parlare","avere parlato (spoken)","parlare"
"uscire","essere uscito (gone out)","uscire"
"prendere","avere preso (taken)","prendere"
"piacere","essere piaciuto (liked)","piacere"
"leggere","avere letto (read)","leggere"
"amare","avere amato (loved)","amare"
"bere","avere bevuto (drunk)","bere"
"finire","avere finito (finished)","finire"
"capire","avere capito (understood)","capire"
"arrivare","essere arrivato (arrived)","arrivare"
"scrivere","avere scritto (written)","scrivere"
"partire","essere partito (departed)","partire"
"mettere","avere messo (put)","mettere"
"rimanere","essere rimasto (remained)","rimanere"
"dormire","avere dormito (slept)","dormire"
"vivere","avere vissuto (lived)","vivere"
"conoscere","avere conosciuto (known)","conoscere"
"sentire","avere sentito (felt)","sentire"
"cucinare","avere cucinato (cooked)","cucinare"
"studiare","avere studiato (studied)","studiare"
"giocare","avere giocato (played)","giocare"
"chiedere","avere chiesto (asked)","chiedere"
"trovare","avere trovato (found)","trovare"
"credere","avere creduto (believed)","credere"
"aprire","avere aperto (opened)","aprire"
"lavorare","avere lavorato (worked)","lavorare"
"pensare","avere pensato (thought)","pensare"
"correre","avere corso (run)","correre"
"tenere","avere tenuto (kept)","tenere"
"guardare","avere guardato (watched)","guardare"
"chiamare","avere chiamato (called)","chiamare"
"tornare","essere tornato (returned)","tornare"
"salire","essere salito (gone up)","salire"
"preferire","avere preferito (preferred)","preferire"
"morire","essere morto (died)","morire"
"aspettare","avere aspettato (waited)","aspettare"
"comprare","avere comprato (bought)","comprare"
"nascere","essere nato (born)","nascere"
"cercare","avere cercato (searched)","cercare"
"perdere","avere perso (lost)","perdere"
"cantare","avere cantato (sung)","cantare"
"passare","avere passato (passed)","passare"
"cominciare","avere cominciato (started)","cominciare"
"ascoltare","avere ascoltato (listened)","ascoltare"
"riuscire","essere riuscito (succeeded)","riuscire"
"decidere","avere deciso (decided)","decidere"
"abitare","avere abitato (lived)","abitare"
"cadere","essere caduto (fallen)","cadere"
"chiudere","avere chiuso (closed)","chiudere"
"lasciare","avere lasciato (left)","lasciare"
"scegliere","avere scelto (chosen)","scegliere"
"portare","avere portato (carried)","portare"
"ricevere","avere ricevuto (received)","ricevere"
"lavare","avere lavato (washed)","lavare"
"rispondere","avere risposto (answered)","rispondere"
"sedere","essere seduto (sat)","sedere"
"vincere","avere vinto (won)","vincere"
"pagare","avere pagato (paid)","pagare"
"alzare","avere alzato (raised)","alzare"
"ridere","avere riso (laughed)","ridere"
"scendere","essere sceso (gone down)","scendere"
"incontrare","avere incontrato (met)","incontrare"
"offrire","avere offerto (offered)","offrire"
"imparare","avere imparato (learned)","imparare"
"dimenticare","avere dimenticato (forgotten)","dimenticare"
"svegliare","avere svegliato (awakened)","svegliare"
"crescere","essere cresciuto (grown)","crescere"
"vendere","avere venduto (sold)","vendere"
"divertire","essere divertito (had fun)","divertire"
"diventare","essere diventato (became)","diventare"
"porre, mettere","avere posto, messo (placed, put)","porre, mettere"
"entrare","essere entrato (entered)","entrare"
"temere","avere temuto (feared)","temere"
"pulire","avere pulito (cleaned)","pulire"
"vestire","avere vestito (dressed)","vestire"
"seguire","avere seguito (followed)","seguire"
"restare","essere restato (remained)","restare"
"cambiare","avere cambiato (changed)","cambiare"
"viaggiare","avere viaggiato (traveled)","viaggiare"
"spegnere","avere spento (turned off)","spegnere"
"ricordare","avere ricordato (remembered)","ricordare"
"apparire","essere apparso (appeared)","apparire"
"aiutare","avere aiutato (helped)","aiutare"
"tacere","avere taciuto (been quiet)","tacere"
"spedire","avere spedito (sent)","spedire"
"preparare","avere preparato (prepared)","preparare"
