"realizzare","vt. to realize, achieve, make; avere realizzato"
"realizzarsi","vr. (aspirazioni) to come true; (come persone) to find fulfillment; essersi realizzato"
"racchiudere","vt. (contenere) to contain; (implicare) to imply; avere racchiuso"
"raccomandare","vt. (affidare alle cure) to entrust; (consigliare) to advise; (appoggiare: candidato) to recommend; avere raccomandato"
"raccontare","vt. (storia, bugie) to tell; (avventure) to tell about; avere raccontato"
"radere","vt. <rado> (barba, baffi) to shave; (sfiorare) to graze; avere raso"
"radersi","vr. <rado> (barba, baffi) to shave; essersi raso"
"radunare","vt. to gather together; avere radunato"
"radunarsi","vr. to gather; essersi radunato"
"rafforzare","vt. (rinforzare) to reinforce; (carattere) to strengthen; avere rafforzato"
"rafforzarsi","vr. to get stronger; essersi rafforzato"
"raggiungere","vt. (meta, vetta) to reach, (persone) to join; (obiettivo) to achieve; (colpire: bersaglio, cuore) to hit; avere raggiunto"
"ragionare","vi. (riflettere) to reason, think; avere ragionato"
"rallentare","vt. (rendere più lento) to slow down; (diventare meno intenso) to slacken; vi. to slow down; avere rallentato"
"rappresentare","vt. (raffigurare) to depict; (simboleggiare) to represent; THEAT (pezzo teatrale) to stage, (ruolo) to play; (agire per conto di) to represent; avere rappresentato"
"rassicurare","vt. to reassure; avere rassicurato"
"rassicurarsi","vr. to be reassured; essersi rassicurato"
"reagire","vi. <reagisco> to react; avere reagito"
"realizzare","vt. to realize; avere realizzato"
"realizzarsi","vr. (aspirazioni) to come true; (come persona) to find fulfillment; essersi realizzato"
"recedere","vi. <recedo> (tirarsi indietro) to withdraw; avere receduto"
"recitare","vt. (poesia, lezioni, orazioni) to recite; THEAT, film to act; vi. (fingere) to pretend; avere recitato"
"reclutare","vt. to recruit; avere reclutato"
"regalare","vt. (gener) to give; COMM (vendere a buon mercato) to give away; avere regalato"
"regolare","vt. (ordinare) to organize; (sistemare) to fix; COMM (conto) to settle, (debito) to repay; TECH to adjust, (orologio) to set; avere regolato"
