"to get in the car","salire in macchina"
"to go up stairs","salire le scale"
"to get on the train","salire sul treno"
"to get on the motorcycle","salire sulla moto"
"vt. <salgo> (scale, gradini, montagna) to climb; avere salito; vi. <salgo> (gener) to go up; (aereo, strada, sentiero) to climb","salire; essere salito"
"vt. (ostacolo) to jump (over); avere saltato; (omettere, non frequentare) to skip; vi. (da terra) to jump","saltare; essere saltato"
"to jump out of the window","saltare dalla finestra"
"to jump off the bridge","saltare dal ponte"
"to jump for joy","saltare dalla gioia"
"vt. to greet","salutare; avere salutato"
"vr. (incontrandosi) to greet one another, (lasciandosi) to say goodbye to one another","salutarsi; essersi salutato"
"vt. (gener) to save; (proteggere: onore, reputazione) to preserve","salvare; avere salvato"
"to save sb's life","salvare la vita a qn"
"vr. (dalla morte) to survive; (trovare scampo) to find safety","salvarsi; essersi salvato"
"to know (how) to do sth","sapere fare qc"
"to know how to speak Italian","sapere parlare italiano"
"to know of many things","sapere di molte cose"
"to know the answer","sapere la risposta"
"vt. <so> (gener) to know (about); (essere in grado di fare qualcosa) to know how to","sapere; avere saputo"
"vr. to get rid (of), rid o.s. (of)","sbarazzarsi (di); essersi sbarazzato"
"vt. (acqua) to boil, (minestra) to heat (up), (stanza, motore) to warm (up); fig. (agitare: animi, testa) to stir up","scaldare; avere scaldato"
"vr. (diventare caldo) to warm up; fig. (accalorarsi, irritarsi) to grow heated","scaldarsi; essersi scaldato"
"vt. (fare uno scambio, parole) to exchange; (impressioni, opinioni) to share","scambiare; avere scambiato"
"vt. (sfuggire a: morte, prigione) to escape; vi. (sfuggire: a pericolo, morte, massacro) to escape","scampare; essere scampato"
"vi. (darsi alla fuga) to flee; (di prigione) to escape; (andar via in fretta) to run; (sfuggire) to slip out","scappare; essere scappato"
"to choose to do sth","scegliere di fare qc"
"vt. <scelgo> to choose","scegliere; avere scelto"
"to get off of the train","scendere dal treno"
"to get off of the plane","scendere dall'aereo"
"to get out of the car","scendere dalla macchina"
"to dismount the horse","scendere dal cavallo"
"to go into town","scendere in città"
"vi. <scendo> (andare giù) to go down; (essere in pendenza) to descend","scendere; essere sceso"
"vt. (proteggere mediante schermo) to screen","schermare; avere schermato"
"vi. (perdere l'equilibrio) to slip; (scorrere) to slide","scivolare; essere scivolato"
"vi. (sparire) to disappear","scomparire; essere scomparso"
"vt. <sconfiggo> to defeat; (eliminare) to overcome","sconfiggere; avere sconfitto"
"vt. <scopro> (gener) to discover; (pentola, statua, gambe) to uncover","scoprire; avere scoperto"
