"sopravvivere","vi. to survive; fig. (ricordo) to live on; essere sopravvissuto"
"sopravvivere a qn","to outlive sb"
"sopravvivere a qc","to survive sth"

"salire","vt. <salgo> (scale, gradini, montagna) to climb; vi. <salgo> (gener) to go up; (aereo, strada, sentiero) to climb; (catena montuosa, fumo, urla) to rise; (montare: sul treno) to get on, (sull'auto) to get in; (aumentare: livello, numero, temperatura) to rise; (diventare più caro: prezzo, affitto, frutta) to go up (in price); essere salito"
"saltare","vt. (ostacolo) to jump (over); FOOD to sauté; (omettere, non frequentare) to skip; vi. (da terra) to jump; essere saltato"
"salutare","vt. to greet; avere salutato"
"salutarsi","vr. (incontrandosi) to greet one another, (lasciandosi) to say goodbye to one another; essersi salutato"
"salvare","vt. a. COMPUT (gener) to save; (proteggere: onore, reputazione) to preserve; avere salvato"
"salvarsi","vr. (dalla morte) to survive; (trovare scampo) to find safety; essersi salvato"
"sapere","vt. <so> (gener) to know; (essere in grado di fare qualcosa) to know how to; (apprendere) to find out; avere saputo"
"sbarazzarsi (di)","vr. to get rid (of), rid o.s. (of); essersi sbarazzato"
"sbrigare","vt. (faccenda, questione) to deal with; avere sbrigato"
"sbrigarsi","vr. (affrettarsi) to hurry up; essersi sbrigato"
"sbucare","vi. (animale) to pop out; (apparire improvvisamente) to appear; essere sbucato"
"scaldare","vt. (acqua) to boil, (minestra) to heat (up), (stanza, motore) to warm (up); (agitare: animi, testa) to stir up; avere scaldato"
"scaldarsi","vr. a. SPORTS (diventare caldo) to warm up; (accalorarsi, irritarsi) to grow heated; essersi scaldato"
"scambiare","vt. (fare uno scambio) to exchange; (impressioni, opinioni) to share, (parole) to exchange; avere scambiato"
"scambiarsi","vr. (sostituirsi) to change over; (dare l'un l'altro) to exchange; essersi scambiato"
"scampare","vt. (sfuggire a: morte, prigione) to escape; vi. (sfuggire: a pericolo, morte, massacro) to escape; essere scampato"
"scappare","vi. (darsi alla fuga) to flee; (di prigione) to escape; (andar via in fretta) to run; (sfuggire) to slip out; essere scappato"
"scaraventare","vt. (gettare con impeto) to hurl; avere scaraventato"
"scaraventarsi","vr. (gettarsi con impeto) to hurl oneself; essersi scaraventato"
"scegliere","vt. <scelgo> to choose; avere scelto"
"scendere","vi. <scendo> (andare giù) to go down; (smontare: da macchina) to get out of, (da bus, treno) to get off, (da cavallo) to dismount; (essere in pendenza) to descend; (calare) to drop, (notte) to fall, (sole) to set; (di grado) to decline; essere sceso"
"schermare","vt. (proteggere mediante schermo) to screen; avere schermato"
"schiamazzare","vi. ZOOL (galline) to squawk, (oche) to cackle; (persone) to make a racket; avere schiamazzato"
"scivolare","vi. (perdere l'equilibrio) to slip; (scorrere) to slide; essere scivolato"
"scomparire","vi. (sparire) to disappear; (morire) to die; (fare poca figura) to fade into the background; essere scomparso"
"scompigliare","vt. (capelli) to mess up; avere scompigliato"
"sconfiggere","vt. <sconfiggo> a. MIL to defeat; (eliminare) to overcome; avere sconfitto"
"scongiurare","vt. (pregare) to beg; (pericolo, disastro, tragedia) to avert; avere scongiurato"
"scontrarsi","vr. (treno, auto) to crash; MIL to clash; (divergere) to differ; essersi scontrato"
"sconvolgere","vt. (turbare profondamente) to devastate; (piano, progetto) to upset; avere sconvolto"
"scoprire","vt. <scopro> (gener) to discover; (pentola, statua, gambe) to uncover; (palesare) to reveal; avere scoperto"
"scoprirsi","vr. <scopro> (spogliarsi) to take some clothes off; (rivelarsi) to give oneself away; essersi scoperto"
"scovare","vt. (lepre, volpe) to flush; (scoprire) to discover; avere scovato"
"scrivere","vt. <scrivo> to write; avere scritto"
"scrosciare","vi. (fiume) to thunder, (pioggia, acqua) to pour (down); essere scrosciato"
"scrutare","vt. (osservare intensamente) to scrutinize; avere scrutato"
"scuotere","vt. <scuoto> to shake; avere scosso"
"scuotersi","vr. <scuoto> (dal torpore) to shake oneself; (turbarsi) to be shaken; essersi scosso"
"scurire","vt. <scurisco> (colore, metallo) to make darker; essere scurito"
"scurirsi","vr. <scurisco> (colore, capelli, pelle, metallo) to become darker; essersi scurito"
"scusare","vt. to excuse, (perdonare) to forgive; avere scusato"
"scusarsi","vr. to apologize; essersi scusato"
"seccare","vt. (terreno, aria) to dry (out), (fiori) to wither; (infastidire) to annoy; essere seccato"
"seccarsi","vr. (diventare secco: frutta, pianta) to wither, (pelle) to dry out; (diventare asciutto) to dry up; essersi seccato"
"sedere","vi. <siedo> to be sitting; essere seduto"
"sedersi","vr. <siedo> to sit (down); essersi seduto"
"sedurre","vt. <seduco> (donna, uomo) to seduce; (attrarre) to appeal to; avere sedotto"
"segnare","vt. (gener) to mark; (prendere nota di) to jot down; SPORTS (gol, punto) to score; (indicare: orologio, termometro) to show; avere segnato"
"segnarsi","vr. (fare il segno della croce) to cross oneself; essersi segnato"
"seguire","vt. (corso di studi) to take; (con lo sguardo) to watch, (con l'attenzione) to follow; vi. (venir dopo, derivare) to follow; (continuare) to continue; essere seguito"
"seminare","vt. (campo, grano, odio, discordia) to sow; SPORTS to leave behind; (inseguitore) to shake off; avere seminato"
