"to need, be in need of sth","aver bisogno di qc","to need, be in need of sth"
"to need to do sth","aver bisogno di fare qc","to need to do sth"
"to feel like sth, want sth","aver voglia di qc","to feel like sth, want sth"
"to feel like doing, want to do sth","aver voglia di fare qc","to feel like doing, want to do sth"
"to have sth to drink","avere qc da bere","to have sth to drink"
"to have sth to eat","avere qc da mangiare","to have sth to eat"
"to go home","andare a casa","to go home"
"to go to work","andare al lavoro","to go to work"
"to go to the dentist","andare dal dentista","to go to the dentist"
"to go to the doctor","andare dal dottore","to go to the doctor"
"to go to the pharmacy","andare in farmacia","to go to the pharmacy"
"to go to the bank","andare in banca","to go to the bank"
"to drive (a car)","andare in macchina","to drive (a car)"
"to drive (a motorcycle)","andare in moto","to drive (a motorcycle)"
"to go to do sth","andare a fare qc","to go to do sth"
"to go and get sth","andare a prendere qc","to go and get sth"
"to go finish sth","andare a finire qc","to go finish sth"
"to go and see somebody","andare a trovare qn","to go and see somebody"
"to get on well","trovarsi bene","to get on well"
"to get on badly","trovarsi male","to get on badly"
"to give sth to sb","dare qc a qn","to give sth to sb"
"to give sb sth to do","dare qc da fare a qn","to give sb sth to do"
"to give sb sth to drink","dare da bere a qn","to give sb sth to drink"
"to give sb sth to eat","dare da mangiare a qn","to give sb sth to eat"
"to bother sb/sth","dare fastidio a qn/qc","to bother sb/sth"
"to come and get sth","venire a prendere qc","to come and get sth"
"to come and see sb","venire a trovare qn","to come and see sb"
"to say sth to sb, tell sb sth","dire qc a qn","to say sth to sb, tell sb sth"
"to tell sb to do sth","dire a qn di fare qc","to tell sb to do sth"
"to say yes","dire di sì","to say yes"
"to say no","dire di no","to say no"
"to see sth","vedere qc","to see sth"
"to see sb do sth","vedere qn fare qc","to see sb do sth"
"to not (be able) to wait","non vedere l'ora","to not (be able) to wait"
"to not (be able) to wait to do sth","non vedere l’ora di fare qc","to not (be able) to wait to do sth"
"to eat sth","mangiare qc","to eat sth"
"to eat anything/everything","mangiare di tutto","to eat anything/everything"
"to talk about sth","parlare di qc","to talk about sth"
"to talk to/with sb about sth","parlare a/con qn di qc","to talk to/with sb about sth"
"to talk about doing sth","parlare di fare qc","to talk about doing sth"
"to speak well of sb/sth","parlare bene di qn/qc","to speak well of sb/sth"
"to speak poorly of sb/sth","parlare male di qn/qc","to speak poorly of sb/sth"
"to take/get sth","prendere qc","to take/get sth"
"to read sth in the newspaper","leggere qc sul giornale","to read sth in the newspaper"
"to read sth in a book","leggere qc in un libro","to read sth in a book"
"to read about sth","leggere di qc","to read about sth"
"to read about history","leggere di storia","to read about history"
"to love sth","amare qc","to love sth",
"to love to do sth","amare fare qc","to love to do sth"
"to drink sth","bere qc","to drink sth"
"to finish sth","finire qc","to finish sth"
"to finish doing sth","finire di fare qc","to finish doing sth"
"to understand sth","capire qc","to understand sth"
"to arrive on time","arrivare in orario","to arrive on time"
"to arrive late","arrivare in ritardo","to arrive late"
"to arrive home","arrivare a casa","to arrive home"
"to arrive at work","arrivare al lavoro","to arrive at work"
"to arrive at the dentist","arrivare dal dentista","to arrive at the dentist"
"to arrive at the doctor","arrivare dal dottore","to arrive at the doctor"
"to arrive at the pharmacy","arrivare in farmacia","to arrive at the pharmacy"
"to arrive at the bank","arrivare in banca","to arrive at the bank"
"to manage to do, succeed in doing sth","arrivare a fare qc","to manage to do, succeed in doing sth"
"to write sth to sb","scrivere qc a qn","to write sth to sb"
"to leave (go) by train","partire in treno","to leave (go) by train"
"to leave (go) by macchina","partire in macchina","to leave (go) by car"
"to leave (go) by plan","partire in aereo","to leave (go) by plane"
"to leave from home","partire da casa","to leave from home"
"to leave for home","partire per casa","to leave for home"
"to leave from Italy","partire dall'Italia","to leave from Italy"
"to leave for Italy","partire per l'Italia","to leave for Italy"
"to put sth together","mettere insieme qc","to put sth together"
"to put sth away","mettere via qc","to put sth away"
"to put in order, tidy up sth","mettere in ordine qc","to put in order, tidy up sth"
"to put in place, fix sth","mettere a posto qc","to put in place, fix sth"
"to doubt sth","mettere in dubbio qc","to doubt sth"
"to put the pizza on the table","mettere la pizza sul tavolo","to put the pizza on the table"
"to set the beer down","mettere giù la birra","to set the beer down"
"to take a lot of care","metterci molta cura","to take a lot of care"
"to take a lot of time","metterci molto tempo","to take a lot of time"
"to remain in bed","rimanere a letto","to remain in bed"
"to stay at home","rimanere a casa","to stay at home"
"to stay in the car","rimanere in macchina","to stay in the car"
"to sleep on a plane","dormire in aereo","to sleep on a plane"
"to sleep at home","dormire a casa","to sleep at home"
"to live in the city","vivere in città","to live in the city"
"to live in Rome","vivere a Roma","to live in Rome"
"to live together","vivere insieme","to live together"
"to know a person","conoscere una persona","to know a person"
"to know a place","conoscere un posto","to know a place"
"to know how to speak Italian","saper parlare italiano","to know how to speak italian"
"to know the answer","sapere la risposta","to know the answer"
"to know of many things","sapere di molte cose","to know of many things"
"to hear a noise","sentire un rumore","to hear a noise"
"to cook a steak","cucinare una bistecca","to cook a steak"
"to study the latin language","studiare la lingua latina","to study the latin language"
"to play videogames","giocare ai videogiochi","to play videogames"
"to play with fire","giocare con il fuoco","to play with fire"
"to ask sb sth","chiedere qc a qn","to ask sb sth"
"to ask about sb","chiedere di qn","to ask about sb"
"to find the courage","trovare il coraggio","to find the courage"
"to find work","trovare lavoro","to find work"
"to believe in sb/sth","credere in qn/qc","to believe in sb/sth"
"to believe sb/sth","credere a qn/qc","to believe sb/sth"
"to think (believe) so","credere di sì","to think (believe) so"
"to not think (believe) so","credere di no","to not think (believe) so"
"to not believe it","non crederci","to not believe it"
"to open sth","aprire qc","to open sth"
"to work on sth","lavorare a qc","to work on sth"
"to think of sth","pensare a qc","to think of sth"
"to think of doing sth","pensare di fare qc","to think of doing sth"
"to think so","pensare di sì","to think so"
"to not think so","pensare di no","to not think so"
"to think well of sb","pensare bene di qn","to think well of sb"
"to think poorly of sb","pensare male di qn","to think poorly of sb"
"to run in the park","correre nel parco","to run in the park"
"to run home","correre a casa","to run home"
"to keep count","tenere il conto","to keep count"
"to hold the door","tenere la porta","to hold the door"
"to support sb/sth","tenere per qn/qc","to support sb/sth"
"to keep (on) doing sth","tenere a fare qc","to keep (on) doing sth"
"to care about sb/sth","tenerci a qn/qc","to care about to sb/sth"
"to care about doing sth","tenerci a fare qc","to care about doing sth"
"to watch sth","guardare qc","to watch sth"
"to view sth favorably","guardare qc di buon occhio","to view sth favorably"
"to view sth unfavorably","guardare qc di mal occhio","to view sth unfavorably"
"to call sb","chiamare qn","to call sb"
"to return home","tornare a casa","to return home"
"to return to work","tornare al lavoro","to return to work"
"to return to the dentist","tornare dal dentista","to return to the dentist"
"to return to the doctor","tornare dal dottore","to return to the doctor"
"to return to the pharmacy","tornare in farmacia","to return to the pharmacy"
"to return to the bank","tornare in banca","to return to the bank"
"to go back to doing sth","tornare a fare qc","to go back to doing sth"
"to go up stairs","salire le scale","to go up stairs"
"to get in the car","salire in macchina","to get in the car"
"to get on the train","salire sul treno","to get on the train"
"to get on the motorcycle","salire sulla moto","to get on the motorcycle"
"to prefer sth","preferire qc","to prefer sth"
"to prefer doing sth","preferire fare qc","to prefer doing sth"
"to die from sth","morire di qc","to die from sth"
"to die of hunger","morire di fame","to die of hunger"
"to die of thirst","morire di sete","to die of thirst"
"to die of boredom","morire di noia","to die of boredom"
"to die of fright","morire di paura","to die of fright"
"to be dying to do sth","morire dalla voglia di fare qc","to be dying to do sth"
"to wait for sb/sth","aspettare qn/qc","to wait for sb/sth"
"to expect sb/sth","aspettarsi qn/qc","to expect sb/sth"
"to buy sth for sb","comprare qc a qn","to buy sth for sb"
"to be born early","nascere presto","to be born early"
"to be born in Rome","nascere a Roma","to be born in Rome"
"to be born in Italy","nascere in Italia","to be born in Italy"
"to search for sth","cercare qc","to search for sth"
"to try to do sth","cercare di fare qc","to try to do sth"
"to lose sth","perdere qc","to lose sth"
"to waste time","perdere tempo","to waste time"
"to sing sth","cantare qc","to sing sth"
"to sing to sb","cantare a qn","to sing to sb"
"to pass sth to sb","passare qc a qn","to pass sth to sb"
"to spend (pass) time","passare il tempo","to spend (pass) time"
"to drop in on sb","passare a trovare qn","to drop in on sb"
"to go through a bad time","passare un brutto periodo","to go through a bad time"
"to start sth","cominciare qc","to start sth"
"to start doing sth","cominciare a fare qc","to start doing sth"
"to listen to sth","ascoltare qc","to listen to sth"
"to listen to sb do sth","ascoltare qn fare qc","to listen to sb do sth"
"to succeed in sth","riuscire in qc","to succeed in sth"
"to succeed in doing, be able to do sth","riuscire a fare qc","to succeed in doing, be able to do sth"
"to decide sth","decidere qc","to decide sth"
"to decide to do sth","decidere di fare qc","to decide to do sth"
"to live in Rome","abitare a Roma","to live in Rome"
"to live in the city","abitare in città","to live in the city"
"to live in the country","abitare in campagna","to live in the country"
"to fall out of bed","cadere dal letto","to fall out of bed"
"to close sth","chiudere qc","to close sth"
"to leave the restaurant","lasciare il ristorante","to leave the restaurant"
"to leave the store","lasciare il negozio","to leave the store"
"to leave the books at home","lasciare i libri a casa","to leave the books at home"
"to leave sth to sb","lasciare qc a qn","to leave sth to sb"
"to leave sb/sth alone","lasciare stare qn/qc","to leave sb/sth alone"
"to choose sth","scegliere qc","to choose sth"
"to choose to do sth","scegliere di fare qc","to choose to do sth"
"to carry sth","portare qc","to carry sth"
"to take away","portare via","to take away"
"to take, bring sth to sb","portare qc a qn","to take, bring sth to sb"
"to lead sb to sth","portare qn a qc","to lead sb to sth"
"to lead sb to do sth","portare qn a fare qc","to lead sb to do sth"
"to receive sth","ricevere qc","to receive sth"
"to wash sth","lavare qc","to wash sth"
"to wash one's hands","lavarsi i mani","to wash one's hands"
"to answer sb","rispondere a qn","to answer sb"
"to sit on the chair","sedere sulla sedia","to sit on the chair"
"to sit in the garden","sedere in giardino","to sit in the garden"
"to sit to do sth","sedere per fare qc","to sit to do sth"
"to win sth","vincere qc","to win sth"
"to pay sth","pagare qc","to pay sth"
"to pay cash","pagare in contanti","to pay cash"
"to pay by (credit) card","pagare con carta (di credito)","to pay by (credit) card"
"to raise, lift sth","alzare qc","to raise, lift sth"
"to get out of bed","alzarsi dal letto","to get out of bed"
"to get up from the table","alzarsi dal tavolo","to get up from the table"
"to laugh at sth","ridere di qc","to laugh at sth"
"to go into town","scendere in città","to go into town"
"to get out of the car","scendere dalla macchina","to get out of the car"
"to get off of the train","scendere dal treno","to get off of the train"
"to get off of the plane","scendere dall'aereo","to get off of the plane"
"to encounter, meet sb/sth","incontrare qn/qc","to encounter, meet sb/sth"
"to offer sth","offrire qc","to offer sth"
"to offer sth to sb","offrire qc a qn","to offer sth to sb"
"to offer to do sth","offrire di fare qc","to offer to do sth"
"to learn sth","imparare qc","to learn sth"
"to learn to do sth","imparare a fare qc","to learn to do sth"
"to forget sth","dimenticarsi qc","to forget sth"
"to forget to do sth","dimenticarsi di fare qc","to forget to do sth"
"to wake sb up","svegliare qn","to wake sb up"
"to wake up early","svegliarsi presto","to wake up early"
"to grow up in the city","crescere in città","to grow up in the city"
"to grow up in the country","crescere in campagna","to grow up in the country"
"to raise children","crescere i figli","to raise children"
"to sell sth","vendere qc","to sell sth"
"to sell sth to sb","vendere qc a qn","to sell sth to sb"
"to have fun with sb","divertirsi con qn","to have fun with sb"
"to have fun doing sth","divertirsi a fare qc","to have fun doing sth"
"to become sth","diventare qc","to become sth"
"to become famous","diventare famoso","to become famous"
"to grow (become) old","diventare vecchio","to grow (become) old"
"to enter from the window","entrare dalla finestra","to enter from the window"
"to get into (enter) the car","entrare in macchina","to get into (enter) the car"
"to get onto the subject","entrare in argomento","to get onto the subject"
"to go down in history","entrare nella storia","to go down in history"
"to fear sth","temere qc","to fear sth"
"to be afraid so","temere di sì","to be afraid so"
"to be afraid not","temere di no","to be afraid not"
"to clean sth","pulire qc","to clean sth"
"to wear sth","vestire qc","to wear sth"
"to wear a dress","vestire un abito","to wear a dress"
"to dress as a pirate","vestirsi da pirata","to dress as a pirate"
"to dress well","vestirsi bene","to dress well"
"to follow sb/sth","seguire qn/qc","to follow sb/sth"
"to stay, remain at home","restare a casa","to stay, remain at home"
"to stay, remain in bed","restare a letto","to stay, remain in bed"
"to be surprised","restare sorpreso","to be surprised"
"to change sth","cambiare qc","to change sth"
"to move (house)","cambiare casa","to move (house)"
"to change the subject","cambiare argomento","to change the subject"
"to travel by train","viaggiare in treno","to travel by train"
"to travel by airplane","viaggiare in aereo","to travel by plane"
"to travel to Italy","viaggiare in Italia","to travel to Italy"
"to travel to Rome","viaggiare a Roma","to travel to Rome"
"to turn off sth","spegnere qc","to turn off sth"
"to remember sth","ricordarsi qc","to remember sth"
"to remember to do sth","ricordarsi di fare qc","to remember to do sth"
"to remember having done, doing sth","ricordarsi di aver fatto qc","to remember having done, doing sth"
"to appear in a dream","apparire in sogno","to appear in a dream"
"to help sb","aiutare qn","to help sb"
"to help sb to do sth","aiutare qn a fare qc","to help sb to do sth"
"to be quiet about sth","tacere su qc","to be quiet about sth"
"to send (ship) sth","spedire qc","to send (ship) sth"
"to send (ship) sth to sb","spedire qc a qn","to send (ship) sth to sb"
"to prepare sth","preparare qc","to prepare sth"
"to prepare o.s. for sth","prepararsi a qc","to prepare o.s. for sth"
"to prepare o.s. to do sth","prepararsi a fare qc","to prepare o.s. to do sth"
"to help sb find sth","far trovare qc a qn","to help sb find sth"
"to keep sb waiting","far aspettare qn","to keep sb waiting"
"to know down, drop sth","far cadere qc","to knock down, drop sth"
"to make sb laugh","far ridere qn","to make sb laugh"
"to amuse sb","far divertire qn","to amuse sb"
