"lo","the; m. sg., beginning with z or s + consonant","lo"
"l'","the; m. and f. sg., before any vowel","l'"
"il","the; m. sg., beginning with any other consonant","il"
"la","the; f. sg., beginning with any consonant","la"
"gli","the; m. pl., beginning with z, s + consonant, or any vowel","gli"
"i","the; m. pl., beginning with any other consonant","i"
"le","the; f. pl., beginning with any consonant or vowel","le"
"uno","a/an; m. sg., beginning with z or s + consonant","uno"
"un","a/an; m. sg., beginning with any other consonant or vowel","un"
"una","a/an; f. sg., beginning with any consonant","una"
"un'","a/an; f. sg., beginning with any vowel","un'"
