"dovere pres. 1st sg.","(io) devo","dovere pres. 1st sg."
"dovere pres. 2nd sg. fam.","(tu) devi","dovere pres. 2nd sg. fam."
"dovere pres. 2nd sg. pol.","(Lei) deve","dovere pres. 2nd sg. pol."
"dovere pres. 3rd sg.","(lui/lei) deve","dovere pres. 3rd sg."
"dovere pres. 1st pl.","(noi) dobbiamo","dovere pres. 1st pl."
"dovere pres. 2nd pl. fam.","(voi) dovete","dovere pres. 2nd pl. fam."
"dovere pres. 2nd pl. pol.","(Loro) devono","dovere pres. 2nd pl. pol."
"dovere pres. 3rd pl.","(loro) devono","dovere pres. 3rd pl."
"potere pres. 1st sg.","(io) posso","potere pres. 1st sg."
"potere pres. 2nd sg. fam.","(tu) puoi","potere pres. 2nd sg. fam."
"potere pres. 2nd sg. pol.","(Lei) può","potere pres. 2nd sg. pol."
"potere pres. 3rd sg.","(lui/lei) può","potere pres. 3rd sg."
"potere pres. 1st pl.","(noi) possiamo","potere pres. 1st pl."
"potere pres. 2nd pl. fam","(voi) potete","potere pres. 2nd pl. fam."
"potere pres. 2nd pl. pol.","(Loro) hanno","potere pres. 2nd pl. pol."
"potere pres. 3rd pl.","(loro) possono","potere pres. 3rd pl."
"volere pres. 1st sg.","(io) voglio","volere pres. 1st sg."
"volere pres. 2nd sg. fam.","(tu) vuoi","volere pres. 2nd sg. fam."
"volere pres. 2nd sg. pol.","(Lei) vuole","volere pres. 2nd sg. pol."
"volere pres. 3rd sg.","(lui/lei) vuole","volere pres. 3rd sg."
"volere pres. 1st pl.","(noi) vogliamo","volere pres. 1st pl."
"volere pres. 2nd pl. fam","(voi) volete","volere pres. 2nd pl. fam."
"volere pres. 2nd pl. pol.","(Loro) vogliono","volere pres. 2nd pl. pol."
"volere pres. 3rd pl.","(loro) vogliono","volere pres. 3rd pl."
