"il mio, i miei","m. sg. my","il mio, i miei"
"il tuo, i tuoi","m. sg. your (fam.)","il tuo, i tuoi"
"il suo, i suoi","m. sg. his, her, its","il suo, i suoi"
"il Suo, i Suoi","m. sg. your (pol.)","il Suo, i Suoi"
"il nostro, i nostri","m. pl. our","il nostro, i nostri"
"il vostro, i vostri","m. pl. your (fam.)","il vostro, i vostri"
"il loro, i loro","f. pl. their","il loro, i loro"
"il Loro, i Loro","f. pl. your (pol.)","il Loro, i Loro"
"la mia, le mie","f. sg. my","la mia, le mie"
"la tua, le tue","f. sg. your (fam.)","la tua, le tue"
"la sua, le sue","f. sg. his, her, its","la sua, le sue"
"la Sua, le Sue","f. sg. your (pol.)","la Sua, le Sue"
"la nostra, le nostre","f. pl. our","la nostra, le nostre"
"la vostra, le vostre","f. pl. your (fam.)","la vostra, le vostre"
"la loro, le loro","f. pl. their","la loro, le loro"
"la Loro, le Loro","f. pl. your (pol.)","la Loro, le Loro"
