"cognome, cognomi","m. surname, last name","cognome, cognomi"
"nome, nomi","m. name, first name","nome, nomi"
"nonna, nonne","f. grandma","nonna, nonne"
"nonno, nonni","m. grandpa, pl. grandparents","nonno, nonni"
"patria, patrie","f. country, birthplace","patria, patrie"
"zio, zii","m. uncles, uncles","zio, zii"
"zia, zie","f. aunt, aunts","zia, zie"
"sposato, -a","adj. married, wedded","sposato, -a"
"chiamare","to call","chiamare"
"altro, -a","adj. other, another; previous, last","altro, -a"
"quale, -i","adj. which; some; what; such as, like","quale, -i"
"stesso, -a","same, equal; myself, yourself, himself, itself","stesso, -a"
"come","how; as, like; such as","come"
"ed","(before vowels) alternative form of e","ed"
