"abbagliante","adj. (luce) dazzling"
"abito","n. m. (da donna) dress; (da uomo) suit; pl. (vestiti) clothes"
"abituale","adj. usual, habitual"
"abbraccio","n. m. hug, embrace"
"abilità","n. f. (capacità) ability, (destrezza) skill; (accortezza) cleverness"
"accento","n. m. (pronuncia) accent; fig. stress, emphasis"
"accettabile","adj. acceptable"
"abitudine","n. f. (consuetudine) habit"
"acciaio","n. m. steel"
"accogliente"," (atmosfera) welcoming; (stanza) cosy"
"essere d'accordo (con)","to agree (with)"
"andare d'accordo (con)","to get along well (with)"
"accordo","n. m. agreement"
"aceto","n. m. vinegar"
"acido","adj. (sapore) acid, sour, tart"
"acido","n. m. acid"
"acquisto","n. m. purchase"
"adatto (a)","adj. suitable (for), right (for)"
"addome","n. m. abdomen"
"addominale","adj. abdominal"
"adesivo","adj. adhesive, sticky"
"nastro adesivo","n. m. adhesive tape, sticky tape"
"adesivo","n. m. (sostanza) adhesive; (autoadesivo) sticker"
"adottivo","adj. adopted"
"adolescente","adj. teenage"
"adolescente","n. m./f. teenager"
"adulto","adj. adult; fig.(maturo)  mature"
"adulto","n. m. (persona) adult, (animale) fully grown"
"aereo","n. m. (aeroplano) plane;"
"aeroporto","n. m. airport"
"affascinante","adj. fascinating, charming"
"affetto","n. m. (sentimento) fondness, affection"
"affettuoso","adj. (persona) affectionate; (parole) fond"
"affidabilità","n. f. reliability"
"affidabile","adj. reliable"
"dare in affitto","(affittare: spazio, casa) to rent (out)"
"prendere in affitto","(affittare: spazio, casa) to rent"
"affitto","n. m. rent; (contratto) lease"
"agenzia immobiliare","n. f. real estate agency"
"agenzia pubblicitaria","n. f. advertising agency"
"agenzia di moda","n. f. modeling agency"
"agenzia di viaggi","n. f. travel agency"
"agenzia","n. f. agency"
"aggettivo","n. m. adjective"
"aggressivo","adj. (violento) aggressive"
"agio","n. m. ease; (comodo) comfort"
"aglio","n. m. garlic"
"agnello","n. m. lamb"
"aiuto","n. m. help, assistance, aid"
"ala","n. f. <-li> wing"
"alba","n. f. dawn"
"albergo","n. m. <-ghi> hotel"
"albero","n. m. tree;"
"albicocca","n. f. <-chi> apricot"
"albume","n. m. egg white"
"alfabeto","n. m. alphabet"
"alimentazione","n. f. (nutrizione) diet"
"allegato","n. m. (in email) attachment"
"allarme","n. m. alarm"
"allergia","n. f. <-gie> allergy"
"allenamento","n. m. training"
"alligatore","n. m. alligator"
"alloggio","n. m. <-ggi> (dimora) accommodation, housing; (appartamento) apartment"
"alluminio","n. m. <-i> aluminum"
"guardare in alto","to look up"
"mettere in alto","to put high up"
"alto","n. n. (parte più elevata) top"
"alta moda","high fashion"
"alta società","high society"
"alta stagione","high season"
"alto","adj. (edifico, albero, statura) tall, (montagne, muro, prezzi) high"
"altro","n. m. something else, (espressioni interrogative) anything else"
"in un altro modo","differently, in a different way"
"un'altra volta","again"
"l'altra volta","last time"
"domani l'altro","the day after tomorrow"
"l'altro ieri","the day before yesterday"
"l'altro giorno","the other day"
"l'altra settimana","the other week"
"altro","adj. (distinto) different; (ulteriore) another; (passato) last; (prossimo) next"
"amarena","n. f. (sour) black cherry"
"amarezza","n. f. bitterness"
"amaro","adj. (bibita, sapore, sconfitta, risata) bitter"
"ambientazione","n. f. (di libri, di film) setting"
"ambiente","n. m. environment; (stanza) room"
"ambizione","n. f. (aspirazione) ambition"
"ambizioso","adj. ambitious"
"amichevole","adj. (trattamento, parita) friendly; (accordo) amicable"
"amicizia","n. f. <-ie> (affetto) friendship"
"amico (-a)","n. m. (f.) <-ci, -che> (conoscente) friend"
"ammalato","adj. sick"
"amore","n. m. (sentimento) love"
"ampio","adj. (spazioso: strada) wide; (abbondante: abito) loose; (esauriente: spiegazione) full; (esteso: garanzia) ample"
"anatra","n. f. duck"
"anca","n. f. <-che> hip"
"aneddoto","n. m. anecdote"
"anello","n. m. (gioiello, forma) ring; (di catena) link"
"aneto","n. m. dill"
"angolo","n. m. (in geometria) angle; (di strada, stanza, fazzoletto, mobile) corner"
"anguilla","n. f. eel"
"anguria","n. f. watermelon"
"anima","n. m. (principio vitale, persona) soul"
"animale","n. m. animal"
"animale domestico","n. m. pet"
"anno","n. m. year"
"annoiato","adj. bored"
"annuncio","n. m. announcement; fig. sign"
"ansia","n. f. anxiety"
"ansioso","adj. (in ansia) anxious"
"anteriore","adj. (davanti) front; (precedente) previous"
"antico","adj. (epoca, popolo, arte) ancient; (non recente: mobile, oggetto, quadro) antique"
"anziano","adj. (non giovane) elderly"
"ape","n. f. bee"
"aperitivo","n. m. aperitif"
"aperto","adj. open"
"apertura","n. f. opening; (ampiezza) width"
"apostrofo","n. m. apostrophe"
"apparecchio","n. m. <-chi> apparatus, instrument, device; (per denti) brace"
"appartamento","n. m. apartment"
