"bacio","n. m. kiss"
"bagnato","adj. wet"
"fare il bagno","v. (vasca) to have a bath, (piscina, mare) to go swimming"
"bagno","n. m. bath; (stanza) bathroom; (al mare) swim, bathe"
"balcone","n. m. balcony"
"balena","n. f. whale"
"ballo","n. m. <no pl> dance; (azione) dancing"
"bambino (-a)","n. m. (f.) child"
"bambola","n. f. doll"
"bambù","n. m. bamboo"
"banana","n. f. banana"
"banca","n. f. <-che> bank"
"bancarella","n. f. stall"
"bandiera","n. f. flag, banner"
"farsi la barba","v. to shave"
"barba","n. f. beard"
"di base","adj. basic"
"base","n. f. base; fig. (fondamento) basis"
"basso","adj. low; (di statura) short"
"basso","n. m. (parte inferiore) bottom, lower part"
"batteria","n. f. battery"
"beato te!","lucky you!"
"beato","adj. blessed; fig. happy"
"bellezza","n. f. (qualità, persona) beauty"
"bello","adj. (oggetto, donna) beautiful, lovely; (uomo) handsome"
"benessere","n. m. well-being"
"bersaglio","n. m. target"
"bevanda","n. f. drink, beverage"
"bianco dell'uovo","egg-white"
"bianco","adj. <-chi, -che> white"
"bianco","n. m. (colore) white"
"bibliotecha","n. f. <-che> library; (mobile) bookcase"
"bicarbonato (di sodio)","n. m. baking soda"
"bicchiere","n. m. glass"
"andare in bicicletta","v. to ride a bicycle"
"bicicletta","n. f. bicycle"
"biglietteria","n. f. (di stazione) ticket office; (di teatro) box office"
"biglietto","n. m. (per viaggi, spettacoli) ticket; (cartoncino) card"
"binario","n. m. (railway) track, line ; (piattaforma) platform"
"biogrofia","n. f. biography"
"birra","n. f. beer"
"birreria","n. f. brewery"
"biscotto","n. m. cookie"
"bisogno","n. m. need"
"bistecca","n. f. steak"
"in bocca al lupo!","good luck!"
"bocca","n. f. <-che> mouth"
"bonifico","n. m. (wire) transfer"
"borraccia","n. f. <-cce> water bottle; (di metallo) canteen, flask"
"borsa","n. f. bag"
"bosco","n. m. <-schi> wood; pl. forest"
"bottiglia","n. f. bottle"
"bottiglieria","n. f. wine store"
"bozza","n. f. (di contratto, progetto) draft"
"braccio","n. m. (pl. f. braccia) arm"
"bravo","adj. (abile) clever, capable, skillful"
"in breve","adv. in short"
"breve","adj. brief, short"
"bronzo","n. m. bronze"
"brutto","adj. ugly; (cattivo) bad"
"fare il bucato","to do the laundry"
"bucato","n. m. laundry"
"buono","adj. good"
"burro","n. m. butter"
"bussola","n. f. compass"
