"cambiamento","n. m. change"
"campanello","n. m. (di porta, bicicletta) bell"
"cancelleria","n. f. <-ie> (materiale per scrivere) stationery"
"cancello","n. m. gate"
"capacità","n. f. <inv> (di contenere) capacity; (abilità) ability"
"capace","adj. able, capable"
"carattere","n. m. (personalità) character"
"carrello","n. m. (per bagagli) (baggage) cart, (al supermercato) (shopping) cart; (per cibi e bevande) cart"
"cartella","n. f. (scheda) card; (custodia: di plastica, di cartone) folder; (borsa: per la scuola) schoolbag"
"cascata","n. f. (di acqua) waterfall"
"caso","n. m. (avvenimento fortuito) chance; (ipotesi, fatto) case"
"cassiere (-a)","n. m. (f.) cashier; (di banca) teller"
"causa","n. f. (origine) cause; (motivo) reason"
"cenere","n. f. ash"
"certezza","n. f. certainty"
"cespuglio","n. m. <-gli> bush"
"cestino","n. m. basket"
"chiarezza","n. f. (comprensibilità) clarity; (precisione) clearness"
"circostanza","n. f. (condizione) circumstance; (occasione) occasion"
"perdere la coincidenza","v. (plane, train, etc.) to miss the connection"
"coincidenza","n. f. coincidence"
"coinvolto","adj. involved"
"collaboratore","n. m. (aiutante) coworker; (a giornale) contributor"
"colpo","n. m. (botta) blow; (rumore) knock; (suono: di tosse) fit; (malore) stroke; (spavento) shock; (impressione) impression"
"commerciante","n. m./f. trader, dealer; (negoziante) storekeeper"
"compagnia","n. f. <-ie> (lo stare insieme) company; (gruppo) group; THEAT company; REL society; COMM company"
"comportamento","n. m. (umano, animale) behavior"
"confine","n. m. border"
"confronto","n. m. (paragone) comparison; LAW (contraddittorio) confrontation"
"conoscenza","n. f. (apprendimento) knowledge; MED consciousness; (persona) acquaintance"
"consapevolezza","n. f. awareness, consciousness"
"coperto","n. m. (in tavola) cover charge"
"coraggio","n. m. courage, bravery"
"corridoio","n. m. <-oi> (di edificio, treno) corridor; (di aereo) aisle"
"corteccia","n. f. <-cce> (di albero) bark; MED cortex"
"cumulo","n. m. (mucchio: di macerie, terra, pietre) heap; METEO cumulus"
