"debolezza","n. f. weakness"
"dibattito","n. m. debate, discussion"
"a differenze di","adv. unlike"
"differenza","n. f. difference"
"diritto","n. m. (complesso di norme, scienza) law; (interesse) right; pl. (tassa) fees; (di maglia, stoffa) right side; SPORTS forehand"
"disagio","n. m. (imbarazzo) unease; (mancanza di comodità) discomfort"
"discorso","n. m. speech; (conversazione) conversation, talk"
"disordine","n. m. (scompiglio) mess; (situazione confusa) disorder; (sregolatezza: nel mangiare, bere) irregularity; pl. (tumulti) trouble"
"distacco","n. m. <-chi> (rimozione: di parti, componenti) removal; (allontanamento) separation; (freddezza) detachment"
"distanza","n. f. (spazio) distance; (tempo) time; (differenza) gulf"
"diversità","n. f. <inv> diversity; (varietà) variety"
"diverso (da)","adj. (differente) different (from)"
"diversi","adj. pl. several, various"
"dolcificante","n. m. sweetener"
