"fabbrica","n. f. factory"
"fallimento","n. m. (bancarotta) bankruptcy; (risultato, persona) failure"
"familiare","n. mf. relative, relation"
"fare fatica (a fare qc)","to have a difficult time (doing sth), to struggle (to do sth)"
"fatica","n. f. <-che> hardwork, toil; (sforzo) effort"
"femmina","n. f. female"
"femminile","adj. feminine; (sesso) female; (abiti) women's"
"ferita","n. f. injury, wound"
"fibra","n. f. (gener) fiber; (costituzione fisica) constitution"
"essere fiero","to be proud"
"fiero","adj. proud"
"foglia","n. f. <-glie> leaf"
"fonte","n. f. (sorgente) spring; (di guadagno, guai, informazioni) source"
"formale","adj. formal"
"foschia","n. f. <-schie> mist"
"francobollo","n. m. stamp"
"fronda","n. f. (leafy) branch; pl. (di albero) foliage"
"frustrato","adj. frustrated"
"frustrazione","n. f. frustration"
"fuga","n. f. <-ghe> escape, flight; (di gas, liquidi) leak"
